id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/16/value
2813559787,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-11T13:58:22.259Z,2025-05-11T18:01:03Z,,,,,5720585613,197,23564,5720508663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720508657,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720508655,30,"7f0drwvw3zquh352luxegqtpl, 58ufmirzy800nq7gucsiz3hg4, c78cublmvb2gg8gzk999xn9hx, 67nybn375tyqdqae4m1yk407o, 657z9s0rqlzub9nmdpb7ct82c, 5u4eoypx0tb3t0brk2dv8sm0a, 3iolpwrv18gtlyse7ih3nt91w, 3usrzzduezg3zt3usvuayxxm2, 4cx6v1ugc9l5sd0nqep3sxoiy, c1jlypnkt4c9y9vdnjkvxa85x, 26ro2zdtkq9ia7dzr9ellxkvd, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 1pobxn4eg4l8phk4ug0t56t7u, aebliukutyz91pczaam39lolx, etz2bmorno30rw9efxkc0ufo, 2dgff1agcaa5ohb0f4wn64ay2, biibwjyc33yv901fetordsv84, euc11yjkfscwt6xsiitlorz10, 7yjrb3xvu6xzo23j6d8eu2sfe",5720508661,130,11,5720508659,59,"1, 16, 33, 15, 4, 5, 22, 8, 9, 7, 17, 12, 2, 3, 10, 11, 14, 19, 25, 28",5720508667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720508665,194,c1jlypnkt4c9y9vdnjkvxa85x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813564415,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-11T14:04:58.259Z,2025-05-11T18:02:02Z,,,,,5720534011,194,1qeetk4waatuxev4mqvbxx87p,5720534001,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, fbk14d79iikagip25ncya0ut, bab8s40ltdf9v117umanbcmxg, 9l89pnte9uhyc8jnads2lintg, 1gwemllvgcore4shqy79qu82y, 95t0lc2qqgzxp92n1pr62n816, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, q1o72uyrvclbkccpjvzugacq, 5mvddfxv6aqzohz87gopwl990, 9fig1s65cvva53x8yqi30xwx5, b0zkcgl6f68noauzpuhzjm4tl, 8he8k86ayqx3x5ee2a0jsfuy2, cd0g5e95qabgsw4gl3b8ijoid, dq5uoeu7mw2a3uemr95w32k9g, ebkhyti8l579bl8amir9zgl5g, hqe6ytrn865k82hbdfufxmac, 3bmh3ork0ei2hrqy1yq0lpwk4, 766yz5r437tgwjkn0ey8j2wwk",5720586385,197,527,5720534009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720534005,59,"1, 2, 24, 25, 21, 4, 20, 11, 15, 17, 6, 27, 5, 7, 8, 9, 10, 14, 18, 23",5720534007,130,10,5720534003,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720534013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609091,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-11T15:02:21.044Z,2025-05-11T15:02:21Z,,,,,5720776661,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609105,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-11T15:02:21.044Z,2025-05-11T15:02:24Z,,,,,5720776717,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609139,3,1,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,50.0,51.1,2025-05-11T15:02:21.045Z,2025-05-11T15:02:48Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5720776863,56,Back,5720776875,279,S,5720776877,278,,5720776869,212,4.5,5720776865,140,46.0,5720776867,141,53.6,5720776873,213,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609151,4,1,1,0,2,80hgdmpkvdrhw1ge9nks2kxvy,0,45.9,59.3,2025-05-11T15:02:23.731Z,2025-05-11T15:02:25Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5720776925,140,67.3,5720776927,141,26.1,5720776923,56,Center,5720776929,212,31.9,5720776931,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609171,3,1,1,0,4,4q0b35m26thti4c2on9a3npk0,1,34.2,83.8,2025-05-11T15:02:25.344Z,2025-05-11T15:02:27Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,,5720777011,140,63.1,5720777015,212,31.4,5720777009,56,Center,5720777017,213,6.02,5720777013,141,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609187,4,1,1,0,5,4q0b35m26thti4c2on9a3npk0,1,63.1,71.8,2025-05-11T15:02:26.856Z,2025-05-11T15:02:28Z,4cx6v1ugc9l5sd0nqep3sxoiy,J. Nuñez,,,5720777073,140,60.8,5720777091,156,,5720777079,213,1.79,5720777077,212,11.1,5720777075,141,87.8,5720777071,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609263,5,45,1,0,12,80hgdmpkvdrhw1ge9nks2kxvy,0,36.8,16.8,2025-05-11T15:02:33.729Z,2025-05-11T17:13:44Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5720777541,285,,5720777539,56,Back,5720777797,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609295,5,3,1,0,12,4q0b35m26thti4c2on9a3npk0,1,63.2,83.2,2025-05-11T15:02:33.729Z,2025-05-11T17:13:43Z,26ro2zdtkq9ia7dzr9ellxkvd,T. Haltvik,,,5720777749,233,5,5720777663,56,Left,5720777665,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
