id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value
2818947719,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-25T16:21:00.477Z,2025-05-25T20:12:50Z,,,,,5750398399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5750398395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5750398393,130,4,5750398387,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, ahe00hzfpxhe742i5db3mpe6s, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 3vuirsh6wmbhingygy27f0hqt, ce1q0p0ifilrb8wx6rmkcaeol, 2ku8s4c6qk2aghe47hwqgxfro, ezoomo1jux77i7dvex03pnpjo, 76k8ic97o66kaq2e52bmp27ai, dfwjippbaspehxg8m8ui4djze, avnrtae50pid6aomt6sq3dqi2, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5750398397,194,195m3d6cnwm71j1d2rjo25sdl,5750398389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5750474085,197,501,5750398391,59,"1, 23, 17, 10, 26, 6, 19, 8, 20, 27, 11, 12, 2, 7, 14, 21, 32, 41, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818948523,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-05-25T16:21:46.863Z,2025-05-25T17:03:49Z,,,,,5750402961,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5750402971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5750402967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5750505599,197,29046,5750402963,59,"1, 18, 3, 6, 4, 55, 10, 8, 29, 21, 37, 12, 7, 14, 20, 25, 30, 39, 42, 66",5750402959,30,"dmzue0z7q5147nxeo24emskid, 45bvacft2k18ioxx2eek63y8k, 14ypgy7ikxp4yubgkr3yhh90p, 7wiychyw6gd8lw6zakd3swmlm, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, eguth2iido7y17nisod5l6e50, b402113ae9zjswote8zxlzmc5, 6yj33ghw3e2x8lv9mtvqyg7x0, 1s3v8iujq9j1qbhccuun62jft, 4bhecy0vioxwdpmw64uyek3ro, 5bfaszkv7wr5nkkcklqtncftg, 62inw8zz8raw527zudb2n8jys, dp2ce683ahjwgywryjizdbtud, 8mkjfugmfdj5qb0on4u6kixhw, 9avxz26gl0igfm4ea5inps0es, 6685o2ur8lnocqbwtxit8jdas, clyv3e5zbj72u09ialts0ul1w, cyndk88eyqa8w6nfdsne29zis, a6mt7f1hy6ieaowii8na2j7dg",5750402969,194,7wiychyw6gd8lw6zakd3swmlm,5750402965,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009185,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-25T17:15:53.908Z,2025-05-25T17:15:54Z,,,,,5750742433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009193,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-05-25T17:15:53.908Z,2025-05-25T17:15:56Z,,,,,5750742499,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009221,3,1,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,49.8,50.0,2025-05-25T17:15:53.909Z,2025-05-25T17:15:56Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5750742655,213,2.91,5750742653,212,24.9,5750742647,56,Back,5750742657,279,S,5750742651,141,58.5,5750742649,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009267,4,1,1,0,2,6oxoag5c6zbnn09wx08vz4iak,1,29.9,65.1,2025-05-25T17:15:55.971Z,2025-05-25T17:15:59Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5750742883,213,1.45,5750742875,56,Back,5750742879,141,87.4,5750742881,212,15.3,5750742877,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009279,5,1,1,0,5,6oxoag5c6zbnn09wx08vz4iak,0,41.1,88.9,2025-05-25T17:15:59.764Z,2025-05-25T17:16:01Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5750742957,212,48.4,5750742949,155,,5750742961,1,,5750742951,56,Center,5750742959,213,6.10,5750742955,141,75.6,5750742953,140,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009307,3,12,1,0,8,d8w1m5j3jbd1eva8524dv4a20,1,31.4,24.9,2025-05-25T17:16:02.169Z,2025-05-25T17:16:05Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5750743105,140,24.0,5750743109,212,11.0,5750743111,213,2.36,5750743103,56,Back,5750743107,141,36.3,5750743163,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009357,4,1,1,0,11,d8w1m5j3jbd1eva8524dv4a20,0,24.0,36.3,2025-05-25T17:16:04.960Z,2025-05-25T17:16:06Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,,5750743499,213,5.86,5750743495,212,20.0,5750743493,141,24.3,5750743487,157,,5750743503,1,,5750743489,56,Back,5750743491,140,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819009351,6,1,1,0,11,6oxoag5c6zbnn09wx08vz4iak,0,61.2,71.7,2025-05-25T17:16:05.186Z,2025-05-25T17:16:05Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5750743457,140,73.0,5750743461,212,12.4,5750743465,1,,5750743455,56,Center,5750743459,141,70.0,5750743463,213,6.19,5750743453,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
