id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2798829041,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-10T16:11:47.797Z,2025-04-10T16:57:55Z,,,,,5639485451,197,7851,5639409107,59,"1, 22, 15, 20, 4, 5, 16, 10, 25, 8, 9, 12, 3, 6, 7, 18, 19, 21, 33",5639409113,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639409109,130,7,5639409103,30,"8u1ii0vmhpub1p2gbsk1w7yzt, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 8jn4wq3d1ro8f89lttw4b9rzd, 94s19kazaywfzrg007vsha6wa, 7fsqcwqftmk6lms6f6u8lpdlg, 45d87fg5d9k6rvgkkoqcdr384, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 33upoxyyqkh71m6d0b2nsn95g, dfinorpyitke7fsso0fkgz28k, evp0uxt65iugdfwf403qqub6c, 6cu5njaghdntn0z9b1i6yb71m, dt6oacdhzssj4bu3a9rp8jdas",5639409343,194,3sfh0fq729hxtea9rzfke9979,5639409111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5639409105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798829683,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-10T16:13:53.242Z,2025-04-10T16:57:50Z,,,,,5639412567,59,"30, 5, 4, 8, 21, 25, 10, 19, 20, 7, 17, 12, 9, 18, 23, 26, 27, 28, 31, 33",5639485307,197,528,5639412571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639412575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5639412565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5639412569,130,7,5639412563,30,"e79tv8cwky1rcfjn35b629mmt, cqwjwlsum5q92s2k80w3temi2, 18paxu0ihqdu4kbd2ddi5z1t5, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, 5cjx2i2perp5vr62en4cyer1m, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, 6uhzksha34sbcf7o3vsk2wlck, abz6occh9zmu2tcsejm5uiyg9, 894tj8rg0i6kl4zvlok803949, 6ni1632pd1mkwbnjiglttoo2x, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k, cbgxwjokvziezgbbn0qu91s7o",5639412573,194,bjqtzq0xcvtmbn54orj7rn5xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843249,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-10T17:00:50.082Z,2025-04-10T17:00:51Z,,,,,5639488899,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843245,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-10T17:00:50.082Z,2025-04-10T17:00:50Z,,,,,5639488877,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843257,3,1,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,50.0,50.0,2025-04-10T17:00:50.083Z,2025-04-10T17:00:52Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5639488947,279,S,5639488937,56,Back,5639488945,213,2.75,5639488939,140,29.6,5639488941,141,62.9,5639488943,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843271,4,1,1,0,2,uqspd1bx7f6mq8ohj50u1k1k,0,29.6,62.9,2025-04-10T17:00:52.595Z,2025-04-10T17:00:56Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5639489055,140,72.7,5639489051,157,,5639489063,1,,5639489061,213,5.80,5639489053,56,Center,5639489059,212,51.1,5639489057,141,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843281,3,44,1,0,5,bsykw9d70ffqe9atosc92n1e9,1,24.8,72.4,2025-04-10T17:00:55.674Z,2025-04-10T17:01:01Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639489111,233,5,5639489095,56,Back,5639489097,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843275,5,44,1,0,5,uqspd1bx7f6mq8ohj50u1k1k,0,75.2,27.6,2025-04-10T17:00:55.675Z,2025-04-10T17:01:00Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5639489077,56,Center,5639489123,233,3,5639489079,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843283,4,12,1,0,5,bsykw9d70ffqe9atosc92n1e9,1,21.1,73.0,2025-04-10T17:00:55.812Z,2025-04-10T19:31:09Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5639489103,141,68.5,5639489109,15,,5639489107,213,6.09,5639489105,212,16.0,5639489101,140,36.1,5639489099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798843297,6,1,1,0,7,uqspd1bx7f6mq8ohj50u1k1k,1,62.3,28.2,2025-04-10T17:00:57.667Z,2025-04-10T17:01:01Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5639489197,141,17.6,5639489191,157,,5639489201,213,5.67,5639489195,140,72.0,5639489199,212,12.5,5639489203,1,,5639489193,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
