id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2808537155,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-01T15:08:43.681Z,2025-05-01T15:58:50Z,,,,,5692913609,130,4,5692951937,197,21765,5692913605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5692913613,194,544reefy86rc8827sl3xh3oph,5692913611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5692913615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5692913607,59,"1, 2, 19, 10, 38, 21, 5, 8, 9, 7, 18, 12, 4, 6, 15, 23, 35, 39, 41, 45",5692913603,30,"bwzftrovpa0418aapl98og7l6, 9hg60gdc7h6dwo1qi4c7pc9nt, 2u8ylwu9kogk0jorpe517812i, 544reefy86rc8827sl3xh3oph, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, 5occq5bmrhcs8rtxwsdi18bf9, qer4hblafo04av0aajfecclx, 5o5f3xj6e86sw0pupxxx2nomi, 8cjgce68a2vla1ebamgac4nx0, bapdoe78rj82j550otb5zemwa, abaqhbxbckjup0ybs4o70vw89, a0dyuysg0p6ekvy4qkkfkwnvt, 1jp22ouky3tqtk04bvbfao7l6, eas91my7qw7etoha5plxfk9yi, aulhjgm35swnx4k3rexbds8ut, 4xnll2f9tb69wrezm04ayg76y, ec0e15kwv2vre5gnldajcwq8l, e58qeh3alborxqkuk5bz7nw9g, f1naa48i09ck4srkhzxmdugwk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808537183,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-01T15:09:00.132Z,2025-05-01T15:57:50Z,,,,,5692951089,197,6463,5692913779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5692913767,30,"45d87fg5d9k6rvgkkoqcdr384, 4zypjoj5r2y9fqpqxn8cd7o16, a7upy78sew3kqehgcfm9ho5ck, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 33upoxyyqkh71m6d0b2nsn95g, 94s19kazaywfzrg007vsha6wa, 7fsqcwqftmk6lms6f6u8lpdlg, 967mt42odhjqtdjxsf4epxxw, dn00381nbniepgi4qj7yjkv84, d0phfsg3amx6r0xblx5wia9k9, dfinorpyitke7fsso0fkgz28k, evp0uxt65iugdfwf403qqub6c, 6cu5njaghdntn0z9b1i6yb71m, 8jn4wq3d1ro8f89lttw4b9rzd, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5692913775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5692913777,194,3sfh0fq729hxtea9rzfke9979,5692913771,59,"12, 22, 3, 20, 4, 5, 16, 10, 7, 8, 9, 40, 6, 11, 18, 19, 21, 25, 31, 33",5692913773,130,7,5692913769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543621,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-01T16:00:54.383Z,2025-05-01T16:00:54Z,,,,,5692954297,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543627,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-01T16:00:54.383Z,2025-05-01T16:00:56Z,,,,,5692954321,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543637,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,50.0,50.0,2025-05-01T16:00:54.384Z,2025-05-01T16:08:27Z,5occq5bmrhcs8rtxwsdi18bf9,Moustafa Zeidan,,,5692954393,141,46.6,5692954397,213,4.29,5692954391,140,49.0,5692954389,56,Back,5692954395,212,2.5,5692954483,278,,5692954399,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543659,4,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,58.2,62.1,2025-05-01T16:00:58.210Z,2025-05-01T16:01:02Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,,5692954571,141,90.3,5692954569,140,70.3,5692954573,212,23.0,5692954575,213,0.99,5692954567,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543663,5,3,1,0,7,c7jgkxx1czv5etn7snf1r6p2m,0,70.0,94.2,2025-05-01T16:01:01.857Z,2025-05-01T16:01:09Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,5692954675,233,3,5692954593,286,,5692954591,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543671,3,7,1,0,7,uqspd1bx7f6mq8ohj50u1k1k,1,30.0,5.8,2025-05-01T16:01:01.858Z,2025-05-01T16:01:08Z,8qmrc7p7k4bod8ojxl5ib6ot0,D. Tufekčić,,,5692954631,285,,5692954629,56,Back,5692954653,233,5,5692954627,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543695,4,5,1,0,8,uqspd1bx7f6mq8ohj50u1k1k,0,26.5,-2.0,2025-05-01T16:01:03.209Z,2025-05-01T16:58:30Z,8qmrc7p7k4bod8ojxl5ib6ot0,D. Tufekčić,,,5692954785,347,,5692955089,233,6,5692954783,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808543733,6,5,1,0,8,c7jgkxx1czv5etn7snf1r6p2m,1,73.5,102.0,2025-05-01T16:01:03.209Z,2025-05-01T16:58:30Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,5692955085,233,4,5692955055,347,,5692955053,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
