id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value
2820355343,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-31T15:47:03.923Z,2025-05-31T17:08:10Z,,,,,5758273279,59,"21, 6, 27, 29, 4, 55, 26, 15, 80, 10, 11, 1, 3, 9, 14, 22, 23",5758355431,197,531,5758273289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758273273,30,"b5kti1udidgdjke5raks6iezu, 2d9k8p22131is7op7vcn0arbp, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, fbd96sw3egypi2key2hxbnu2, 3ga4zm8ifo0ohz7xe03jxswkp, 3nl291loxoqoghj60c05rubro, a4de7kgp5ivhwckmtv5htu162, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, 9xxdec5pv5plas9ve4ehs4nop, cpcjoijkj6xhmcbfnyuarh1hx, rzfthr8qys67ormz869jrndg, dodkgckgbecal0vivr1jf0hzo, c9tn3kw240q4qmcbml5vyb6z8, bi90ts7bjqsllbei6qtmx6has, c9a0owmk742hzaoxqlmxrruju",5758273275,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5758273281,130,7,5758273285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5758392019,194,2d9k8p22131is7op7vcn0arbp,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820356117,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-31T15:50:47.852Z,2025-05-31T16:42:00Z,,,,,5758277893,194,1qeetk4waatuxev4mqvbxx87p,5758277895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758277891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5758277885,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5758277883,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, bab8s40ltdf9v117umanbcmxg, 9l89pnte9uhyc8jnads2lintg, 1gwemllvgcore4shqy79qu82y, 95t0lc2qqgzxp92n1pr62n816, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, ebkhyti8l579bl8amir9zgl5g, 5mvddfxv6aqzohz87gopwl990, 9fig1s65cvva53x8yqi30xwx5, b0zkcgl6f68noauzpuhzjm4tl, 8he8k86ayqx3x5ee2a0jsfuy2, cd0g5e95qabgsw4gl3b8ijoid, dq5uoeu7mw2a3uemr95w32k9g, hqe6ytrn865k82hbdfufxmac, fbk14d79iikagip25ncya0ut, bjd03xcx3m5fw2iktwovmub6c",5758277889,130,10,5758348393,197,526,5758277887,59,"1, 2, 23, 25, 21, 4, 20, 11, 15, 10, 6, 27, 5, 7, 8, 9, 14, 24, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370061,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-31T16:46:29.415Z,2025-05-31T16:46:32Z,,,,,5758356975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370055,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-31T16:46:29.415Z,2025-05-31T16:46:29Z,,,,,5758356961,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370069,3,1,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,50.0,50.0,2025-05-31T16:46:29.416Z,2025-05-31T19:40:23Z,a4de7kgp5ivhwckmtv5htu162,E. Hagen,,,5758357017,140,30.5,5758357019,141,40.7,5758357015,56,Back,5758357025,279,S,5758357023,213,3.44,5758357021,212,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370087,4,1,1,0,4,8q6cv8g4bd3xdl7m88kll16na,0,30.5,44.6,2025-05-31T16:46:33.437Z,2025-05-31T19:40:21Z,fbd96sw3egypi2key2hxbnu2,A. Kiil Olsen,,,5758357129,56,Center,5758357127,155,,5758357139,1,,5758357137,213,0.48,5758357131,140,63.8,5758357135,212,39.4,5758357133,141,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370089,3,44,1,0,5,80hgdmpkvdrhw1ge9nks2kxvy,1,34.0,28.8,2025-05-31T16:46:35.226Z,2025-05-31T17:47:23Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5758357143,56,Back,5758357145,285,,5758357175,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370091,5,44,1,0,5,8q6cv8g4bd3xdl7m88kll16na,0,66.0,71.2,2025-05-31T16:46:35.227Z,2025-05-31T19:40:07Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5758357195,233,3,5758357149,286,,5758357147,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370125,4,1,1,0,6,80hgdmpkvdrhw1ge9nks2kxvy,0,30.1,31.8,2025-05-31T16:46:35.704Z,2025-05-31T19:39:59Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5758357339,3,,5758357341,56,Back,5758357349,213,5.82,5758357347,212,12.1,5758357343,140,40.4,5758357345,141,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820370099,6,61,1,0,7,8q6cv8g4bd3xdl7m88kll16na,0,60.5,81.2,2025-05-31T16:46:37.365Z,2025-05-31T16:46:37Z,uw1y94hwwthwor4cohho58gk,Vinícius Nogueira,,,5758357189,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
