id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/13/value
2797250135,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-04-06T14:14:01.903Z,2025-04-06T15:24:34Z,,,,,5630566629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630566625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630566621,59,"1, 18, 28, 10, 6, 4, 20, 16, 17, 9, 7, 34, 2, 14, 15, 19, 21, 23, 26, 27",5630566627,197,24144,5630566623,130,2,5630566617,30,"2y89r1uyyagwssn9m67ihdo7p, 97aigdp5c2m2sd1eoq143q8kp, 6hfh81884cw22q8ekjmiezq39, 5al9uyujlrlb17o4r5sapkkk4, azgn1hgiep0jbrbdirnkut2zu, 2i92r2eksw9ty9kis974k3uqy, 2hwemaa18hwlq3c4i208lbbo5, cv38uxcibt3cwwj54m9ydg86i, cdqa1j5yeh8u9ll0ijx28oyj9, 5w0p51an11m21e5hnpjtukx04, 7m4f590x3kc3935gpg72xhg45, 2rfdbxta1ako8hu4pg7kv07h1, 4348ovvnom9gdbun5vjntlg5, 617qfwb824ko8xrulrp6b86ad, e0j0uakuzduvis9wqsocngwrt, 9mt0cpw6rkuv6ndn4jbon6hg5, 864mk13xqt9p7s22wdsdhnpat, 6mzoir7lrrfehbzgu7gmnwyl0, 3qe0mkctopr68r841nrp2740k, 10jjf6ittt34mqsrihtotv1g4",5630693523,194,7m4f590x3kc3935gpg72xhg45,5630566619,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797250173,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-04-06T14:14:04.818Z,2025-04-06T17:23:43Z,,,,,5630566865,197,2276,5630566863,194,6wygyy5z5i0okllr83e9ej8ph,5630566853,30,"9l1jrghczcsus55hd9hx6gdzp, 6x3f721vjb8mxlp5ba3p1rb4k, jfesb9jxg4g5yph0x6nabevo, 6wygyy5z5i0okllr83e9ej8ph, 7hevgs3yo3fnxvingc7zzgpw4, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, dxmgpouxmhnss0ggxm6yqgo9, 3g0xd9rds9relghxanr1f5vc9, 3e1tqerfmnsaqicofczjljo8a, v3hnsgptqqi0ystvybqtpyzu, 7zy4bzry9weswip0jogur6fbo, 1j7zubyq25gltkrmrqb8xiyy2, c57cmqsy5y46vndbsqq3pyu7e, csoy01ylfrp2o2jso18oohmvo, 92xhspr6bl1jyhqru3tsbjvqi, 6hssnrvqsel6i5ca09p5730x6, entqumhk84jfw6hgjkee607x0, di12pteex60qy5bdmm4lxt8no, bmaozrve14n5uj1a6q122dl3o",5630566859,130,7,5630566855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630566861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630566857,59,"30, 26, 3, 18, 22, 47, 7, 10, 23, 6, 27, 2, 4, 8, 11, 17, 20, 24, 43, 1",5630566867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298157,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-04-06T15:01:02.622Z,2025-04-06T15:01:05Z,,,,,5630831659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298143,3,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-04-06T15:01:02.622Z,2025-04-06T15:01:02Z,,,,,5630831599,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298235,4,1,1,0,0,45v50owpvshpijizwwlcw4lni,1,50.0,50.0,2025-04-06T15:01:02.623Z,2025-04-06T15:01:07Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5630832027,141,50.0,5630832031,213,3.14,5630832025,140,22.7,5630832029,212,28.7,5630832033,279,S,5630832023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298321,5,1,1,0,4,45v50owpvshpijizwwlcw4lni,0,26.0,47.2,2025-04-06T15:01:07.296Z,2025-04-06T15:01:10Z,2y89r1uyyagwssn9m67ihdo7p,J. Karlstrøm,,,5630832315,1,,5630832293,157,,5630832311,213,5.97,5630832301,140,53.5,5630832297,56,Center,5630832305,141,33.4,5630832309,212,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298329,3,8,1,0,7,btaf9fuj3xctycyjeqwereaow,1,25.1,70.0,2025-04-06T15:01:10.414Z,2025-04-06T15:01:11Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5630832367,56,Back,5630832411,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298355,4,1,1,0,9,btaf9fuj3xctycyjeqwereaow,0,25.1,66.4,2025-04-06T15:01:12.212Z,2025-04-06T15:01:12Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5630832517,56,Back,5630832523,212,9.5,5630832515,157,,5630832519,140,33.2,5630832525,213,0.47,5630832527,1,,5630832521,141,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298395,6,13,1,0,12,45v50owpvshpijizwwlcw4lni,1,64.8,34.3,2025-04-06T15:01:14.633Z,2025-04-06T15:01:24Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5630833473,215,,5630833469,102,41.8,5630832777,19,,5630833475,328,,5630832779,56,Center,5630833467,84,,5630833479,230,97.6,5630833219,20,,5630833477,458,5630833481,231,47.3,5630832775,22,5630833471,103,30.6,,,,,,,,,,,,,,,,,,,,,,,
2797298773,5,5,1,0,14,btaf9fuj3xctycyjeqwereaow,1,-1.1,58.3,2025-04-06T15:01:17.536Z,2025-04-06T17:14:19Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5630835069,56,Back,5630835081,233,7,5630835071,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
