id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818183547,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-24T13:20:56.047Z,2025-05-24T14:18:39Z,,,,,5746277833,197,28385,5746158469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5746158475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5746158473,130,2,5746158467,30,"dk56pv43y8zo39ft9xtwyapnu, 8fqnvz74z901a2h0kgk1zezje, 95wuw8954h8drdxpx3f2wvuvo, 4z3w46k9n0yocg319dcewwz8q, 7yjqvzpcyyil0g7jne4hv7svd, c2pyie18ewq33hdvoaljwkbca, 172cxj9mocjk4cor42kjka3mx, auv81snxkpk2ybxzi8giy5azt, 7adevxj1o3gpqpmrv3f72v3oq, 6yyum3rgz21z8aln67irm508a, egd6w206242dh7aowfzmwyane, emce3apjphsh1r4jm5pjzyz11, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 3jgniouh70v4y74ly7u681o89, bp5s0a2jk5viq92gdoskhn7dg, c4xb4477ro5kjk7el9nczd6ok, a6tl97co89j46h3vvy2edpafo, 342b6q9d0ghvvizc2s6801ses",5746158471,59,"12, 2, 17, 8, 26, 24, 14, 19, 18, 9, 11, 1, 4, 7, 16, 21, 28, 29, 32",5746158479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746158477,194,4z3w46k9n0yocg319dcewwz8q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818183973,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-24T13:21:41.944Z,2025-05-24T14:09:31Z,,,,,5746160595,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, 4s8lwbyh90phbponlzsdlj0iy, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, bhkecr2u6neb933eo468i82ui, bww0h67l7g6o9syrkp12s7pih, dkuinrikn3htd1kilcsce2bit, 7j35sfip0xb51mpa91wzikrh0, 8rnri2daeaqt5h1hl9ftt6l0p, 51ibk2sy9eczccqp0gzsmns9h, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, dlx130vfa5ynu82q5jtawq8lw, 95u4j4kg3w5wfpk8ilcimhfdg",5746160607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746160599,59,"30, 16, 4, 3, 12, 22, 6, 11, 9, 20, 13, 1, 5, 7, 18, 19, 21, 23",5746160597,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5746160605,194,bhkecr2u6neb933eo468i82ui,5746160603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5746313083,197,29972,5746160601,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204935,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-24T14:01:00.574Z,2025-05-24T14:01:01Z,,,,,5746278577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204919,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-24T14:01:00.574Z,2025-05-24T14:01:05Z,,,,,5746278511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204941,3,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,50.3,49.9,2025-05-24T14:01:00.575Z,2025-05-24T15:02:20Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5746278615,140,45.9,5746278617,141,52.7,5746278613,56,Back,5746278619,212,5.0,5746278621,213,2.75,5746278623,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818204989,4,1,1,0,2,eujf9nqky8c5jnahb2f76m86o,1,45.9,52.7,2025-05-24T14:01:03.013Z,2025-05-24T14:50:08Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,,5746278801,140,28.0,5746278803,141,13.0,5746278805,212,32.9,5746278799,56,Back,5746278807,213,4.10,5746278809,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205047,5,1,1,0,7,eujf9nqky8c5jnahb2f76m86o,0,28.4,12.2,2025-05-24T14:01:07.910Z,2025-05-24T16:09:45Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5746279111,155,,5746279119,212,51.4,5746279115,140,77.2,5746279117,141,5.7,5746279113,56,Right,5746279121,213,6.20,5746279123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205035,3,44,1,0,11,e5txudmuc2qpc460bs4lb5aff,1,25.8,95.4,2025-05-24T14:01:11.950Z,2025-05-24T15:00:28Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5746279053,56,Back,5746279055,285,,5746279153,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205049,6,44,1,0,11,eujf9nqky8c5jnahb2f76m86o,0,74.2,4.6,2025-05-24T14:01:11.951Z,2025-05-24T15:00:28Z,172cxj9mocjk4cor42kjka3mx,E. Saunes,,,5746279127,56,Right,5746279129,286,,5746279173,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818205045,4,1,1,0,11,e5txudmuc2qpc460bs4lb5aff,1,26.1,95.1,2025-05-24T14:01:12.142Z,2025-05-24T14:50:42Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5746279101,56,Back,5746279099,3,,5746279105,141,94.4,5746279103,140,31.8,5746279109,213,6.20,5746279107,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
