id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2804472711,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-21T14:13:40.837Z,2025-04-21T18:34:27Z,,,,,5670327299,130,7,5670327295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670327293,30,"dmzue0z7q5147nxeo24emskid, 6qa22t9j7co6lpatbd00zppwq, 14ypgy7ikxp4yubgkr3yhh90p, b402113ae9zjswote8zxlzmc5, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, dp2ce683ahjwgywryjizdbtud, eguth2iido7y17nisod5l6e50, 9plm1ekfi8ydpbfxhft0a8hjp, 1s3v8iujq9j1qbhccuun62jft, 62inw8zz8raw527zudb2n8jys, 5bfaszkv7wr5nkkcklqtncftg, 7wiychyw6gd8lw6zakd3swmlm, 45bvacft2k18ioxx2eek63y8k, 8mkjfugmfdj5qb0on4u6kixhw, 9avxz26gl0igfm4ea5inps0es, 4bhecy0vioxwdpmw64uyek3ro, clyv3e5zbj72u09ialts0ul1w, cyndk88eyqa8w6nfdsne29zis, a6mt7f1hy6ieaowii8na2j7dg",5670327301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670327305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670327297,59,"1, 2, 3, 8, 4, 55, 14, 10, 11, 21, 7, 12, 6, 18, 20, 25, 37, 39, 42, 66",5670327303,194,dmzue0z7q5147nxeo24emskid,5670628163,197,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804473285,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-04-21T14:14:02.683Z,2025-04-21T19:42:47Z,,,,,5670330423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670330431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670330417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670330419,59,"12, 2, 17, 26, 5, 24, 14, 19, 22, 18, 11, 99, 3, 4, 7, 9, 15, 16, 29, 32",5670330415,30,"dk56pv43y8zo39ft9xtwyapnu, 8fqnvz74z901a2h0kgk1zezje, 95wuw8954h8drdxpx3f2wvuvo, 7yjqvzpcyyil0g7jne4hv7svd, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, 172cxj9mocjk4cor42kjka3mx, auv81snxkpk2ybxzi8giy5azt, 34lcrlx7ddks5ko8s8opi44k4, 7adevxj1o3gpqpmrv3f72v3oq, egd6w206242dh7aowfzmwyane, 8nsdvpmkl64l0pimku0cox61h, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 6yyum3rgz21z8aln67irm508a, 39zbpdxha7mync2430sxuig9h, 3jgniouh70v4y74ly7u681o89, a6tl97co89j46h3vvy2edpafo, 342b6q9d0ghvvizc2s6801ses",5670330421,130,2,5670330427,194,172cxj9mocjk4cor42kjka3mx,5670629565,197,28385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528675,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-21T15:00:21.318Z,2025-04-21T15:00:21Z,,,,,5670635437,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528681,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-04-21T15:00:21.318Z,2025-04-21T15:00:24Z,,,,,5670635467,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528701,3,1,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,49.8,50.1,2025-04-21T15:00:21.319Z,2025-04-21T15:00:24Z,62inw8zz8raw527zudb2n8jys,E. Schlichting,,,5670635599,213,3.12,5670635595,141,50.9,5670635591,56,Back,5670635601,279,S,5670635597,212,28.7,5670635593,140,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528761,4,1,1,0,2,d8w1m5j3jbd1eva8524dv4a20,0,22.5,50.7,2025-04-21T15:00:24.248Z,2025-04-21T15:00:30Z,dmzue0z7q5147nxeo24emskid,A. Wichne,,,5670635909,1,,5670635905,212,67.6,5670635899,56,Center,5670635903,141,26.1,5670635897,157,,5670635901,140,84.9,5670635907,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528735,3,44,1,0,6,eujf9nqky8c5jnahb2f76m86o,1,25.7,75.4,2025-04-21T15:00:27.813Z,2025-04-21T15:04:18Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5670635753,56,Back,5670635973,233,5,5670635755,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528765,5,44,1,0,6,d8w1m5j3jbd1eva8524dv4a20,0,74.3,24.6,2025-04-21T15:00:27.814Z,2025-04-21T15:00:32Z,9plm1ekfi8ydpbfxhft0a8hjp,R. Espejord,,,5670635935,56,Center,5670635937,286,,5670635989,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528751,4,1,1,0,6,eujf9nqky8c5jnahb2f76m86o,0,34.7,76.4,2025-04-21T15:00:28.025Z,2025-04-21T15:00:29Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5670635833,212,6.3,5670635831,141,72.7,5670635827,56,Back,5670635825,3,,5670635829,140,40.2,5670635835,213,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528793,6,1,1,0,10,d8w1m5j3jbd1eva8524dv4a20,1,75.3,28.5,2025-04-21T15:00:31.399Z,2025-04-21T15:00:33Z,b402113ae9zjswote8zxlzmc5,M. Konradsen,,,5670636037,56,Right,5670636041,141,12.8,5670636043,212,14.4,5670636045,213,5.45,5670636035,3,,5670636039,140,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528813,7,1,1,0,11,d8w1m5j3jbd1eva8524dv4a20,1,84.5,12.6,2025-04-21T15:00:33.039Z,2025-04-21T15:06:14Z,eguth2iido7y17nisod5l6e50,T. Nyhammer,,,5670636117,140,77.1,5670636119,141,15.6,5670636121,212,8.0,5670636115,56,Right,5670636123,213,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528825,8,1,1,0,14,d8w1m5j3jbd1eva8524dv4a20,1,75.6,15.2,2025-04-21T15:00:35.783Z,2025-04-21T15:06:19Z,6qa22t9j7co6lpatbd00zppwq,C. Niyukuri,,,5670636171,140,41.5,5670636169,56,Back,5670636177,212,36.2,5670636173,141,23.4,5670636183,1,,5670636181,213,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528839,9,1,1,0,16,d8w1m5j3jbd1eva8524dv4a20,1,40.5,23.9,2025-04-21T15:00:38.055Z,2025-04-21T15:00:39Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,,5670636267,212,13.5,5670636261,56,Back,5670636269,213,1.72,5670636265,141,43.6,5670636263,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528883,10,1,1,0,18,d8w1m5j3jbd1eva8524dv4a20,1,38.6,43.6,2025-04-21T15:00:39.759Z,2025-04-21T15:00:43Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5670636475,56,Back,5670636487,213,1.61,5670636483,141,82.0,5670636485,212,26.1,5670636477,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528901,11,1,1,0,22,d8w1m5j3jbd1eva8524dv4a20,1,37.8,82.9,2025-04-21T15:00:43.487Z,2025-04-21T15:00:44Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5670636535,212,18.6,5670636529,56,Left,5670636531,140,55.5,5670636537,213,0.01,5670636533,141,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528919,12,1,1,0,23,d8w1m5j3jbd1eva8524dv4a20,0,55.5,83.2,2025-04-21T15:00:44.487Z,2025-04-21T16:18:43Z,62inw8zz8raw527zudb2n8jys,E. Schlichting,,,5670636585,140,49.6,5670636589,212,6.3,5670636587,141,81.8,5670636591,213,3.29,5670636583,56,Back,5670636611,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528929,5,3,1,0,25,eujf9nqky8c5jnahb2f76m86o,0,56.0,20.4,2025-04-21T15:00:46.461Z,2025-04-21T17:39:36Z,34lcrlx7ddks5ko8s8opi44k4,H. Larsen,,,5671109301,286,,5670636627,56,Right,5671109333,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528941,13,7,1,0,25,d8w1m5j3jbd1eva8524dv4a20,0,44.0,79.6,2025-04-21T15:00:46.462Z,2025-04-21T17:39:36Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5671098931,285,,5670636657,56,Back,5671109319,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528951,14,1,1,0,28,d8w1m5j3jbd1eva8524dv4a20,0,42.3,77.2,2025-04-21T15:00:49.359Z,2025-04-21T16:00:57Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5670636687,141,81.8,5670636691,213,0.30,5670636683,56,Left,5670636685,140,51.9,5670636689,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528949,6,8,1,0,28,eujf9nqky8c5jnahb2f76m86o,1,44.8,12.2,2025-04-21T15:00:49.736Z,2025-04-21T16:20:01Z,8fqnvz74z901a2h0kgk1zezje,L. Görlich,,,5670636679,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529031,15,1,1,0,37,d8w1m5j3jbd1eva8524dv4a20,1,33.8,90.5,2025-04-21T15:00:58.487Z,2025-04-21T15:01:02Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5670637155,141,46.6,5670637159,213,3.92,5670637153,140,4.7,5670637161,1,,5670637151,56,Back,5670637157,212,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529071,16,1,1,0,40,d8w1m5j3jbd1eva8524dv4a20,1,5.3,59.7,2025-04-21T15:01:02.239Z,2025-04-21T15:01:07Z,dmzue0z7q5147nxeo24emskid,A. Wichne,,,5670637391,212,66.5,5670637387,140,68.6,5670637385,56,Center,5670637389,141,54.8,5670637395,1,,5670637393,213,6.23,5670637383,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529077,17,44,1,0,45,d8w1m5j3jbd1eva8524dv4a20,1,61.6,71.6,2025-04-21T15:01:07.143Z,2025-04-21T15:03:28Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5670637413,286,,5670637411,56,Center,5670637475,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529067,7,44,1,0,45,eujf9nqky8c5jnahb2f76m86o,0,38.4,28.4,2025-04-21T15:01:07.144Z,2025-04-21T16:22:04Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5670637379,56,Back,5670637491,233,17,5670637381,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529079,18,1,1,0,46,d8w1m5j3jbd1eva8524dv4a20,0,68.6,54.8,2025-04-21T15:01:07.799Z,2025-04-21T16:01:25Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5670637425,3,,5670637429,56,Center,5670637437,213,6.07,5670637431,140,74.8,5670637435,212,6.7,5670637433,141,52.7,5670637427,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529095,8,1,1,0,47,eujf9nqky8c5jnahb2f76m86o,0,31.9,31.0,2025-04-21T15:01:08.936Z,2025-04-21T16:22:31Z,c2pyie18ewq33hdvoaljwkbca,J. Husebø,,,5670637527,157,,5670637533,141,0.0,5670637539,1,,5670637535,212,41.2,5670637531,140,64.8,5670637537,213,5.71,5670637529,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529099,9,5,1,0,48,eujf9nqky8c5jnahb2f76m86o,0,64.5,-1.8,2025-04-21T15:01:10.264Z,2025-04-21T17:39:57Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5670637557,347,,5670638135,233,19,5670637555,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529205,19,5,1,0,48,d8w1m5j3jbd1eva8524dv4a20,1,35.5,101.8,2025-04-21T15:01:10.264Z,2025-04-21T17:39:56Z,dp2ce683ahjwgywryjizdbtud,M. Samuelsen,,,5670638127,233,9,5670638077,347,,5670638075,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529239,20,1,1,1,1,d8w1m5j3jbd1eva8524dv4a20,1,35.9,100.0,2025-04-21T15:01:22.455Z,2025-04-21T15:01:26Z,14ypgy7ikxp4yubgkr3yhh90p,O. Krusnell,,,5670638271,56,Back,5670638269,107,,5670638273,140,35.7,5670638275,141,88.4,5670638279,212,8.8,5670638281,213,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529289,22,61,1,1,4,d8w1m5j3jbd1eva8524dv4a20,0,38.9,78.1,2025-04-21T15:01:25.495Z,2025-04-21T15:01:34Z,eguth2iido7y17nisod5l6e50,T. Nyhammer,,,5670638545,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529251,10,4,1,1,5,eujf9nqky8c5jnahb2f76m86o,1,65.0,15.4,2025-04-21T15:01:26.550Z,2025-04-21T17:27:52Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5670638391,286,,5670638383,13,,5670638387,152,,5670638765,233,21,5670638385,56,Right,5670638389,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529245,21,4,1,1,5,d8w1m5j3jbd1eva8524dv4a20,0,35.0,84.6,2025-04-21T15:01:26.551Z,2025-04-21T17:27:53Z,eguth2iido7y17nisod5l6e50,T. Nyhammer,,,5670638775,233,10,5670638323,13,,5670638325,56,Back,5670638329,265,,5670638327,152,,5670638731,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529491,11,1,1,1,30,eujf9nqky8c5jnahb2f76m86o,0,66.5,14.1,2025-04-21T15:01:52.215Z,2025-04-21T15:01:54Z,172cxj9mocjk4cor42kjka3mx,E. Saunes,,,5670639529,5,,5670639531,155,,5670639541,212,29.9,5670639537,140,89.5,5670639539,141,40.0,5670639535,56,Center,5670639527,2,,5670639543,213,0.63,5670639533,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529517,23,12,1,1,34,d8w1m5j3jbd1eva8524dv4a20,1,19.3,46.7,2025-04-21T15:01:55.680Z,2025-04-21T15:01:58Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5670639713,15,,5670639669,141,59.0,5670639665,140,30.2,5670639673,213,0.63,5670639661,56,Back,5670639671,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529563,12,1,1,1,36,eujf9nqky8c5jnahb2f76m86o,1,78.4,31.3,2025-04-21T15:01:58.190Z,2025-04-21T16:27:31Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5670639871,141,42.1,5670639867,56,Center,5670639869,140,87.4,5670639865,3,,5670639873,212,12.0,5670639875,213,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529623,13,1,1,1,38,eujf9nqky8c5jnahb2f76m86o,0,87.5,42.2,2025-04-21T15:01:59.470Z,2025-04-21T16:28:23Z,34lcrlx7ddks5ko8s8opi44k4,H. Larsen,,,5670640109,140,88.4,5670640121,213,1.38,5670640115,212,5.0,5670640105,56,Center,5670640101,3,,5670640111,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529549,24,12,1,1,38,d8w1m5j3jbd1eva8524dv4a20,1,19.1,50.1,2025-04-21T15:01:59.543Z,2025-04-21T16:28:38Z,dp2ce683ahjwgywryjizdbtud,M. Samuelsen,,,5670639835,15,,5670639803,56,Back,5670639809,212,5.0,5670639805,140,18.9,5670639811,213,4.67,5670639807,141,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529639,14,1,1,1,39,eujf9nqky8c5jnahb2f76m86o,1,88.0,56.4,2025-04-21T15:02:00.949Z,2025-04-21T16:36:14Z,egd6w206242dh7aowfzmwyane,A. Scriven,1.0,,5671203043,140,90.9,5671227587,154,,5671203039,3,,5671203049,213,5.08,5671203045,141,44.6,5671203047,212,8.6,5671203041,56,Center,5671227585,210,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529655,25,43,1,1,41,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-21T15:02:03.127Z,2025-04-21T15:02:47Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5670640243,56,Back,5670640249,212,14.3,5670640245,140,9.0,5670640251,213,2.20,5670640247,141,59.1,5670643639,144,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529651,15,14,1,1,42,eujf9nqky8c5jnahb2f76m86o,1,90.5,51.0,2025-04-21T15:02:04.143Z,2025-04-21T16:36:25Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5671227625,103,18.4,5671227629,231,49.6,5671227363,328,,5671227359,17,,5671226453,56,Center,5671227619,55,14,5671227615,29,,5671228343,24,,5671227617,154,5671227623,102,55.3,5671227613,73,5671227357,15,5671227627,230,96.4,,,,,,,,,,,,,,,,,,,,,
2804530221,17,4,1,1,52,eujf9nqky8c5jnahb2f76m86o,1,94.0,61.3,2025-04-21T15:02:13.686Z,2025-04-21T17:27:53Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5670643407,56,Center,5670643411,265,,5670643413,286,,5670643403,9,,5670643409,152,,5670643405,13,,5670644731,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529797,26,4,1,1,52,d8w1m5j3jbd1eva8524dv4a20,0,6.0,38.7,2025-04-21T15:02:13.687Z,2025-04-21T19:24:12Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,,5670644743,233,17,5670641101,285,,5670641091,9,,5670641097,152,,5670641095,56,Back,5670641099,265,,5670641093,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804531521,18,16,1,3,24,eujf9nqky8c5jnahb2f76m86o,1,88.4,50.1,2025-04-21T15:03:45.373Z,2025-04-21T15:04:35Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5670655405,458,,5670650063,9,,5670650067,56,Center,5670653277,20,,5670655419,472,17,5670650065,17,,5670655397,80,,5670655403,390,631880,5670655401,103,5670655407,230,98.4,5670655663,353,5670655409,231,5670655413,281,2gxvele61txnvuc7sxszfqaga,4.4,27,48.9,5670655399,102,46.1,5670655411,280,PENALTY_WON,5670653285,375,03:23.324,5670655415,282,eujf9nqky8c5jnahb2f76m86o,5670653281,374,2025-04-21 16:03:44.642,5670650069,214,
2804531533,27,58,1,3,24,d8w1m5j3jbd1eva8524dv4a20,0,0.0,0.0,2025-04-21T15:03:45.373Z,2025-04-21T17:12:36Z,dmzue0z7q5147nxeo24emskid,A. Wichne,,,5670650131,9,,5670650143,75,,5670650147,56,Back,5670650137,179,,5670650133,186,,5670653537,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532757,28,1,1,4,15,d8w1m5j3jbd1eva8524dv4a20,1,49.9,50.9,2025-04-21T15:04:36.792Z,2025-04-21T16:37:46Z,9plm1ekfi8ydpbfxhft0a8hjp,R. Espejord,,,5670656491,213,3.16,5670656487,141,50.3,5670656481,56,Back,5671095157,189,,5670656493,279,G,5670656489,212,25.7,5670656485,140,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532799,29,1,1,4,18,d8w1m5j3jbd1eva8524dv4a20,0,31.8,49.3,2025-04-21T15:04:39.408Z,2025-04-21T19:24:10Z,dmzue0z7q5147nxeo24emskid,A. Wichne,,,5670656717,213,6.02,5670656707,157,,5670656711,140,78.4,5670656713,141,30.0,5670656719,1,,5670656709,56,Center,5670656715,212,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532917,20,3,1,4,24,eujf9nqky8c5jnahb2f76m86o,1,16.5,85.9,2025-04-21T15:04:45.509Z,2025-04-21T15:59:23Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5670657239,56,Back,5670657241,285,,5670657405,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532937,30,45,1,4,24,d8w1m5j3jbd1eva8524dv4a20,0,83.5,14.1,2025-04-21T15:04:45.509Z,2025-04-21T15:04:47Z,dp2ce683ahjwgywryjizdbtud,M. Samuelsen,,,5670657351,56,Right,5670657433,233,20,5670657353,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532979,21,1,1,4,24,eujf9nqky8c5jnahb2f76m86o,1,11.5,90.2,2025-04-21T15:04:45.966Z,2025-04-21T15:04:48Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5670657489,141,94.8,5670657485,56,Back,5670657491,212,8.7,5670657487,140,19.2,5670657493,213,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532995,22,1,1,4,26,eujf9nqky8c5jnahb2f76m86o,0,19.3,95.0,2025-04-21T15:04:47.685Z,2025-04-21T15:04:49Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5670657575,212,25.2,5670657577,213,5.54,5670657573,141,69.9,5670657571,140,37.0,5670657569,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
