id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2807149743,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-27T14:05:22.641Z,2025-04-27T14:57:32Z,,,,5685076681,59,"30, 16, 4, 15, 12, 22, 20, 6, 23, 9, 11, 1, 3, 5, 7, 13, 19, 21, 31, 40",5685076677,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 7j35sfip0xb51mpa91wzikrh0, bhkecr2u6neb933eo468i82ui, 95u4j4kg3w5wfpk8ilcimhfdg, dkuinrikn3htd1kilcsce2bit, bww0h67l7g6o9syrkp12s7pih, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 8rnri2daeaqt5h1hl9ftt6l0p, 1s6yn52hlqtmmz4lerscf457u, dlx130vfa5ynu82q5jtawq8lw, dp03arwvufj1qju8f9kbfm6ms, b5itju69rep2i6e33wg97vr4k",5685076689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685076685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685076687,194,bhkecr2u6neb933eo468i82ui,5685479169,197,23559,5685076679,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685076683,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807150941,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-27T14:06:15.343Z,2025-04-27T17:50:52Z,,,,5685083081,59,"1, 18, 3, 2, 4, 55, 8, 21, 11, 20, 16, 12, 6, 7, 14, 25, 30, 37, 42, 66",5685083077,30,"dmzue0z7q5147nxeo24emskid, 45bvacft2k18ioxx2eek63y8k, 14ypgy7ikxp4yubgkr3yhh90p, 6qa22t9j7co6lpatbd00zppwq, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, b402113ae9zjswote8zxlzmc5, 1s3v8iujq9j1qbhccuun62jft, 9plm1ekfi8ydpbfxhft0a8hjp, 8mkjfugmfdj5qb0on4u6kixhw, 446klv47srbtz97yk7vgakbft, 5bfaszkv7wr5nkkcklqtncftg, 7wiychyw6gd8lw6zakd3swmlm, 62inw8zz8raw527zudb2n8jys, dp2ce683ahjwgywryjizdbtud, 9avxz26gl0igfm4ea5inps0es, 6685o2ur8lnocqbwtxit8jdas, 4bhecy0vioxwdpmw64uyek3ro, cyndk88eyqa8w6nfdsne29zis, a6mt7f1hy6ieaowii8na2j7dg",5685479969,197,503,5685083089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685083085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685083087,194,446klv47srbtz97yk7vgakbft,5685083079,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685083083,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225089,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-27T15:01:20.821Z,2025-04-27T15:01:23Z,,,,5685496293,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225025,3,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-27T15:01:20.821Z,2025-04-27T15:01:21Z,,,,5685495959,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225099,4,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,49.8,50.0,2025-04-27T15:01:20.822Z,2025-04-27T15:01:24Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,5685496361,140,25.3,5685496365,212,26.1,5685496367,213,2.98,5685496369,279,S,5685496359,56,Back,5685496363,141,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225145,5,1,1,0,3,e5txudmuc2qpc460bs4lb5aff,1,26.0,54.8,2025-04-27T15:01:24.142Z,2025-04-27T15:01:28Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,5685496601,56,Center,5685496609,213,5.83,5685496611,1,,5685496599,157,,5685496605,141,24.9,5685496607,212,46.4,5685496603,140,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225169,6,1,1,0,7,e5txudmuc2qpc460bs4lb5aff,1,65.7,24.9,2025-04-27T15:01:28.134Z,2025-04-27T15:01:36Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,5685496733,141,6.4,5685496729,56,Right,5685496737,213,5.21,5685496735,212,14.3,5685496731,140,72.2,5685496727,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225175,7,44,1,0,8,e5txudmuc2qpc460bs4lb5aff,1,73.4,22.4,2025-04-27T15:01:29.352Z,2025-04-27T17:15:56Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,5685496779,233,3,5685496765,286,,5685496763,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225157,3,44,1,0,8,d8w1m5j3jbd1eva8524dv4a20,0,26.6,77.6,2025-04-27T15:01:29.353Z,2025-04-27T17:17:03Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,5685496807,233,7,5685496671,285,,5685496669,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225219,8,1,1,0,9,e5txudmuc2qpc460bs4lb5aff,1,72.2,6.4,2025-04-27T15:01:29.943Z,2025-04-27T17:16:21Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,5685496973,141,3.4,5685496967,3,,5685496977,213,6.01,5685496975,212,7.5,5685496969,56,Right,5685496971,140,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
