id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/14/value,qualifier/15/value
2820313959,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-05-31T13:02:36.303Z,2025-05-31T14:00:45Z,,,,,5758043009,194,4hmj5l79xbxxkyuxdx47lj8wl,5758118285,197,29289,5758043007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5758043011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758042999,30,"cr3712pf5aekd2bmmucpfcqvo, 4hdrcg8os3e1uf9syfv5mpiol, 5tnye4i4soi822vm0nncgoa, 3vh1sx99telj2gktbljiarap5, cs99i7ypembqsswr96y6n53ze, 4hmj5l79xbxxkyuxdx47lj8wl, 7gnn9d501aradmmdrhhs5vfo4, 15wt9e9girpzdqw5y2hb4awut, 5362zl678ibx1md2kk6t4r47o, 4ja6as3sd53z72xqa7p8vrv9w, 4vp5w5ahxvyk2iu4ymm9ksl7u, d1p2mgz94oi55fa1wd2uhx5ud, 7u76uh9164fs8tx6zqw0icqtx, ap46gkx1wxiog02327an06jv8, 7kdf2nyhfvbtqcjcfca6x4zkk, 37nltbem26wbv5t8fl9yu7gno, 6c9jzebimd3c53gpxa35sxzah, bh4tgnopvaormeadqqfl4zms4, b9jnt91acdlokhw6c59l681zo",5758043001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5758043003,59,"12, 26, 4, 8, 27, 71, 22, 10, 7, 16, 21, 24, 5, 6, 14, 15, 17, 39, 84",5758043005,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820317167,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-31T13:12:40.446Z,2025-05-31T13:59:29Z,,,,,5758060879,194,424bbibjsasfjrkjoa0jfkhk9,5758060867,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758060877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758118291,197,29045,5758060871,59,"12, 22, 5, 26, 14, 2, 18, 11, 10, 19, 6, 30, 7, 15, 16, 17, 20, 24, 29, 34",5758060863,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 424bbibjsasfjrkjoa0jfkhk9, 2gbfwdmpk5gfmcc979aqfkyxh, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, bb7inex45spf3wj9dqw8sbqi, 6ybcevijvdov8qj1hxcbw3dd6, 3dz611s3q1kjhrzt8ixv4jbhl, 6r0yq4i1lk788h1euk5ztec5, d9d7ec57xuvrsby6xd45v50r8, a9guphf8p0im4it165fsqhud, 5yhieehol1p5crvzjd55ac8wk, 2w7qb6w4qcogyuvgi31rfv85w, bop1j9fi00opeyzscvsw6xpn8, 49lv52k58g3q0j819c5w3id5g, cqp45uxqfxgeit1km2bu79s7o",5758060881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758060875,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327359,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-31T14:01:06.920Z,2025-05-31T14:01:09Z,,,,,5758119029,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327357,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-05-31T14:01:06.920Z,2025-05-31T14:01:07Z,,,,,5758119027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327361,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,50.0,50.0,2025-05-31T14:01:07.252Z,2025-05-31T14:01:09Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5758119039,213,3.05,5758119037,212,23.8,5758119041,279,S,5758119035,141,53.1,5758119031,56,Back,5758119033,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327367,4,1,1,0,2,crlocdyqyb1fdhck54qxs65rl,1,30.0,41.6,2025-05-31T14:01:09.361Z,2025-05-31T14:01:14Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5758119117,213,5.98,5758119119,1,,5758119115,212,45.6,5758119111,140,71.5,5758119113,141,21.8,5758119109,56,Center,5758119107,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327369,5,1,1,0,7,crlocdyqyb1fdhck54qxs65rl,0,68.3,22.8,2025-05-31T14:01:14.089Z,2025-05-31T14:01:15Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5758119135,213,0.35,5758119123,3,,5758119131,141,27.9,5758119125,168,,5758119133,212,10.2,5758119127,56,Center,5758119129,140,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327379,3,12,1,0,9,ew0hpuiweoltpsg5f51r2w64t,1,23.8,58.2,2025-05-31T14:01:16.632Z,2025-05-31T14:01:20Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5758119191,213,5.85,5758119185,140,38.0,5758119189,212,16.4,5758119187,141,48.1,5758119183,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327375,6,1,1,0,11,crlocdyqyb1fdhck54qxs65rl,0,64.3,46.4,2025-05-31T14:01:18.193Z,2025-05-31T14:01:20Z,6ybcevijvdov8qj1hxcbw3dd6,A. Roaldsøy,,,5758119173,212,7.4,5758119167,56,Center,5758119169,140,70.3,5758119171,141,40.7,5758119175,213,5.73,5758119165,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327381,4,44,1,0,12,ew0hpuiweoltpsg5f51r2w64t,1,33.0,59.6,2025-05-31T14:01:19.736Z,2025-05-31T14:08:44Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5758119195,285,,5758119193,56,Back,5758119249,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327377,7,44,1,0,12,crlocdyqyb1fdhck54qxs65rl,0,66.8,40.8,2025-05-31T14:01:19.737Z,2025-05-31T14:01:22Z,bb7inex45spf3wj9dqw8sbqi,K. Lien,,,5758119181,286,,5758119179,56,Center,5758119257,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327387,5,1,1,0,13,ew0hpuiweoltpsg5f51r2w64t,0,33.6,58.5,2025-05-31T14:01:20.709Z,2025-05-31T14:08:50Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5758119223,56,Back,5758119221,3,,5758119227,141,51.0,5758119229,212,5.7,5758119225,140,36.0,5758119231,213,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327393,8,1,1,0,14,crlocdyqyb1fdhck54qxs65rl,0,64.7,44.0,2025-05-31T14:01:21.079Z,2025-05-31T14:01:21Z,6ybcevijvdov8qj1hxcbw3dd6,A. Roaldsøy,,,5758119245,212,12.9,5758119247,213,5.71,5758119241,140,75.0,5758119243,141,33.7,5758119239,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327405,6,1,1,0,16,ew0hpuiweoltpsg5f51r2w64t,0,25.9,62.6,2025-05-31T14:01:23.854Z,2025-05-31T16:07:20Z,5tnye4i4soi822vm0nncgoa,S. Westerlund,,,5758119325,212,58.7,5758119323,141,21.2,5758119321,140,75.0,5758119319,56,Center,5758119317,157,,5758119327,213,5.78,5758119329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327419,9,1,1,0,21,crlocdyqyb1fdhck54qxs65rl,1,26.6,72.0,2025-05-31T14:01:28.345Z,2025-05-31T14:01:32Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5758119381,212,23.0,5758119377,140,6.4,5758119383,213,3.54,5758119379,141,58.8,5758119375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327425,10,1,1,0,25,crlocdyqyb1fdhck54qxs65rl,0,7.7,49.3,2025-05-31T14:01:32.418Z,2025-05-31T14:01:36Z,6y6xobx7t2qx431s59kv8hk9h,M. Sandberg,,,5758119419,212,58.8,5758119417,141,43.3,5758119421,213,6.21,5758119423,1,,5758119415,140,63.6,5758119411,157,,5758119413,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327421,7,8,1,0,28,ew0hpuiweoltpsg5f51r2w64t,1,40.5,47.0,2025-05-31T14:01:35.238Z,2025-05-31T14:01:36Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5758119391,56,Back,5758119393,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327433,11,61,1,0,30,crlocdyqyb1fdhck54qxs65rl,1,58.2,50.6,2025-05-31T14:01:37.749Z,2025-05-31T14:01:37Z,6ybcevijvdov8qj1hxcbw3dd6,A. Roaldsøy,,,5758119455,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327467,9,1,1,0,35,ew0hpuiweoltpsg5f51r2w64t,1,71.6,63.9,2025-05-31T14:01:42.862Z,2025-05-31T14:01:45Z,7gnn9d501aradmmdrhhs5vfo4,J. Therkelsen,,,5758119615,141,79.6,5758119613,140,79.2,5758119619,213,0.93,5758119617,212,13.3,5758119611,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820327469,10,1,1,0,38,ew0hpuiweoltpsg5f51r2w64t,0,84.6,86.2,2025-05-31T14:01:45.405Z,2025-05-31T14:01:46Z,4vp5w5ahxvyk2iu4ymm9ksl7u,Marko Farji,,,5758119627,155,,5758119629,56,Center,5758119637,213,5.04,5758119635,212,21.2,5758119625,2,,5758119633,141,56.7,5758119631,140,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
