id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823852935,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-06-22T14:15:16.863Z,2025-06-22T17:46:35Z,,,,,5777927993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777927981,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, bab8s40ltdf9v117umanbcmxg, 9l89pnte9uhyc8jnads2lintg, b0zkcgl6f68noauzpuhzjm4tl, 95t0lc2qqgzxp92n1pr62n816, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, q1o72uyrvclbkccpjvzugacq, 5mvddfxv6aqzohz87gopwl990, 9fig1s65cvva53x8yqi30xwx5, 8he8k86ayqx3x5ee2a0jsfuy2, cd0g5e95qabgsw4gl3b8ijoid, dq5uoeu7mw2a3uemr95w32k9g, hqe6ytrn865k82hbdfufxmac, 3bmh3ork0ei2hrqy1yq0lpwk4, fbk14d79iikagip25ncya0ut, bjd03xcx3m5fw2iktwovmub6c",5777927985,59,"1, 2, 23, 25, 21, 5, 20, 11, 15, 17, 6, 27, 7, 8, 9, 14, 18, 24, 34",5777927987,130,10,5777927989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5777927991,194,1qeetk4waatuxev4mqvbxx87p,5777951037,197,527,5777927983,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823855177,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-06-22T14:30:46.760Z,2025-06-22T18:41:44Z,,,,,5777940221,59,"12, 22, 7, 26, 14, 2, 18, 11, 10, 19, 6, 30, 15, 23, 24, 25, 34, 29, 28, 33",5777940217,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, 6r0yq4i1lk788h1euk5ztec5, dd53d1radlkv7y24724vkol49, 424bbibjsasfjrkjoa0jfkhk9, 2gbfwdmpk5gfmcc979aqfkyxh, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, bb7inex45spf3wj9dqw8sbqi, 6ybcevijvdov8qj1hxcbw3dd6, 3dz611s3q1kjhrzt8ixv4jbhl, d9d7ec57xuvrsby6xd45v50r8, 8nmrvwyosqdqwyqowvdqvahh, bop1j9fi00opeyzscvsw6xpn8, 8pzgnj5qdty3jl94lcrxwxgk4, cqp45uxqfxgeit1km2bu79s7o, 49lv52k58g3q0j819c5w3id5g, 9nx1q800li3nkst97m2y57c44, 8y93t5ly9qv0zhtpj54lax1xw",5777951027,197,29044,5777940219,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777940227,194,424bbibjsasfjrkjoa0jfkhk9,5777940223,130,10,5777940229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777940225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857247,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-06-22T15:01:56.367Z,2025-06-22T15:01:56Z,,,,,5777952379,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857249,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-06-22T15:01:56.367Z,2025-06-22T15:01:57Z,,,,,5777952381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857265,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,50.1,50.1,2025-06-22T15:01:56.368Z,2025-06-22T15:02:01Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5777952471,141,47.0,5777952467,56,Back,5777952469,140,26.6,5777952473,212,24.8,5777952477,279,S,5777952475,213,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857277,4,1,1,0,5,crlocdyqyb1fdhck54qxs65rl,0,33.2,28.9,2025-06-22T15:02:01.857Z,2025-06-22T15:02:04Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5777952545,1,,5777952543,213,6.04,5777952539,141,9.5,5777952535,56,Right,5777952537,140,83.8,5777952541,212,54.7,5777952533,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857289,3,12,1,0,9,80hgdmpkvdrhw1ge9nks2kxvy,1,22.3,94.8,2025-06-22T15:02:06.134Z,2025-06-22T15:02:08Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5777952603,213,0.32,5777952599,141,100.0,5777952637,15,,5777952669,167,,5777952595,56,Back,5777952601,212,15.6,5777952597,140,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857297,4,5,1,0,10,80hgdmpkvdrhw1ge9nks2kxvy,0,30.2,102.0,2025-06-22T15:02:07.031Z,2025-06-22T17:11:52Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5777952651,56,Back,5777953111,233,5,5777952653,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857379,5,5,1,0,10,crlocdyqyb1fdhck54qxs65rl,1,69.8,-2.0,2025-06-22T15:02:07.031Z,2025-06-22T17:11:52Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5777953107,233,4,5777953077,56,Right,5777953079,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857393,6,1,1,0,30,crlocdyqyb1fdhck54qxs65rl,0,82.7,0.0,2025-06-22T15:02:27.103Z,2025-06-22T15:02:29Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5777953167,1,,5777953163,212,30.9,5777953165,213,1.39,5777953155,107,,5777953159,140,88.0,5777953161,141,43.1,5777953157,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
