id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/17/value,qualifier/15/value
2813571689,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-11T14:14:06.212Z,2025-05-11T15:11:59Z,,,,,5720573147,59,"12, 4, 15, 20, 21, 5, 16, 10, 25, 8, 9, 40, 3, 6, 7, 11, 18, 24, 31, 33",5720573153,194,3sfh0fq729hxtea9rzfke9979,5720573143,30,"45d87fg5d9k6rvgkkoqcdr384, 2vkztwfo5zi3rbsnlmwsgfjvu, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 6cu5njaghdntn0z9b1i6yb71m, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 8jn4wq3d1ro8f89lttw4b9rzd, 94s19kazaywfzrg007vsha6wa, 7fsqcwqftmk6lms6f6u8lpdlg, 967mt42odhjqtdjxsf4epxxw, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 33upoxyyqkh71m6d0b2nsn95g, d0phfsg3amx6r0xblx5wia9k9, dfinorpyitke7fsso0fkgz28k, 82dyshdwqwkvyba38j4a1kpas, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5720573151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720763109,197,29049,5720573149,130,7,5720573155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720573145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813578617,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-11T14:23:46.153Z,2025-05-11T14:58:58Z,,,,,5720611059,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720765097,197,23559,5720611063,130,10,5720611065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720611069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720611061,59,"30, 16, 4, 3, 12, 22, 20, 6, 23, 9, 11, 1, 5, 7, 13, 18, 19, 21, 31, 40",5720611067,194,bhkecr2u6neb933eo468i82ui,5720611057,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, 4s8lwbyh90phbponlzsdlj0iy, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 7j35sfip0xb51mpa91wzikrh0, bhkecr2u6neb933eo468i82ui, 95u4j4kg3w5wfpk8ilcimhfdg, dkuinrikn3htd1kilcsce2bit, bww0h67l7g6o9syrkp12s7pih, 51ibk2sy9eczccqp0gzsmns9h, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 8rnri2daeaqt5h1hl9ftt6l0p, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, dlx130vfa5ynu82q5jtawq8lw, dp03arwvufj1qju8f9kbfm6ms, b5itju69rep2i6e33wg97vr4k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813607879,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-11T15:00:45.955Z,2025-05-11T15:00:46Z,,,,,5720770625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813607887,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-11T15:00:45.955Z,2025-05-11T15:00:48Z,,,,,5720770665,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813607917,3,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,50.0,50.0,2025-05-11T15:00:45.956Z,2025-05-11T15:00:49Z,95u4j4kg3w5wfpk8ilcimhfdg,H. Skogvold,,,5720770835,212,19.7,5720770839,279,S,5720770831,140,31.4,5720770829,56,Back,5720770833,141,53.9,5720770837,213,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813607943,4,1,1,0,3,e5txudmuc2qpc460bs4lb5aff,0,30.6,55.7,2025-05-11T15:00:48.970Z,2025-05-11T15:00:51Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5720770985,213,5.91,5720770981,141,34.2,5720770979,140,66.5,5720770975,157,,5720770983,212,40.4,5720770977,56,Center,5720770987,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813607997,3,1,1,0,6,uqspd1bx7f6mq8ohj50u1k1k,1,22.4,83.8,2025-05-11T15:00:52.367Z,2025-05-11T15:50:23Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5720771245,213,5.69,5720771237,56,Back,5720771241,141,71.4,5720771243,212,15.1,5720771247,1,,5720771235,157,,5720771239,140,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608001,4,1,1,0,7,uqspd1bx7f6mq8ohj50u1k1k,0,37.4,78.4,2025-05-11T15:00:53.420Z,2025-05-11T15:24:52Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5720771279,141,36.4,5720771275,56,Back,5720771283,213,4.25,5720771281,212,32.0,5720771277,140,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608033,6,43,1,0,7,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-11T15:00:53.815Z,2025-05-11T15:24:41Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5720880295,213,0.71,5720882895,144,1,5720880287,56,Back,5720880291,141,83.8,5720880289,140,41.6,5720880293,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813607999,6,1,1,0,9,e5txudmuc2qpc460bs4lb5aff,0,59.3,25.2,2025-05-11T15:00:55.939Z,2025-05-11T15:00:56Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5720771265,213,0.86,5720771261,141,54.0,5720771257,56,Center,5720771255,155,,5720771259,140,75.5,5720771263,212,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
