id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2792625043,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-03-29T14:21:33.954Z,2025-03-29T17:16:11Z,,,,,5605287729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605287731,194,929eyaq4a218jj3yahxtoeve2,5605287721,30,"bwzftrovpa0418aapl98og7l6, 2u8ylwu9kogk0jorpe517812i, aulhjgm35swnx4k3rexbds8ut, 1jp22ouky3tqtk04bvbfao7l6, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, 8cjgce68a2vla1ebamgac4nx0, qer4hblafo04av0aajfecclx, ec0e15kwv2vre5gnldajcwq8l, bapdoe78rj82j550otb5zemwa, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, 9hg60gdc7h6dwo1qi4c7pc9nt, a0dyuysg0p6ekvy4qkkfkwnvt, 5occq5bmrhcs8rtxwsdi18bf9, 5o5f3xj6e86sw0pupxxx2nomi, eas91my7qw7etoha5plxfk9yi, 1lz298822pkgdar8bjjk7g1gq, e58qeh3alborxqkuk5bz7nw9g, f1naa48i09ck4srkhzxmdugwk",5605287727,130,4,5605287725,59,"1, 19, 23, 6, 38, 21, 7, 8, 39, 18, 35, 12, 2, 4, 5, 9, 15, 22, 41, 45",5605287733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605287723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5605502333,197,24512,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792625783,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-03-29T14:22:15.421Z,2025-03-29T17:50:05Z,,,,,5605291779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5605291781,59,"1, 5, 27, 8, 25, 71, 77, 10, 9, 22, 17, 24, 4, 6, 7, 11, 15, 16, 21, 26",5605291787,194,4hmj5l79xbxxkyuxdx47lj8wl,5605503643,197,524,5605291789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605291777,30,"9oc4or4w78wl51wehk66xb4k5, 7u76uh9164fs8tx6zqw0icqtx, cs99i7ypembqsswr96y6n53ze, 3vh1sx99telj2gktbljiarap5, 6grill6jvkvpzba5atb3gnjzd, 4hmj5l79xbxxkyuxdx47lj8wl, go4g6syxqw7nwn67c1am65t5, 15wt9e9girpzdqw5y2hb4awut, 7io59zk29vhvyueadmkotzeqy, 7gnn9d501aradmmdrhhs5vfo4, 6c9jzebimd3c53gpxa35sxzah, d1p2mgz94oi55fa1wd2uhx5ud, 5tnye4i4soi822vm0nncgoa, ap46gkx1wxiog02327an06jv8, 5362zl678ibx1md2kk6t4r47o, 5qq4l9qh14ej217d3by53ucmi, 37nltbem26wbv5t8fl9yu7gno, 4ja6as3sd53z72xqa7p8vrv9w, 4vp5w5ahxvyk2iu4ymm9ksl7u, 4hdrcg8os3e1uf9syfv5mpiol",5605291783,130,8,5605291785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670323,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-03-29T15:01:46.816Z,2025-03-29T17:42:05Z,,,,,5605519319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670351,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-03-29T15:01:46.816Z,2025-03-29T15:01:50Z,,,,,5605519405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670491,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,49.9,49.7,2025-03-29T15:01:46.817Z,2025-03-29T15:01:51Z,ec0e15kwv2vre5gnldajcwq8l,D. Islamović,,,5605520003,56,Back,5605520007,140,37.1,5605520011,212,13.5,5605520013,213,3.19,5605520015,279,S,5605520009,141,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670503,4,1,1,0,2,c7jgkxx1czv5etn7snf1r6p2m,1,37.1,48.7,2025-03-29T15:01:49.177Z,2025-03-29T15:01:51Z,1jp22ouky3tqtk04bvbfao7l6,S. Väänänen,,,5605520085,140,51.6,5605520091,213,0.04,5605520083,56,Center,5605520089,212,15.2,5605520087,141,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670551,5,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,46.9,53.3,2025-03-29T15:01:50.640Z,2025-03-29T15:01:53Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,,5605520331,56,Center,5605520337,212,12.5,5605520333,140,56.0,5605520339,213,0.70,5605520335,141,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670561,6,1,1,0,5,c7jgkxx1czv5etn7snf1r6p2m,0,56.5,65.4,2025-03-29T15:01:52.808Z,2025-03-29T15:01:53Z,qer4hblafo04av0aajfecclx,I. Fossum,,,5605520389,213,0.47,5605520385,141,70.2,5605520381,56,Center,5605520387,212,7.2,5605520383,140,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670581,3,61,1,0,6,ew0hpuiweoltpsg5f51r2w64t,1,30.3,36.6,2025-03-29T15:01:53.722Z,2025-03-29T15:01:53Z,go4g6syxqw7nwn67c1am65t5,M. Mehnert,,,5605520515,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670825,7,1,1,0,9,c7jgkxx1czv5etn7snf1r6p2m,1,73.5,59.6,2025-03-29T15:01:56.640Z,2025-03-29T15:02:19Z,ec0e15kwv2vre5gnldajcwq8l,D. Islamović,,,5605521801,56,Left,5605521807,141,87.5,5605521811,213,1.02,5605521797,155,,5605521805,140,84.6,5605521809,212,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
