id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2815265189,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-05-16T15:02:06.635Z,2025-05-16T18:19:06Z,,,,,5730069321,59,"12, 20, 15, 7, 18, 6, 11, 26, 9, 14, 10, 44, 2, 5, 8, 19, 24, 25, 27, 95",5730069329,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730069323,130,7,5730069327,194,do2fwr0qn3kg0qb40e3i36q51,5730069325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730069317,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, 11iaca5nfeqabdba4646vje1h, 38qnvrvf3y1xs22tovwy21jv9, cegoeac3l2owi83zdvu30tj6y, b2ibeioms7t9vb3au7tpqys4p, 2r893xoeuqhgoe2w2auhqb696, 55ashhvkh23ypnct70f9dgvkl, 7dnxkce4kn8qchaavv6e4tm21, 3gvu6qvxl0ro74q6l1o4p2fx0, bqh87676f46jsdfftw2gt1mok, 16rhwnvicrl1e9xqw867zuxn9, 8pyq4t68w42u3fgd2w7tjykbu, 5hst73ivtxknjb3rrdivwygnp, d95uicftg11gdyf5yk2ntt1jo, ar7ybu7dordgt2yfx5inux62, bbyystkqag4mcfpr6utsazm51, 13k94iyejsdn4e51jx32rb23u",5730110051,197,29041,5730069319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815266937,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-16T15:14:37.125Z,2025-05-16T15:55:52Z,,,,,5730080167,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730080169,59,"1, 2, 23, 25, 21, 4, 20, 11, 15, 17, 8, 27, 3, 5, 6, 7, 9, 10, 18, 24",5730080175,194,1qeetk4waatuxev4mqvbxx87p,5730110141,197,526,5730080177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730080173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730080165,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, bab8s40ltdf9v117umanbcmxg, 9l89pnte9uhyc8jnads2lintg, 1gwemllvgcore4shqy79qu82y, 95t0lc2qqgzxp92n1pr62n816, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, q1o72uyrvclbkccpjvzugacq, cd0g5e95qabgsw4gl3b8ijoid, 9fig1s65cvva53x8yqi30xwx5, 4bcfp6repuyw4tkfpems0mf4k, b0zkcgl6f68noauzpuhzjm4tl, 5mvddfxv6aqzohz87gopwl990, 8he8k86ayqx3x5ee2a0jsfuy2, dq5uoeu7mw2a3uemr95w32k9g, ebkhyti8l579bl8amir9zgl5g, 3bmh3ork0ei2hrqy1yq0lpwk4, fbk14d79iikagip25ncya0ut",5730080171,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272193,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-05-16T16:00:35.638Z,2025-05-16T16:00:38Z,,,,,5730113651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272189,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-16T16:00:35.638Z,2025-05-16T16:00:35Z,,,,,5730113649,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272195,3,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,50.5,50.1,2025-05-16T16:00:35.899Z,2025-05-16T16:00:38Z,2r893xoeuqhgoe2w2auhqb696,K. Høgh,,,5730113659,212,14.5,5730113653,56,Back,5730113657,141,49.7,5730113655,140,36.7,5730113663,279,S,5730113661,213,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272203,4,1,1,0,1,ctvzi2jbl1q6xzq0s3sexj73g,1,36.7,49.7,2025-05-16T16:00:37.386Z,2025-05-16T16:00:39Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5730113685,140,27.3,5730113691,213,2.40,5730113683,56,Back,5730113687,141,63.1,5730113689,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272221,5,1,1,0,3,ctvzi2jbl1q6xzq0s3sexj73g,1,27.1,63.3,2025-05-16T16:00:39.121Z,2025-05-16T16:00:42Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5730113775,212,22.2,5730113769,56,Back,5730113773,141,30.7,5730113777,213,4.72,5730113771,140,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272237,6,1,1,0,6,ctvzi2jbl1q6xzq0s3sexj73g,0,28.4,25.6,2025-05-16T16:00:42.337Z,2025-05-16T16:00:45Z,11iaca5nfeqabdba4646vje1h,B. Moe,,,5730113851,141,14.9,5730113845,157,,5730113853,212,48.9,5730113857,1,,5730113855,213,6.13,5730113849,140,74.5,5730113847,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272253,3,12,1,0,11,80hgdmpkvdrhw1ge9nks2kxvy,1,24.5,91.2,2025-05-16T16:00:46.814Z,2025-05-16T16:00:49Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5730113929,15,,5730113909,141,100.0,5730113907,140,42.0,5730113941,167,,5730113915,213,0.37,5730113911,212,19.7,5730113905,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272257,4,5,1,0,11,80hgdmpkvdrhw1ge9nks2kxvy,0,38.7,101.8,2025-05-16T16:00:47.282Z,2025-05-16T18:07:55Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5730113933,347,,5730113931,56,Back,5730113975,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
