id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815266233,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-16T15:09:54.058Z,2025-05-16T19:28:50Z,,,,5730075883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730111811,197,29279,5730075889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730075885,59,"1, 21, 28, 16, 6, 19, 18, 17, 20, 7, 23, 34, 3, 4, 5, 8, 14, 26, 46, 56",5730075881,30,"2y89r1uyyagwssn9m67ihdo7p, 864mk13xqt9p7s22wdsdhnpat, 6hfh81884cw22q8ekjmiezq39, cv38uxcibt3cwwj54m9ydg86i, azgn1hgiep0jbrbdirnkut2zu, 9mt0cpw6rkuv6ndn4jbon6hg5, 97aigdp5c2m2sd1eoq143q8kp, cdqa1j5yeh8u9ll0ijx28oyj9, 2hwemaa18hwlq3c4i208lbbo5, 7m4f590x3kc3935gpg72xhg45, 6mzoir7lrrfehbzgu7gmnwyl0, 2rfdbxta1ako8hu4pg7kv07h1, 4v1zs5vyf4m4bbeop3n2msgve, 2i92r2eksw9ty9kis974k3uqy, 5p8387bgyjiuekkccl4j6kamt, 9fu1wk5unisycn8mt5j1p04ph, 617qfwb824ko8xrulrp6b86ad, 3qe0mkctopr68r841nrp2740k, birdlua3bxdp0lln5sjbx13pw, 1mzv5asyhii2emb6je663xy50",5730075891,194,7m4f590x3kc3935gpg72xhg45,5730075887,130,2,5730075893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815266437,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-16T15:11:12.557Z,2025-05-16T16:15:05Z,,,,5730077129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730111159,197,29049,5730077125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730077113,30,"45d87fg5d9k6rvgkkoqcdr384, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 8jn4wq3d1ro8f89lttw4b9rzd, dfinorpyitke7fsso0fkgz28k, 94s19kazaywfzrg007vsha6wa, 967mt42odhjqtdjxsf4epxxw, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 7fsqcwqftmk6lms6f6u8lpdlg, d0phfsg3amx6r0xblx5wia9k9, 6cu5njaghdntn0z9b1i6yb71m, 82dyshdwqwkvyba38j4a1kpas, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5730077115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730077123,130,7,5730077119,59,"12, 22, 15, 20, 4, 5, 16, 10, 25, 18, 8, 40, 3, 6, 9, 11, 21, 24, 31, 33",5730077127,194,3sfh0fq729hxtea9rzfke9979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272723,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-05-16T16:01:55.861Z,2025-05-16T16:01:58Z,,,,5730116259,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272713,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-16T16:01:55.861Z,2025-05-16T16:01:56Z,,,,5730116215,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272727,3,1,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,50.0,50.0,2025-05-16T16:01:55.970Z,2025-05-16T16:01:59Z,94s19kazaywfzrg007vsha6wa,R. Alte,,5730116285,141,33.6,5730116281,140,36.6,5730116293,213,3.81,5730116299,279,S,5730116277,56,Back,5730116287,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272749,4,1,1,0,1,uqspd1bx7f6mq8ohj50u1k1k,0,36.6,33.6,2025-05-16T16:01:57.832Z,2025-05-16T16:02:24Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,5730116413,141,70.5,5730116409,56,Center,5730116419,1,,5730116415,212,52.4,5730116411,140,80.4,5730116407,157,,5730116417,213,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272761,3,12,1,0,4,45v50owpvshpijizwwlcw4lni,1,22.1,26.4,2025-05-16T16:02:00.846Z,2025-05-16T16:02:03Z,azgn1hgiep0jbrbdirnkut2zu,I. Amundsen,,5730116495,56,Back,5730116499,141,14.7,5730116503,213,5.54,5730116497,140,30.4,5730116535,15,,5730116501,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272783,5,44,1,0,7,uqspd1bx7f6mq8ohj50u1k1k,1,69.4,87.9,2025-05-16T16:02:03.323Z,2025-05-16T16:02:08Z,dfinorpyitke7fsso0fkgz28k,N. Ødegård,,5730116627,286,,5730116625,56,Left,5730116643,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272779,4,44,1,0,7,45v50owpvshpijizwwlcw4lni,0,30.6,12.1,2025-05-16T16:02:03.324Z,2025-05-16T16:02:07Z,97aigdp5c2m2sd1eoq143q8kp,H. Stenevik,,5730116649,233,5,5730116609,285,,5730116607,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272811,6,1,1,0,8,uqspd1bx7f6mq8ohj50u1k1k,0,68.3,93.6,2025-05-16T16:02:04.104Z,2025-05-16T16:02:08Z,dfinorpyitke7fsso0fkgz28k,N. Ødegård,,5730116791,140,77.3,5730116795,212,10.7,5730116787,3,,5730116797,213,0.49,5730116789,56,Left,5730116793,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
