id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2823851941,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-06-22T14:08:34.608Z,2025-06-22T18:58:42Z,,,,,5777922113,130,11,5777922109,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777922115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777922111,59,"1, 14, 16, 15, 5, 3, 42, 25, 9, 7, 11, 12, 2, 4, 6, 17, 22, 26, 28, 33",5777922107,30,"7f0drwvw3zquh352luxegqtpl, 2dgff1agcaa5ohb0f4wn64ay2, 58ufmirzy800nq7gucsiz3hg4, 67nybn375tyqdqae4m1yk407o, 5u4eoypx0tb3t0brk2dv8sm0a, 1pobxn4eg4l8phk4ug0t56t7u, dvrvgq5j49kb9vfergmluyxyi, euc11yjkfscwt6xsiitlorz10, 4cx6v1ugc9l5sd0nqep3sxoiy, c1jlypnkt4c9y9vdnjkvxa85x, etz2bmorno30rw9efxkc0ufo, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 657z9s0rqlzub9nmdpb7ct82c, c1n6oxbkdutlfd5f07w45l8bu, 26ro2zdtkq9ia7dzr9ellxkvd, 3iolpwrv18gtlyse7ih3nt91w, 3hup5rvg21nkou5psia9pe9sk, 7yjrb3xvu6xzo23j6d8eu2sfe, c78cublmvb2gg8gzk999xn9hx",5777951039,197,23564,5777922119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777922117,194,c1jlypnkt4c9y9vdnjkvxa85x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823852927,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-06-22T14:15:10.015Z,2025-06-22T18:06:18Z,,,,,5777927875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5777927873,30,"d1p2mgz94oi55fa1wd2uhx5ud, 4hdrcg8os3e1uf9syfv5mpiol, cs99i7ypembqsswr96y6n53ze, 3vh1sx99telj2gktbljiarap5, 7u76uh9164fs8tx6zqw0icqtx, 4hmj5l79xbxxkyuxdx47lj8wl, ap46gkx1wxiog02327an06jv8, 15wt9e9girpzdqw5y2hb4awut, 5362zl678ibx1md2kk6t4r47o, 4ja6as3sd53z72xqa7p8vrv9w, 4vp5w5ahxvyk2iu4ymm9ksl7u, cr3712pf5aekd2bmmucpfcqvo, 5tnye4i4soi822vm0nncgoa, 7kdf2nyhfvbtqcjcfca6x4zkk, 6grill6jvkvpzba5atb3gnjzd, bh4tgnopvaormeadqqfl4zms4, go4g6syxqw7nwn67c1am65t5, b9jnt91acdlokhw6c59l681zo",5777951229,194,4hmj5l79xbxxkyuxdx47lj8wl,5777951071,197,29289,5777927877,59,"24, 26, 27, 8, 5, 71, 6, 10, 7, 16, 21, 12, 4, 14, 25, 39, 77, 84",5777927881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777927879,130,7,5777927883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857269,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-06-22T15:02:01.760Z,2025-06-22T15:02:03Z,,,,,5777952487,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857263,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-06-22T15:02:01.760Z,2025-06-22T15:02:01Z,,,,,5777952465,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857291,3,1,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,50.0,50.0,2025-06-22T15:02:01.761Z,2025-06-22T15:02:06Z,15wt9e9girpzdqw5y2hb4awut,H. Stengel,,,5777952607,140,23.8,5777952609,141,43.3,5777952615,279,S,5777952611,212,27.9,5777952613,213,3.31,5777952605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857309,4,1,1,0,4,ew0hpuiweoltpsg5f51r2w64t,0,23.8,41.9,2025-06-22T15:02:06.690Z,2025-06-22T15:02:09Z,d1p2mgz94oi55fa1wd2uhx5ud,E. Holmen Johansen,,,5777952697,157,,5777952703,141,58.1,5777952699,56,Center,5777952707,213,0.18,5777952701,140,81.0,5777952705,212,61.1,5777952709,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857317,3,1,1,0,8,4q0b35m26thti4c2on9a3npk0,0,13.3,33.7,2025-06-22T15:02:10.261Z,2025-06-22T15:02:10Z,5u4eoypx0tb3t0brk2dv8sm0a,F. Berglie,,,5777952737,140,50.8,5777952739,141,41.5,5777952743,213,0.13,5777952733,3,,5777952741,212,39.7,5777952745,1,,5777952735,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857345,5,1,1,0,11,ew0hpuiweoltpsg5f51r2w64t,1,64.4,51.2,2025-06-22T15:02:13.449Z,2025-06-22T15:02:17Z,3vh1sx99telj2gktbljiarap5,K. Krasniqi,,,5777952873,141,76.4,5777952869,56,Center,5777952877,213,2.00,5777952871,140,56.9,5777952875,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857353,6,1,1,0,15,ew0hpuiweoltpsg5f51r2w64t,1,55.5,73.3,2025-06-22T15:02:16.993Z,2025-06-22T18:55:57Z,cs99i7ypembqsswr96y6n53ze,F. Dahl,,,5777952917,141,63.7,5777952919,212,16.8,5777952915,140,40.8,5777952921,213,3.54,5777952913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857363,7,1,1,0,16,ew0hpuiweoltpsg5f51r2w64t,1,40.8,63.7,2025-06-22T15:02:18.329Z,2025-06-22T15:04:00Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5777952987,212,20.8,5777952989,213,4.65,5777952983,140,39.6,5777952985,141,33.1,5777952981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
