id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/15/value,qualifier/12/value
2797247155,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-06T14:11:14.610Z,2025-04-06T14:57:53Z,,,,,5630817939,197,8361,5630549969,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630549963,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630549967,130,7,5630549971,194,bxafjt88zqj5wgvx5r71c6cid,5630549965,59,"21, 3, 6, 29, 4, 55, 7, 8, 80, 10, 11, 1, 5, 9, 14, 15, 20, 22, 24, 27",5630549973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630549961,30,"b5kti1udidgdjke5raks6iezu, rzfthr8qys67ormz869jrndg, 2d9k8p22131is7op7vcn0arbp, 2rny9fva4m8awyltbc4ipftw4, fbd96sw3egypi2key2hxbnu2, 3ga4zm8ifo0ohz7xe03jxswkp, d5jihfuxjuw51jgt6k4zhmrmy, bxafjt88zqj5wgvx5r71c6cid, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, 9xxdec5pv5plas9ve4ehs4nop, cpcjoijkj6xhmcbfnyuarh1hx, cft1n7qn5juaedelpvqwo2f3d, dodkgckgbecal0vivr1jf0hzo, c9tn3kw240q4qmcbml5vyb6z8, a4de7kgp5ivhwckmtv5htu162, 8e70fy4a8pmhkhizrhlq261as, bi90ts7bjqsllbei6qtmx6has, bzk5asrkwi0pvl6npmxb7jhzp, uw1y94hwwthwor4cohho58gk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797258993,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T14:22:18.609Z,2025-04-06T14:57:35Z,,,,,5630615235,130,8,5630615241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630816453,197,518,5630615229,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, 58zj1aw2i5mfyzb3knj72xk6i, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 4e7x4ulb3mcxgnue8c9exvazu, azurrp6gm0xahdwntj9clyiac, wamee1wd0fr552uv5507z0lx, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, day3njm5hkudffvdvccpopbyt, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 6wxneuych76i6tlb49sqkmy5m, 2of6xfvdgpsrqehwxrc39kcq2, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, c5487d4s89hhsne317nbsvdh, 2urilkjhzglzfbteda50ml8us",5630615231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630615239,194,wamee1wd0fr552uv5507z0lx,5630615233,59,"1, 32, 8, 6, 2, 30, 11, 22, 14, 10, 27, 13, 4, 5, 7, 16, 18, 19, 23, 29",5630615237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298261,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-06T15:01:08.279Z,2025-04-06T15:01:08Z,,,,,5630832151,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298289,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-06T15:01:08.279Z,2025-04-06T15:01:11Z,,,,,5630832219,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298365,3,1,1,0,0,doohk95o6e8pkqah8vkop51dg,1,50.8,50.2,2025-04-06T15:01:08.280Z,2025-04-06T15:01:13Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5630832577,212,29.1,5630832579,213,3.17,5630832573,141,49.0,5630832569,140,23.1,5630832567,56,Back,5630832581,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298407,4,1,1,0,4,doohk95o6e8pkqah8vkop51dg,0,23.6,50.1,2025-04-06T15:01:13.024Z,2025-04-06T15:01:16Z,16od5bk1t05mluydp8i4t2lg4,Mamour Ndiaye,,,5630832841,141,89.4,5630832835,157,,5630832845,213,0.41,5630832847,1,,5630832843,212,67.6,5630832839,140,82.7,5630832837,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298431,3,1,1,0,9,8q6cv8g4bd3xdl7m88kll16na,0,24.1,18.6,2025-04-06T15:01:17.318Z,2025-04-06T15:04:05Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5630832985,140,39.5,5630832991,213,0.38,5630832981,157,,5630832989,212,17.4,5630832987,141,28.0,5630832983,56,Back,5630832993,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298487,5,1,1,0,12,doohk95o6e8pkqah8vkop51dg,1,61.3,79.3,2025-04-06T15:01:20.785Z,2025-04-06T15:01:22Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5630833317,56,Left,5630833327,212,9.1,5630833329,213,1.14,5630833325,141,91.5,5630833321,140,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298513,6,1,1,0,13,doohk95o6e8pkqah8vkop51dg,1,66.7,92.4,2025-04-06T15:01:22.249Z,2025-04-06T15:01:24Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5630833491,213,4.11,5630833487,141,79.5,5630833489,212,10.6,5630833483,56,Left,5630833485,140,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797298553,7,1,1,0,15,doohk95o6e8pkqah8vkop51dg,1,61.0,79.3,2025-04-06T15:01:24.097Z,2025-04-06T15:01:26Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5630833731,56,Left,5630833737,212,12.8,5630833739,213,0.87,5630833733,140,68.9,5630833735,141,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
