id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/15/value
2808305607,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-30T15:01:42.062Z,2025-04-30T15:01:42Z,,,,,5691573587,30,"e79tv8cwky1rcfjn35b629mmt, cqwjwlsum5q92s2k80w3temi2, 18paxu0ihqdu4kbd2ddi5z1t5, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, cbgxwjokvziezgbbn0qu91s7o, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, aeq6jlhgxpnkywoc20kp8tvu2, 5cjx2i2perp5vr62en4cyer1m, 6ni1632pd1mkwbnjiglttoo2x, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5691573593,130,7,5691573589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5691573601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5691573599,197,528,5691573597,194,bjqtzq0xcvtmbn54orj7rn5xx,5691573595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5691573591,59,"30, 5, 4, 8, 21, 25, 10, 33, 20, 7, 17, 1, 2, 19, 23, 24, 26, 27, 28, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808306313,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-30T15:04:34.809Z,2025-04-30T18:45:43Z,,,,,5691635725,197,503,5691577269,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5691577267,30,"dmzue0z7q5147nxeo24emskid, 45bvacft2k18ioxx2eek63y8k, 14ypgy7ikxp4yubgkr3yhh90p, 6qa22t9j7co6lpatbd00zppwq, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, b402113ae9zjswote8zxlzmc5, 446klv47srbtz97yk7vgakbft, 62inw8zz8raw527zudb2n8jys, 9plm1ekfi8ydpbfxhft0a8hjp, 1s3v8iujq9j1qbhccuun62jft, 5bfaszkv7wr5nkkcklqtncftg, 7wiychyw6gd8lw6zakd3swmlm, dp2ce683ahjwgywryjizdbtud, 8mkjfugmfdj5qb0on4u6kixhw, 9avxz26gl0igfm4ea5inps0es, 6685o2ur8lnocqbwtxit8jdas, 4bhecy0vioxwdpmw64uyek3ro, cyndk88eyqa8w6nfdsne29zis, a6mt7f1hy6ieaowii8na2j7dg",5691577271,59,"1, 18, 3, 2, 4, 55, 8, 16, 7, 11, 21, 12, 6, 14, 20, 25, 30, 37, 42, 66",5691577275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5691577273,130,10,5691577279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5691577277,194,446klv47srbtz97yk7vgakbft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316673,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-30T16:00:14.785Z,2025-05-01T07:20:59Z,,,,,5691638155,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316555,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-30T16:00:14.785Z,2025-04-30T16:00:15Z,,,,,5691637313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316563,3,1,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,49.9,49.9,2025-04-30T16:00:14.786Z,2025-04-30T16:00:18Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,,5691637369,279,S,5691637367,213,3.03,5691637363,141,53.9,5691637365,212,24.2,5691637361,140,27.0,5691637359,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316579,4,1,1,0,3,d8w1m5j3jbd1eva8524dv4a20,0,28.3,54.0,2025-04-30T16:00:18.231Z,2025-04-30T16:04:29Z,dmzue0z7q5147nxeo24emskid,A. Wichne,,,5691637467,1,,5691637463,212,39.8,5691637465,213,0.34,5691637455,155,,5691637461,141,73.5,5691637457,56,Center,5691637459,140,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316751,10,12,1,0,4,bsykw9d70ffqe9atosc92n1e9,1,30.6,12.5,2025-04-30T16:00:19.431Z,2025-04-30T16:04:44Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5691642355,212,13.2,5691642353,141,0.0,5691642347,167,,5691642357,213,5.56,5691642349,56,Back,5691642413,15,,5691642351,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316583,5,43,1,0,7,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-30T16:00:21.992Z,2025-04-30T16:04:27Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5691637487,140,66.0,5691642011,144,1,5691637489,141,75.0,5691637493,213,0.93,5691637483,3,0,5691637485,56,Center,5691637491,212,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316595,6,5,1,0,9,d8w1m5j3jbd1eva8524dv4a20,1,51.2,101.4,2025-04-30T16:00:23.895Z,2025-04-30T16:11:01Z,1s3v8iujq9j1qbhccuun62jft,J. Eskesen,,,5691637547,347,,5691637545,56,Left,5691642673,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808316753,11,5,1,0,9,bsykw9d70ffqe9atosc92n1e9,0,48.8,-1.4,2025-04-30T16:00:23.895Z,2025-04-30T16:11:01Z,,,,,5691642669,56,Back,5691642681,233,6,5691642671,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
