id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2794416925,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-03-31T19:51:31.396Z,2025-03-31T19:51:31Z,,,,,5614995475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614995467,130,7,5614995471,194,bxafjt88zqj5wgvx5r71c6cid,5614995473,197,530,5614995469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614995465,59,"21, 3, 23, 29, 4, 55, 7, 8, 80, 10, 11, 1, 5, 9, 14, 15, 20, 22, 24, 26",5614995461,30,"b5kti1udidgdjke5raks6iezu, rzfthr8qys67ormz869jrndg, c9a0owmk742hzaoxqlmxrruju, 2rny9fva4m8awyltbc4ipftw4, fbd96sw3egypi2key2hxbnu2, 3ga4zm8ifo0ohz7xe03jxswkp, d5jihfuxjuw51jgt6k4zhmrmy, bxafjt88zqj5wgvx5r71c6cid, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, 9xxdec5pv5plas9ve4ehs4nop, cpcjoijkj6xhmcbfnyuarh1hx, cft1n7qn5juaedelpvqwo2f3d, dodkgckgbecal0vivr1jf0hzo, c9tn3kw240q4qmcbml5vyb6z8, a4de7kgp5ivhwckmtv5htu162, 8e70fy4a8pmhkhizrhlq261as, bi90ts7bjqsllbei6qtmx6has, bzk5asrkwi0pvl6npmxb7jhzp, 3nl291loxoqoghj60c05rubro",5614995463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794417417,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-03-31T19:52:37.419Z,2025-03-31T23:08:08Z,,,,,5614998335,197,529,5614998323,30,"cktx8pichvlnbdxizrosxckph, cqwjwlsum5q92s2k80w3temi2, 18paxu0ihqdu4kbd2ddi5z1t5, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, e79tv8cwky1rcfjn35b629mmt, aeq6jlhgxpnkywoc20kp8tvu2, 91zbh3ij4d3d538i9hkqir9w5, 5cjx2i2perp5vr62en4cyer1m, djxtqxvqxd70prbr1gkwjp3sa, 6ni1632pd1mkwbnjiglttoo2x, 587vmahr6cyqzuucjdgr0ttec, 53vkcvwf46xgr7bvoqi9lpj4k, cbgxwjokvziezgbbn0qu91s7o",5614998325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614998331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614998333,194,bjqtzq0xcvtmbn54orj7rn5xx,5614998329,130,7,5614998327,59,"1, 5, 4, 8, 21, 25, 10, 27, 28, 7, 17, 30, 2, 11, 19, 20, 23, 26, 31, 33",5614998337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424599,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-03-31T20:08:52.111Z,2025-03-31T20:08:54Z,,,,,5615039273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424597,3,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-03-31T20:08:52.111Z,2025-03-31T20:08:52Z,,,,,5615039271,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424629,4,1,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,50.0,50.0,2025-03-31T20:08:52.112Z,2025-03-31T20:08:55Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615039395,212,25.6,5615039399,279,S,5615039391,140,25.7,5615039397,213,3.23,5615039393,141,46.6,5615039389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424653,5,1,1,0,3,bsykw9d70ffqe9atosc92n1e9,1,26.3,46.0,2025-03-31T20:08:55.281Z,2025-03-31T20:08:58Z,cktx8pichvlnbdxizrosxckph,A. Østbø,,,5615039575,1,,5615039567,140,69.8,5615039573,213,5.88,5615039571,212,49.7,5615039569,141,17.1,5615039565,56,Right,5615039563,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424657,6,44,1,0,6,bsykw9d70ffqe9atosc92n1e9,1,72.0,24.0,2025-03-31T20:08:58.640Z,2025-03-31T21:26:03Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615039623,233,3,5615039591,286,,5615039589,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424663,3,44,1,0,6,8q6cv8g4bd3xdl7m88kll16na,0,28.0,76.0,2025-03-31T20:08:58.641Z,2025-03-31T21:26:04Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615039609,56,Back,5615039611,285,,5615039635,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424673,7,1,1,0,7,bsykw9d70ffqe9atosc92n1e9,0,69.8,17.1,2025-03-31T20:08:59.209Z,2025-03-31T20:09:02Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615039679,141,42.8,5615039675,56,Center,5615039673,3,,5615039683,213,1.95,5615039677,140,63.2,5615039681,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794424671,4,44,1,0,9,8q6cv8g4bd3xdl7m88kll16na,1,33.9,52.0,2025-03-31T20:09:01.618Z,2025-03-31T21:26:04Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615039667,56,Back,5615039717,233,8,5615039669,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
