id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2793677683,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-03-30T14:03:06.048Z,2025-03-30T16:04:12Z,,,,5611682407,197,526,5610912689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610912673,59,"1, 2, 23, 4, 21, 5, 6, 11, 15, 10, 8, 27, 7, 9, 14, 17, 18, 20, 24, 30",5610912685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610934607,194,1qeetk4waatuxev4mqvbxx87p,5610912669,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610912681,130,10,5610912665,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, 1gwemllvgcore4shqy79qu82y, 9l89pnte9uhyc8jnads2lintg, b0zkcgl6f68noauzpuhzjm4tl, 5mvddfxv6aqzohz87gopwl990, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, ebkhyti8l579bl8amir9zgl5g, cd0g5e95qabgsw4gl3b8ijoid, 9fig1s65cvva53x8yqi30xwx5, 8he8k86ayqx3x5ee2a0jsfuy2, dq5uoeu7mw2a3uemr95w32k9g, hqe6ytrn865k82hbdfufxmac, q1o72uyrvclbkccpjvzugacq, 3bmh3ork0ei2hrqy1yq0lpwk4, 95t0lc2qqgzxp92n1pr62n816, fbk14d79iikagip25ncya0ut, 9nr6anmon9qq8vpk46m5r57v8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793684481,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-03-30T14:08:19.501Z,2025-03-30T19:22:54Z,,,,5610950787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5610950791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610950779,30,"dmzue0z7q5147nxeo24emskid, 6qa22t9j7co6lpatbd00zppwq, 14ypgy7ikxp4yubgkr3yhh90p, 446klv47srbtz97yk7vgakbft, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, 6685o2ur8lnocqbwtxit8jdas, b402113ae9zjswote8zxlzmc5, 8mkjfugmfdj5qb0on4u6kixhw, 7wiychyw6gd8lw6zakd3swmlm, 4bhecy0vioxwdpmw64uyek3ro, 5bfaszkv7wr5nkkcklqtncftg, 62inw8zz8raw527zudb2n8jys, eguth2iido7y17nisod5l6e50, 9plm1ekfi8ydpbfxhft0a8hjp, 1s3v8iujq9j1qbhccuun62jft, clyv3e5zbj72u09ialts0ul1w, 3i54vbczfupg24ex857b7hr10, cyndk88eyqa8w6nfdsne29zis",5610950783,59,"1, 2, 3, 16, 4, 55, 30, 8, 20, 6, 37, 12, 7, 10, 11, 21, 39, 40, 42",5611317929,197,504,5610950781,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5610950785,130,7,5610950789,194,b402113ae9zjswote8zxlzmc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750489,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-03-30T15:01:49.561Z,2025-03-30T19:17:12Z,,,,5611312789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750461,3,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-03-30T15:01:49.561Z,2025-03-30T15:03:40Z,,,,5611312647,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750677,3,43,1,0,8,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-03-30T15:02:37.178Z,2025-03-30T15:03:09Z,e20bu4y05cuuxz7zx3hl0erdg,M. Dia,,5611313463,140,36.1,5611313461,56,Back,5611313467,212,10.5,5611313465,141,33.1,5611313469,213,1.45,5611316393,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750755,4,43,1,0,8,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-03-30T15:02:37.961Z,2025-03-30T15:03:11Z,6qa22t9j7co6lpatbd00zppwq,C. Niyukuri,,5611313919,212,9.0,5611313915,140,44.0,5611313921,213,5.80,5611316585,144,1,5611313913,56,Back,5611313917,141,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750725,16,43,1,0,11,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-03-30T15:02:40.350Z,2025-03-30T15:03:13Z,cd0g5e95qabgsw4gl3b8ijoid,K. Antonsen,,5611314081,399,5ezedgrsrflkr1gi8o6eu7j3e,5611316809,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750761,5,43,1,0,14,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-03-30T15:02:43.177Z,2025-03-30T15:03:10Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,5611316511,144,1,5611313945,140,34.7,5611313953,213,2.28,5611313951,212,8.7,5611313947,141,43.6,5611313941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750759,17,43,1,0,14,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-03-30T15:02:43.341Z,2025-03-30T15:03:05Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,5611315989,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750785,18,43,1,0,14,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-03-30T15:02:43.518Z,2025-03-30T15:03:06Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,5611314065,213,5.28,5611316047,144,1,5611314057,56,Center,5611314063,212,8.0,5611314061,141,52.3,5611314059,140,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
