id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2819764103,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-28T16:22:18.403Z,2025-05-29T02:59:51Z,,,,,5754936663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5754936667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5754963853,197,23559,5754936655,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, bhkecr2u6neb933eo468i82ui, bww0h67l7g6o9syrkp12s7pih, dkuinrikn3htd1kilcsce2bit, 8rnri2daeaqt5h1hl9ftt6l0p, 95u4j4kg3w5wfpk8ilcimhfdg, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, 7j35sfip0xb51mpa91wzikrh0, dlx130vfa5ynu82q5jtawq8lw, b5itju69rep2i6e33wg97vr4k",5754936665,194,bww0h67l7g6o9syrkp12s7pih,5754936661,130,13,5754936657,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5754936659,59,"30, 16, 4, 15, 12, 22, 6, 11, 9, 13, 23, 1, 3, 5, 7, 18, 19, 20, 21, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819764309,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-28T16:24:04.685Z,2025-05-28T19:18:08Z,,,,,5754937889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5754937887,194,544reefy86rc8827sl3xh3oph,5754937875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5754963839,197,29283,5754937881,130,4,5754937873,30,"bwzftrovpa0418aapl98og7l6, 9hg60gdc7h6dwo1qi4c7pc9nt, 2u8ylwu9kogk0jorpe517812i, 544reefy86rc8827sl3xh3oph, a0dyuysg0p6ekvy4qkkfkwnvt, aulhjgm35swnx4k3rexbds8ut, 5occq5bmrhcs8rtxwsdi18bf9, qer4hblafo04av0aajfecclx, bapdoe78rj82j550otb5zemwa, 8cjgce68a2vla1ebamgac4nx0, 5o5f3xj6e86sw0pupxxx2nomi, abaqhbxbckjup0ybs4o70vw89, 1jp22ouky3tqtk04bvbfao7l6, 5k2hgogp2g5ivgdnq99ejp27e, 1lz298822pkgdar8bjjk7g1gq, ec0e15kwv2vre5gnldajcwq8l, f1naa48i09ck4srkhzxmdugwk, ej8tegehielvpwy8ee4wmasr8, 8o2d10ah6qbl2cmdisr48kcus, c93x9nizkr4od633kmr28lgd0",5754937885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5754937877,59,"1, 2, 19, 10, 4, 23, 5, 8, 18, 7, 9, 12, 6, 17, 22, 39, 45, 50, 55, 60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769185,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-28T17:00:59.234Z,2025-05-28T17:01:02Z,,,,,5754966405,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769181,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-28T17:00:59.234Z,2025-05-28T17:00:59Z,,,,,5754966387,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769187,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,50.0,50.0,2025-05-28T17:00:59.235Z,2025-05-28T17:01:02Z,bapdoe78rj82j550otb5zemwa,N. Holm,,,5754966437,279,S,5754966433,212,12.3,5754966431,141,52.1,5754966435,213,3.02,5754966429,140,38.4,5754966427,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769197,4,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,38.3,52.2,2025-05-28T17:01:02.354Z,2025-05-28T17:01:05Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,,5754966481,212,21.8,5754966479,141,84.2,5754966477,140,38.1,5754966483,213,1.58,5754966475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769211,5,1,1,0,5,c7jgkxx1czv5etn7snf1r6p2m,0,37.7,86.0,2025-05-28T17:01:05.042Z,2025-05-28T17:01:08Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,5754966543,1,,5754966541,213,0.19,5754966537,141,100.0,5754966539,212,55.6,5754966533,56,Left,5754966535,140,89.7,5754966531,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769291,3,5,1,0,8,e5txudmuc2qpc460bs4lb5aff,1,13.2,-1.6,2025-05-28T17:01:08.167Z,2025-05-28T19:16:13Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5754966933,56,Back,5754966935,347,,5754966943,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769213,6,5,1,0,8,c7jgkxx1czv5etn7snf1r6p2m,0,86.8,101.6,2025-05-28T17:01:08.167Z,2025-05-28T19:16:13Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,5754966549,56,Left,5754966951,233,3,5754966551,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769305,4,1,1,0,22,e5txudmuc2qpc460bs4lb5aff,0,18.1,0.0,2025-05-28T17:01:22.215Z,2025-05-28T17:01:27Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5754967021,212,29.6,5754967025,1,,5754967015,56,Back,5754967023,213,0.52,5754967019,141,20.0,5754967017,140,42.5,5754967013,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769325,7,44,1,0,27,c7jgkxx1czv5etn7snf1r6p2m,1,56.8,90.7,2025-05-28T17:01:26.557Z,2025-05-28T19:10:58Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,,5754967107,56,Left,5754967109,286,,5754967129,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769315,5,44,1,0,27,e5txudmuc2qpc460bs4lb5aff,0,43.2,9.3,2025-05-28T17:01:26.558Z,2025-05-28T19:10:58Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5754967055,56,Back,5754967057,285,,5754967133,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769329,8,1,1,0,28,c7jgkxx1czv5etn7snf1r6p2m,0,52.6,93.0,2025-05-28T17:01:27.539Z,2025-05-28T18:03:15Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,,5754967147,213,0.85,5754967143,141,100.0,5754967137,3,,5754967139,56,Left,5754967145,212,8.1,5754967141,140,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769359,6,5,1,0,28,e5txudmuc2qpc460bs4lb5aff,1,42.2,-1.7,2025-05-28T17:01:27.694Z,2025-05-28T19:16:13Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5754967313,347,,5754967311,56,Back,5754967331,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819769331,9,5,1,0,28,c7jgkxx1czv5etn7snf1r6p2m,0,57.8,101.7,2025-05-28T17:01:27.694Z,2025-05-28T19:16:14Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,5754967335,233,6,5754967159,56,Left,5754967161,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
