id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2807143741,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-04-27T14:00:45.659Z,2025-04-27T17:51:52Z,,,,,5685048083,130,11,5685048077,30,"7f0drwvw3zquh352luxegqtpl, c78cublmvb2gg8gzk999xn9hx, 67nybn375tyqdqae4m1yk407o, 5u4eoypx0tb3t0brk2dv8sm0a, 657z9s0rqlzub9nmdpb7ct82c, 1pobxn4eg4l8phk4ug0t56t7u, dvrvgq5j49kb9vfergmluyxyi, c1jlypnkt4c9y9vdnjkvxa85x, 26ro2zdtkq9ia7dzr9ellxkvd, 3usrzzduezg3zt3usvuayxxm2, aebliukutyz91pczaam39lolx, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 58ufmirzy800nq7gucsiz3hg4, biibwjyc33yv901fetordsv84, 3iolpwrv18gtlyse7ih3nt91w, 3hup5rvg21nkou5psia9pe9sk",5685048081,59,"1, 33, 15, 5, 4, 3, 42, 7, 17, 8, 10, 12, 2, 16, 19, 22, 26",5685048079,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5685481109,197,23564,5685048089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685048087,194,c1jlypnkt4c9y9vdnjkvxa85x,5685048085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807149963,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-04-27T14:05:31.345Z,2025-04-27T14:57:55Z,,,,,5685077923,194,do2fwr0qn3kg0qb40e3i36q51,5685481067,197,1393,5685077921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685077913,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, 7gqecbxztxxovmo1b6zqqcgve, 38qnvrvf3y1xs22tovwy21jv9, b2ibeioms7t9vb3au7tpqys4p, 55ashhvkh23ypnct70f9dgvkl, 3zg0pvrja75d3l44dq0lh4kb9, ar7ybu7dordgt2yfx5inux62, 7dnxkce4kn8qchaavv6e4tm21, at4flt8tr925ds3dgw5zrgtm1, bqh87676f46jsdfftw2gt1mok, 16rhwnvicrl1e9xqw867zuxn9, 8pyq4t68w42u3fgd2w7tjykbu, 2r893xoeuqhgoe2w2auhqb696, 11iaca5nfeqabdba4646vje1h, 5hst73ivtxknjb3rrdivwygnp, bbyystkqag4mcfpr6utsazm51, gg7dwzxwljl1rjw4v81pmp78",5685077917,59,"12, 20, 15, 7, 4, 6, 26, 14, 21, 25, 10, 1, 2, 5, 8, 9, 18, 19, 27, 77",5685077919,130,2,5685077925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685077915,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225449,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-04-27T15:01:48.657Z,2025-04-27T15:01:48Z,,,,,5685498231,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225469,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-04-27T15:01:48.657Z,2025-04-27T15:01:51Z,,,,,5685498319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225511,3,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,50.0,50.0,2025-04-27T15:01:48.658Z,2025-04-27T15:01:52Z,3zg0pvrja75d3l44dq0lh4kb9,A. Helmersen,,,5685498605,140,34.9,5685498603,56,Back,5685498611,213,3.36,5685498607,141,44.9,5685498613,279,S,5685498609,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225525,4,1,1,0,2,ctvzi2jbl1q6xzq0s3sexj73g,1,34.9,46.1,2025-04-27T15:01:51.064Z,2025-04-27T15:01:53Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5685498689,56,Back,5685498695,141,65.2,5685498701,213,2.23,5685498699,212,16.4,5685498691,140,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225543,5,1,1,0,4,ctvzi2jbl1q6xzq0s3sexj73g,1,25.3,64.9,2025-04-27T15:01:53.288Z,2025-04-27T15:01:54Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5685498797,56,Back,5685498799,140,24.2,5685498803,212,20.4,5685498801,141,34.9,5685498805,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225597,6,1,1,0,5,ctvzi2jbl1q6xzq0s3sexj73g,1,24.4,34.3,2025-04-27T15:01:54.472Z,2025-04-27T15:01:58Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5685499085,212,18.5,5685499087,213,5.01,5685499079,56,Back,5685499083,141,8.2,5685499081,140,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225647,7,1,1,0,9,ctvzi2jbl1q6xzq0s3sexj73g,1,30.6,14.0,2025-04-27T15:01:57.776Z,2025-04-27T15:02:01Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5685499373,140,23.5,5685499371,56,Back,5685499377,212,30.8,5685499379,213,1.82,5685499375,141,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225725,8,1,1,0,12,ctvzi2jbl1q6xzq0s3sexj73g,1,24.8,58.4,2025-04-27T15:02:01.343Z,2025-04-27T15:02:07Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5685499821,56,Back,5685499823,140,37.6,5685499825,141,92.6,5685499829,213,1.05,5685499827,212,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
