id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2820706013,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-06-01T14:13:14.741Z,2025-06-01T15:21:14Z,,,,5760248087,130,11,5760248081,30,"7f0drwvw3zquh352luxegqtpl, 2dgff1agcaa5ohb0f4wn64ay2, 58ufmirzy800nq7gucsiz3hg4, 67nybn375tyqdqae4m1yk407o, 5u4eoypx0tb3t0brk2dv8sm0a, 1pobxn4eg4l8phk4ug0t56t7u, dvrvgq5j49kb9vfergmluyxyi, c1jlypnkt4c9y9vdnjkvxa85x, etz2bmorno30rw9efxkc0ufo, euc11yjkfscwt6xsiitlorz10, 3iolpwrv18gtlyse7ih3nt91w, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 657z9s0rqlzub9nmdpb7ct82c, c1n6oxbkdutlfd5f07w45l8bu, 4cx6v1ugc9l5sd0nqep3sxoiy, 26ro2zdtkq9ia7dzr9ellxkvd, biibwjyc33yv901fetordsv84, 7yjrb3xvu6xzo23j6d8eu2sfe, c78cublmvb2gg8gzk999xn9hx",5760314317,197,29930,5760248093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760248091,194,c1jlypnkt4c9y9vdnjkvxa85x,5760248083,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760248089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760248085,59,"1, 14, 16, 15, 5, 3, 42, 7, 11, 25, 22, 12, 2, 4, 6, 9, 17, 19, 28, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820706789,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-06-01T14:15:40.749Z,2025-06-01T14:58:09Z,,,,5760314281,197,29282,5760252373,30,"bwzftrovpa0418aapl98og7l6, 9hg60gdc7h6dwo1qi4c7pc9nt, 2u8ylwu9kogk0jorpe517812i, 544reefy86rc8827sl3xh3oph, a0dyuysg0p6ekvy4qkkfkwnvt, aulhjgm35swnx4k3rexbds8ut, 5occq5bmrhcs8rtxwsdi18bf9, qer4hblafo04av0aajfecclx, bapdoe78rj82j550otb5zemwa, 8cjgce68a2vla1ebamgac4nx0, 5o5f3xj6e86sw0pupxxx2nomi, abaqhbxbckjup0ybs4o70vw89, 1jp22ouky3tqtk04bvbfao7l6, eas91my7qw7etoha5plxfk9yi, 5k2hgogp2g5ivgdnq99ejp27e, 1lz298822pkgdar8bjjk7g1gq, 4xnll2f9tb69wrezm04ayg76y, 7hs9c25dq0dbn8vrlgihjgay2, ec0e15kwv2vre5gnldajcwq8l, f1naa48i09ck4srkhzxmdugwk",5760252375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760252379,130,4,5760252381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760252383,194,544reefy86rc8827sl3xh3oph,5760252377,59,"1, 2, 19, 10, 4, 23, 5, 8, 18, 7, 9, 12, 6, 15, 17, 22, 35, 38, 39, 45",5760252385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717857,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-06-01T15:00:59.373Z,2025-06-01T15:00:59Z,,,,5760316627,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717861,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-06-01T15:00:59.373Z,2025-06-01T15:01:02Z,,,,5760316643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717865,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,49.8,50.0,2025-06-01T15:00:59.449Z,2025-06-01T15:01:03Z,qer4hblafo04av0aajfecclx,I. Fossum,,5760316649,140,44.0,5760316657,279,S,5760316651,141,53.0,5760316653,212,6.4,5760316733,278,,5760316655,213,2.82,5760316647,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717887,4,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,50.8,62.1,2025-06-01T15:01:02.869Z,2025-06-01T15:01:04Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,5760316771,140,57.0,5760316773,141,93.3,5760316769,56,Left,5760316777,213,1.27,5760316775,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717901,5,1,1,0,5,c7jgkxx1czv5etn7snf1r6p2m,1,58.0,93.0,2025-06-01T15:01:04.599Z,2025-06-01T15:01:07Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,5760316843,141,86.6,5760316841,140,39.4,5760316839,56,Back,5760316845,212,20.0,5760316847,213,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717925,6,1,1,0,7,c7jgkxx1czv5etn7snf1r6p2m,1,36.3,83.9,2025-06-01T15:01:07.223Z,2025-06-01T15:01:10Z,aulhjgm35swnx4k3rexbds8ut,U. Yttergård Jenssen,,5760316935,213,4.59,5760316931,141,61.4,5760316927,56,Back,5760316929,140,34.5,5760316933,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717953,7,1,1,0,11,c7jgkxx1czv5etn7snf1r6p2m,0,33.5,60.6,2025-06-01T15:01:10.590Z,2025-06-01T15:01:17Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,5760317051,1,,5760317047,212,38.7,5760317043,140,70.1,5760317039,56,Center,5760317035,155,,5760317049,213,6.16,5760317045,141,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717949,3,44,1,0,15,4q0b35m26thti4c2on9a3npk0,1,29.8,49.8,2025-06-01T15:01:15.071Z,2025-06-01T15:58:42Z,67nybn375tyqdqae4m1yk407o,M. Tønnessen,,5760317029,285,,5760317027,56,Back,5760317103,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
