id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId
2813394447,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-11T11:27:59.745Z,2025-05-11T14:45:08Z,,,,5719982219,197,29282,5719637089,130,10,5719637091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719637093,194,9hg60gdc7h6dwo1qi4c7pc9nt,5719637079,30,"bwzftrovpa0418aapl98og7l6, 9hg60gdc7h6dwo1qi4c7pc9nt, 2u8ylwu9kogk0jorpe517812i, 929eyaq4a218jj3yahxtoeve2, 7hs9c25dq0dbn8vrlgihjgay2, 1jp22ouky3tqtk04bvbfao7l6, 8cjgce68a2vla1ebamgac4nx0, qer4hblafo04av0aajfecclx, 4xnll2f9tb69wrezm04ayg76y, bapdoe78rj82j550otb5zemwa, e58qeh3alborxqkuk5bz7nw9g, abaqhbxbckjup0ybs4o70vw89, a0dyuysg0p6ekvy4qkkfkwnvt, 5o5f3xj6e86sw0pupxxx2nomi, 544reefy86rc8827sl3xh3oph, eas91my7qw7etoha5plxfk9yi, 5k2hgogp2g5ivgdnq99ejp27e, 1lz298822pkgdar8bjjk7g1gq, aulhjgm35swnx4k3rexbds8ut, f1naa48i09ck4srkhzxmdugwk",5719637087,59,"1, 2, 19, 21, 38, 6, 7, 8, 35, 18, 41, 12, 4, 9, 10, 15, 17, 22, 23, 45",5719637095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719637083,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813401101,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-11T11:34:11.941Z,2025-05-11T12:26:08Z,,,,5719670917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719670913,130,4,5719670907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719670925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719670921,194,62k4fq609h2evj1k2e1n42x91,5719670909,59,"1, 26, 23, 10, 3, 6, 19, 8, 20, 11, 27, 12, 2, 7, 15, 17, 32, 37, 41, 43",5719978025,197,501,5719670905,30,"mh6rotmnlhe66f2y16c3vvmd, ahe00hzfpxhe742i5db3mpe6s, adthn237lwxewaxsrgd6hlu51, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, ce1q0p0ifilrb8wx6rmkcaeol, 3vuirsh6wmbhingygy27f0hqt, 2ku8s4c6qk2aghe47hwqgxfro, ezoomo1jux77i7dvex03pnpjo, 76k8ic97o66kaq2e52bmp27ai, b29o112lpprnfqosulo4bc44, 1n9924y1nahaf0if575wgwonp, 5coof7ruazt9nbjl5qvobe3v8, 67xc5o15dmyr1x0il5qnhixas, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465757,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-11T12:31:42.262Z,2025-05-11T12:31:44Z,,,,5720005781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465721,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-11T12:31:42.262Z,2025-05-11T12:31:42Z,,,,5720005655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465745,3,1,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,49.9,49.6,2025-05-11T12:31:42.263Z,2025-05-11T12:34:39Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,5720005737,140,30.6,5720005745,279,S,5720005735,56,Back,5720005741,212,20.4,5720005743,213,3.24,5720005739,141,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465785,4,1,1,0,1,6oxoag5c6zbnn09wx08vz4iak,1,31.2,44.9,2025-05-11T12:31:44.061Z,2025-05-11T12:31:46Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,5720005935,140,30.8,5720005939,212,16.9,5720005941,213,4.69,5720005937,141,20.1,5720005933,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465823,5,1,1,0,4,6oxoag5c6zbnn09wx08vz4iak,0,30.8,20.1,2025-05-11T12:31:46.485Z,2025-05-11T12:31:49Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,5720006161,157,,5720006185,1,,5720006181,213,0.09,5720006169,140,75.4,5720006173,141,26.1,5720006177,212,47.0,5720006165,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465865,3,1,1,0,7,c7jgkxx1czv5etn7snf1r6p2m,1,25.9,78.8,2025-05-11T12:31:49.420Z,2025-05-11T12:31:52Z,929eyaq4a218jj3yahxtoeve2,T. Nemčík,,5720006425,140,22.8,5720006431,213,2.14,5720006429,212,6.0,5720006427,141,86.2,5720006423,56,Back,5720006421,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465891,5,1,1,0,10,c7jgkxx1czv5etn7snf1r6p2m,0,11.2,88.9,2025-05-11T12:31:53.139Z,2025-05-11T12:32:10Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,5720006599,213,0.27,5720006595,141,91.8,5720008083,233,6,5720006589,157,,5720006591,56,Back,5720006601,1,,5720006593,140,17.9,5720008081,236,,5720006597,212,7.3,5720008087,286,,,,,,,,,,,,,,,,,,,,,,,,
2813465921,6,74,1,0,10,6oxoag5c6zbnn09wx08vz4iak,1,76.3,9.8,2025-05-11T12:31:53.140Z,2025-05-11T14:41:22Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,5720008151,233,5,5720008077,285,,5720006755,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813465905,6,61,1,0,12,c7jgkxx1czv5etn7snf1r6p2m,1,17.9,91.8,2025-05-11T12:31:55.136Z,2025-05-11T12:31:55Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,5720006665,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
