id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815265683,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-16T15:05:37.663Z,2025-05-16T16:01:35Z,,,,,5730072379,194,3h8jot3v5xxuwzukt6n15jwlx,5730111953,197,29290,5730072373,59,"13, 5, 23, 8, 21, 25, 7, 27, 20, 33, 17, 1, 2, 3, 10, 18, 19, 26, 28, 31",5730072371,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730072369,30,"9trvbmdwo8fkndwjz9mr1bfmx, cqwjwlsum5q92s2k80w3temi2, 6ni1632pd1mkwbnjiglttoo2x, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, 60xm53o64nszavcsgfu5xzjyt, 7ctsofo6904i5ysgpfh2sdv1m, djxtqxvqxd70prbr1gkwjp3sa, cbgxwjokvziezgbbn0qu91s7o, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, aeq6jlhgxpnkywoc20kp8tvu2, 8csmi6krrz8ju4085n6dgekt1, bjqtzq0xcvtmbn54orj7rn5xx, 894tj8rg0i6kl4zvlok803949, 5cjx2i2perp5vr62en4cyer1m, 587vmahr6cyqzuucjdgr0ttec, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5730072375,130,7,5730072381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730072377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815267769,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-16T15:21:10.934Z,2025-05-16T18:27:20Z,,,,,5730085847,59,"30, 26, 17, 18, 2, 47, 7, 10, 23, 20, 27, 1, 3, 4, 6, 8, 11, 22, 43",5730113083,197,2276,5730085849,130,7,5730085853,194,6wygyy5z5i0okllr83e9ej8ph,5730085843,30,"9l1jrghczcsus55hd9hx6gdzp, 6x3f721vjb8mxlp5ba3p1rb4k, 92xhspr6bl1jyhqru3tsbjvqi, 6wygyy5z5i0okllr83e9ej8ph, 7zy4bzry9weswip0jogur6fbo, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, dxmgpouxmhnss0ggxm6yqgo9, 3g0xd9rds9relghxanr1f5vc9, 6hssnrvqsel6i5ca09p5730x6, v3hnsgptqqi0ystvybqtpyzu, bmaozrve14n5uj1a6q122dl3o, jfesb9jxg4g5yph0x6nabevo, 1j7zubyq25gltkrmrqb8xiyy2, 3e1tqerfmnsaqicofczjljo8a, c57cmqsy5y46vndbsqq3pyu7e, csoy01ylfrp2o2jso18oohmvo, 7hevgs3yo3fnxvingc7zzgpw4, di12pteex60qy5bdmm4lxt8no",5730085851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5730085845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5730085855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273011,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-16T16:02:33.453Z,2025-05-16T16:02:33Z,,,,,5730117907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273019,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-16T16:02:33.453Z,2025-05-16T16:02:36Z,,,,,5730117963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273027,3,1,1,0,0,btaf9fuj3xctycyjeqwereaow,1,50.3,50.1,2025-05-16T16:02:33.454Z,2025-05-16T16:02:36Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5730117999,140,30.2,5730118001,141,54.8,5730118007,279,S,5730118005,213,2.99,5730117997,56,Back,5730118003,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273031,4,1,1,0,3,btaf9fuj3xctycyjeqwereaow,0,30.5,57.6,2025-05-16T16:02:36.486Z,2025-05-16T16:02:37Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5730118045,56,Center,5730118055,1,,5730118051,212,35.7,5730118049,141,69.7,5730118053,213,0.23,5730118043,157,,5730118047,140,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273035,3,1,1,0,3,bsykw9d70ffqe9atosc92n1e9,0,35.2,20.6,2025-05-16T16:02:37.192Z,2025-05-16T16:02:38Z,7ctsofo6904i5ysgpfh2sdv1m,C. Cappis,,,5730118075,213,1.03,5730118071,141,32.2,5730118069,140,39.7,5730118073,212,9.2,5730118067,56,Back,5730118065,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273069,5,1,1,0,7,btaf9fuj3xctycyjeqwereaow,1,55.9,67.6,2025-05-16T16:02:40.726Z,2025-05-16T16:02:42Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5730118219,140,38.7,5730118223,212,21.6,5730118217,56,Back,5730118221,141,85.0,5730118225,213,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273095,6,1,1,0,8,btaf9fuj3xctycyjeqwereaow,1,39.0,85.1,2025-05-16T16:02:42.014Z,2025-05-16T16:02:45Z,92xhspr6bl1jyhqru3tsbjvqi,C. Cheng,,,5730118327,140,62.6,5730118325,56,Left,5730118333,213,0.08,5730118329,141,88.1,5730118331,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273097,7,4,1,0,11,btaf9fuj3xctycyjeqwereaow,1,58.2,89.8,2025-05-16T16:02:44.934Z,2025-05-16T18:15:48Z,v3hnsgptqqi0ystvybqtpyzu,J. Dunsby,,,5730118359,56,Left,5730118441,233,4,5730118363,265,,5730118361,152,,5730118357,13,,5730118365,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
