id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2797098929,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-06T11:46:58.970Z,2025-04-06T12:26:46Z,,,,,5629756383,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629756389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629962391,197,501,5629756391,194,62k4fq609h2evj1k2e1n42x91,5629756381,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, ahe00hzfpxhe742i5db3mpe6s, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, dfwjippbaspehxg8m8ui4djze, 878hgn9q68ca8y0wmdih92h9l, 2ku8s4c6qk2aghe47hwqgxfro, 9se6a4pxhy13alu316ttx2vhl, 76k8ic97o66kaq2e52bmp27ai, ce1q0p0ifilrb8wx6rmkcaeol, avnrtae50pid6aomt6sq3dqi2, 3vuirsh6wmbhingygy27f0hqt, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5629756385,59,"1, 23, 17, 10, 3, 26, 19, 8, 20, 14, 9, 12, 6, 7, 11, 21, 27, 32, 41, 43",5629756387,130,4,5629756393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797104805,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-06T11:53:57.755Z,2025-04-06T12:29:59Z,,,,,5629785407,59,"1, 2, 23, 4, 21, 24, 6, 11, 15, 17, 8, 27, 5, 7, 10, 14, 18, 20, 22, 30",5629785417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629785405,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629974135,194,1qeetk4waatuxev4mqvbxx87p,5629785409,130,10,5629969589,197,527,5629785413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629785403,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, 1gwemllvgcore4shqy79qu82y, 9l89pnte9uhyc8jnads2lintg, fbk14d79iikagip25ncya0ut, 5mvddfxv6aqzohz87gopwl990, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, q1o72uyrvclbkccpjvzugacq, cd0g5e95qabgsw4gl3b8ijoid, 9fig1s65cvva53x8yqi30xwx5, b0zkcgl6f68noauzpuhzjm4tl, 8he8k86ayqx3x5ee2a0jsfuy2, ebkhyti8l579bl8amir9zgl5g, hqe6ytrn865k82hbdfufxmac, 3bmh3ork0ei2hrqy1yq0lpwk4, 95t0lc2qqgzxp92n1pr62n816, 4kribchzl5lme5b56pigqdh7u, 9nr6anmon9qq8vpk46m5r57v8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142369,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-06T12:31:51.133Z,2025-04-06T12:31:51Z,,,,,5629985519,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142397,3,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-06T12:31:51.133Z,2025-04-06T12:31:53Z,,,,,5629985637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142435,4,1,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,49.8,50.1,2025-04-06T12:31:51.134Z,2025-04-06T12:31:55Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5629985879,213,2.75,5629985867,140,46.0,5629985871,141,52.5,5629985875,212,4.3,5629985881,279,S,5629985863,56,Back,5629985885,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142467,5,1,1,0,4,80hgdmpkvdrhw1ge9nks2kxvy,1,46.0,52.5,2025-04-06T12:31:55.157Z,2025-04-06T12:31:56Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5629986059,212,29.0,5629986053,56,Back,5629986061,213,3.95,5629986055,140,26.9,5629986057,141,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142489,6,1,1,0,5,80hgdmpkvdrhw1ge9nks2kxvy,1,26.9,21.6,2025-04-06T12:31:56.725Z,2025-04-06T12:31:58Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5629986179,140,17.4,5629986183,212,20.7,5629986177,56,Back,5629986185,213,2.07,5629986181,141,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142519,7,1,1,0,6,80hgdmpkvdrhw1ge9nks2kxvy,0,17.4,48.2,2025-04-06T12:31:58.070Z,2025-04-06T12:32:00Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5629986329,213,0.00,5629986323,140,67.4,5629986321,56,Center,5629986325,141,48.5,5629986331,1,,5629986319,157,,5629986327,212,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142593,3,12,1,0,10,6oxoag5c6zbnn09wx08vz4iak,1,33.2,46.0,2025-04-06T12:32:01.595Z,2025-04-06T12:32:05Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5629986813,212,36.2,5629986809,140,59.8,5629986815,213,0.69,5629986807,56,Left,5629986811,141,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797142573,8,1,1,0,12,80hgdmpkvdrhw1ge9nks2kxvy,0,32.0,15.2,2025-04-06T12:32:03.165Z,2025-04-06T13:32:09Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5629986697,140,57.1,5629986689,3,,5629986709,213,0.16,5629986705,212,26.7,5629986693,56,Center,5629986701,141,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
