id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2815266955,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-16T15:14:47.527Z,2025-05-16T19:47:47Z,,,,5730080271,130,10,5730080269,59,"12, 2, 14, 24, 26, 3, 11, 8, 9, 18, 19, 1, 4, 7, 16, 17, 28, 29, 32",5730080267,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5730111819,197,28385,5730080273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5730080265,30,"dk56pv43y8zo39ft9xtwyapnu, 8fqnvz74z901a2h0kgk1zezje, 172cxj9mocjk4cor42kjka3mx, c2pyie18ewq33hdvoaljwkbca, 7yjqvzpcyyil0g7jne4hv7svd, 4z8yicyffnto09vgpxp2bt1pl, egd6w206242dh7aowfzmwyane, 4z3w46k9n0yocg319dcewwz8q, 6yyum3rgz21z8aln67irm508a, 7adevxj1o3gpqpmrv3f72v3oq, auv81snxkpk2ybxzi8giy5azt, emce3apjphsh1r4jm5pjzyz11, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 3jgniouh70v4y74ly7u681o89, 95wuw8954h8drdxpx3f2wvuvo, c4xb4477ro5kjk7el9nczd6ok, a6tl97co89j46h3vvy2edpafo, 342b6q9d0ghvvizc2s6801ses",5730080277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730080275,194,172cxj9mocjk4cor42kjka3mx,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815267157,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-05-16T15:16:38.171Z,2025-05-16T16:04:31Z,,,,5730111845,197,29288,5730081681,130,8,5730081677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730081675,30,"9oc4or4w78wl51wehk66xb4k5, 4hdrcg8os3e1uf9syfv5mpiol, 6c9jzebimd3c53gpxa35sxzah, 3vh1sx99telj2gktbljiarap5, cs99i7ypembqsswr96y6n53ze, 4hmj5l79xbxxkyuxdx47lj8wl, go4g6syxqw7nwn67c1am65t5, 15wt9e9girpzdqw5y2hb4awut, 5362zl678ibx1md2kk6t4r47o, 7gnn9d501aradmmdrhhs5vfo4, 4vp5w5ahxvyk2iu4ymm9ksl7u, cr3712pf5aekd2bmmucpfcqvo, 5tnye4i4soi822vm0nncgoa, 7u76uh9164fs8tx6zqw0icqtx, ap46gkx1wxiog02327an06jv8, 7kdf2nyhfvbtqcjcfca6x4zkk, 37nltbem26wbv5t8fl9yu7gno, 4ja6as3sd53z72xqa7p8vrv9w, bh4tgnopvaormeadqqfl4zms4, b9jnt91acdlokhw6c59l681zo",5730081679,59,"1, 26, 17, 8, 27, 71, 77, 10, 7, 22, 21, 12, 4, 5, 6, 14, 15, 16, 39, 84",5730081687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730081685,194,4hmj5l79xbxxkyuxdx47lj8wl,5730081683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272519,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-16T16:01:32.385Z,2025-05-16T16:01:32Z,,,,5730115217,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272523,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-05-16T16:01:32.385Z,2025-05-16T16:01:34Z,,,,5730115239,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272545,3,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,50.2,50.4,2025-05-16T16:01:32.386Z,2025-05-16T16:01:35Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,5730115325,140,52.7,5730115333,212,2.7,5730115337,213,6.08,5730115345,278,,5730115341,279,S,5730115329,141,49.6,5730115321,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272569,4,1,1,0,2,eujf9nqky8c5jnahb2f76m86o,1,52.5,49.3,2025-05-16T16:01:35.079Z,2025-05-16T16:01:38Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,5730115479,56,Back,5730115487,213,3.60,5730115485,212,27.8,5730115481,140,28.8,5730115483,141,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272579,5,1,1,0,6,eujf9nqky8c5jnahb2f76m86o,1,29.9,31.5,2025-05-16T16:01:38.745Z,2025-05-16T16:56:30Z,4z8yicyffnto09vgpxp2bt1pl,S. Norheim,,5730115543,212,18.9,5730115545,213,5.16,5730115537,56,Back,5730115539,140,37.7,5730115541,141,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272603,6,1,1,0,8,eujf9nqky8c5jnahb2f76m86o,0,38.0,6.4,2025-05-16T16:01:40.513Z,2025-05-16T16:01:42Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,5730115661,1,,5730115655,141,35.7,5730115657,212,50.0,5730115653,140,81.7,5730115649,155,,5730115651,56,Center,5730115659,213,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272637,3,1,1,0,10,ew0hpuiweoltpsg5f51r2w64t,1,19.4,69.9,2025-05-16T16:01:43.299Z,2025-05-16T16:01:46Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,5730115807,56,Back,5730115805,3,,5730115815,213,1.32,5730115813,212,12.1,5730115809,140,22.3,5730115811,141,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272649,5,1,1,0,13,ew0hpuiweoltpsg5f51r2w64t,0,22.7,88.7,2025-05-16T16:01:46.266Z,2025-05-16T16:08:02Z,6c9jzebimd3c53gpxa35sxzah,L. Tómasson,,5730115889,212,10.2,5730133419,155,,5730115887,141,94.1,5730115885,140,31.8,5730115883,56,Back,5730115891,213,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
