id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2823828277,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-06-22T11:41:01.192Z,2025-06-22T16:10:16Z,,,,,5777788455,59,"1, 18, 6, 10, 3, 19, 5, 7, 8, 16, 11, 34, 2, 4, 9, 15, 23, 24, 27, 46",5777788463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777788453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777788459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777788451,30,"2y89r1uyyagwssn9m67ihdo7p, 97aigdp5c2m2sd1eoq143q8kp, azgn1hgiep0jbrbdirnkut2zu, 5al9uyujlrlb17o4r5sapkkk4, 4v1zs5vyf4m4bbeop3n2msgve, 9mt0cpw6rkuv6ndn4jbon6hg5, 5p8387bgyjiuekkccl4j6kamt, 7m4f590x3kc3935gpg72xhg45, 9fu1wk5unisycn8mt5j1p04ph, cv38uxcibt3cwwj54m9ydg86i, b95r3rmf3rzra4sp1mkutd5ka, 2rfdbxta1ako8hu4pg7kv07h1, 4348ovvnom9gdbun5vjntlg5, 2i92r2eksw9ty9kis974k3uqy, 5w0p51an11m21e5hnpjtukx04, e0j0uakuzduvis9wqsocngwrt, 6mzoir7lrrfehbzgu7gmnwyl0, 5xgx325eede1ap2sipgqdpyzu, 10jjf6ittt34mqsrihtotv1g4, birdlua3bxdp0lln5sjbx13pw",5777824207,197,29279,5777788461,194,7m4f590x3kc3935gpg72xhg45,5777788457,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823829107,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-06-22T11:44:47.728Z,2025-06-22T14:45:13Z,,,,,5777825051,194,1w8gujxthv0lfjrn98paa1uga,5777793109,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777793119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777824653,197,531,5777793107,30,"cpcjoijkj6xhmcbfnyuarh1hx, rzfthr8qys67ormz869jrndg, c9a0owmk742hzaoxqlmxrruju, 2rny9fva4m8awyltbc4ipftw4, fbd96sw3egypi2key2hxbnu2, 3ga4zm8ifo0ohz7xe03jxswkp, 3nl291loxoqoghj60c05rubro, 1w8gujxthv0lfjrn98paa1uga, dodkgckgbecal0vivr1jf0hzo, bi90ts7bjqsllbei6qtmx6has, 9xxdec5pv5plas9ve4ehs4nop, b5kti1udidgdjke5raks6iezu, cft1n7qn5juaedelpvqwo2f3d, 2d9k8p22131is7op7vcn0arbp, d5jihfuxjuw51jgt6k4zhmrmy, bxafjt88zqj5wgvx5r71c6cid, a4de7kgp5ivhwckmtv5htu162, bzk5asrkwi0pvl6npmxb7jhzp, uw1y94hwwthwor4cohho58gk, 4krwgfspxdgpq1pli11b04iga",5777793117,130,2,5777793121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777793113,59,"1, 3, 23, 29, 4, 55, 26, 10, 9, 22, 11, 21, 5, 6, 7, 8, 15, 24, 27, 80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835217,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-06-22T12:30:59.997Z,2025-06-22T12:31:01Z,,,,,5777827435,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835215,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-06-22T12:30:59.997Z,2025-06-22T12:31:00Z,,,,,5777827433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835219,3,1,1,0,0,45v50owpvshpijizwwlcw4lni,1,50.0,50.0,2025-06-22T12:30:59.998Z,2025-06-22T12:31:02Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5777827447,213,3.16,5777827441,140,32.2,5777827449,279,S,5777827443,141,49.4,5777827445,212,18.7,5777827439,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835221,4,1,1,0,2,45v50owpvshpijizwwlcw4lni,1,34.4,49.4,2025-06-22T12:31:02.565Z,2025-06-22T12:35:44Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5777827503,141,65.7,5777827507,213,2.23,5777827501,140,26.2,5777827499,56,Back,5777827505,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835223,5,1,1,0,6,45v50owpvshpijizwwlcw4lni,1,27.1,61.5,2025-06-22T12:31:06.414Z,2025-06-22T12:42:25Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5777827513,140,26.2,5777827515,141,36.3,5777827517,212,17.2,5777827511,56,Back,5777827519,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835235,6,1,1,0,11,45v50owpvshpijizwwlcw4lni,1,29.6,33.7,2025-06-22T12:31:11.630Z,2025-06-22T12:31:16Z,4v1zs5vyf4m4bbeop3n2msgve,C. Øyvann,,,5777827619,140,28.4,5777827625,213,1.63,5777827623,212,22.0,5777827621,141,66.0,5777827617,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835241,7,1,1,0,16,45v50owpvshpijizwwlcw4lni,1,26.7,62.9,2025-06-22T12:31:16.310Z,2025-06-22T12:43:35Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5777827651,141,46.3,5777827647,56,Back,5777827653,212,14.9,5777827655,213,4.00,5777827649,140,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835257,8,1,1,0,19,45v50owpvshpijizwwlcw4lni,0,18.5,45.4,2025-06-22T12:31:19.710Z,2025-06-22T12:31:22Z,2y89r1uyyagwssn9m67ihdo7p,J. Karlstrøm,,,5777827743,212,74.0,5777827737,56,Center,5777827739,140,88.0,5777827745,213,6.11,5777827741,141,27.0,5777827747,1,,5777827735,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835321,5,1,1,0,39,8q6cv8g4bd3xdl7m88kll16na,1,11.1,65.7,2025-06-22T12:31:39.806Z,2025-06-22T12:31:43Z,cpcjoijkj6xhmcbfnyuarh1hx,J. Storevik,,,5777828091,56,Left,5777828097,212,50.7,5777828089,155,,5777828099,213,0.26,5777828101,1,,5777828093,140,57.8,5777828095,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835325,7,1,1,0,43,8q6cv8g4bd3xdl7m88kll16na,0,53.6,90.0,2025-06-22T12:31:43.589Z,2025-06-22T12:31:46Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5777828119,56,Left,5777828121,140,51.4,5777828153,286,,5777828127,213,2.73,5777828125,212,2.5,5777828149,233,9,5777828147,236,,5777828123,141,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835319,9,74,1,0,43,45v50owpvshpijizwwlcw4lni,1,52.8,19.7,2025-06-22T12:31:43.590Z,2025-06-22T12:42:33Z,97aigdp5c2m2sd1eoq143q8kp,H. Stenevik,,,5777828085,56,Right,5777828177,233,7,5777828087,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835333,8,1,1,0,46,8q6cv8g4bd3xdl7m88kll16na,1,47.0,87.8,2025-06-22T12:31:46.251Z,2025-06-22T12:31:47Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5777828179,56,Back,5777828181,140,42.6,5777828183,141,82.0,5777828187,213,3.85,5777828185,212,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835335,9,1,1,0,47,8q6cv8g4bd3xdl7m88kll16na,0,42.6,82.0,2025-06-22T12:31:47.027Z,2025-06-22T14:39:11Z,c9a0owmk742hzaoxqlmxrruju,N. Pallas,,,5777828195,141,85.3,5777828193,140,44.1,5777848003,233,129,5777828199,213,0.96,5777828197,212,2.7,5777848001,236,,5777828191,56,Back,5777848007,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823838747,129,74,1,0,47,45v50owpvshpijizwwlcw4lni,1,51.4,12.3,2025-06-22T12:31:47.094Z,2025-06-22T12:45:42Z,4v1zs5vyf4m4bbeop3n2msgve,C. Øyvann,,,5777847967,285,,5777848021,233,9,5777847965,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835323,6,43,1,0,47,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-06-22T12:31:47.628Z,2025-06-22T13:23:38Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5777895487,144,1,5777828109,140,53.6,5777828107,56,Left,5777828111,141,90.0,5777828115,213,2.76,5777828113,212,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823835345,11,1,1,0,48,45v50owpvshpijizwwlcw4lni,1,55.1,21.8,2025-06-22T12:31:48.461Z,2025-06-22T12:31:49Z,4v1zs5vyf4m4bbeop3n2msgve,C. Øyvann,,,5777828237,141,34.2,5777828239,212,9.5,5777828241,213,1.10,5777828233,56,Center,5777828235,140,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
