id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2796346993,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-05T15:26:49.043Z,2025-04-06T12:33:52Z,,,,,5625685657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5625685661,130,4,5625685663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625685655,30,"bwzftrovpa0418aapl98og7l6, 2u8ylwu9kogk0jorpe517812i, aulhjgm35swnx4k3rexbds8ut, 1jp22ouky3tqtk04bvbfao7l6, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, qer4hblafo04av0aajfecclx, e58qeh3alborxqkuk5bz7nw9g, ec0e15kwv2vre5gnldajcwq8l, 8cjgce68a2vla1ebamgac4nx0, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, 9hg60gdc7h6dwo1qi4c7pc9nt, a0dyuysg0p6ekvy4qkkfkwnvt, 5occq5bmrhcs8rtxwsdi18bf9, 5o5f3xj6e86sw0pupxxx2nomi, eas91my7qw7etoha5plxfk9yi, bapdoe78rj82j550otb5zemwa, 1lz298822pkgdar8bjjk7g1gq, f1naa48i09ck4srkhzxmdugwk",5625685669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625685665,194,929eyaq4a218jj3yahxtoeve2,5626104909,197,21765,5625685659,59,"1, 19, 23, 6, 38, 21, 8, 41, 39, 7, 35, 12, 2, 4, 5, 9, 15, 18, 22, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796355191,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-05T15:30:30.569Z,2025-04-05T16:05:22Z,,,,,5625729273,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5625729271,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, c5p3hpmvlgspmqfs64zfrs991, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 7j35sfip0xb51mpa91wzikrh0, bhkecr2u6neb933eo468i82ui, 95u4j4kg3w5wfpk8ilcimhfdg, dkuinrikn3htd1kilcsce2bit, bww0h67l7g6o9syrkp12s7pih, 51ibk2sy9eczccqp0gzsmns9h, ezp3an9rpua3meyew3zs1h8gk, 4s8lwbyh90phbponlzsdlj0iy, ci3c5x4u4g1n4y9p63av1txx, ahje1y6v4dlmq4ath0rfcql90, 8rnri2daeaqt5h1hl9ftt6l0p, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, c284j5q0ewp6nu6xc57runrpw",5625729295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625729287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5626062805,197,23559,5625729283,130,10,5625729291,194,c5p3hpmvlgspmqfs64zfrs991,5625729277,59,"30, 16, 5, 15, 12, 22, 20, 6, 23, 9, 11, 1, 25, 3, 4, 7, 13, 18, 19, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796412951,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-05T16:00:30.656Z,2025-04-05T16:02:47Z,,,,,5626039857,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796412961,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-05T16:00:30.656Z,2025-04-05T16:03:19Z,,,,,5626039917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796554087,717,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,49.6,49.9,2025-04-05T16:00:30.657Z,2025-04-05T18:51:06Z,95u4j4kg3w5wfpk8ilcimhfdg,H. Skogvold,,,5626815649,213,6.01,5626815643,140,63.9,5626815639,189,,5626815641,56,Center,5626815647,212,15.6,5626815645,141,43.7,5626815651,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796412993,3,79,1,0,2,c7jgkxx1czv5etn7snf1r6p2m,0,0.0,0.0,2025-04-05T16:00:33.651Z,2025-04-05T18:30:36Z,,,,,5626040063,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414277,3,79,1,2,10,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-05T16:02:41.440Z,2025-04-05T16:03:41Z,,,,,5626047825,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796460787,307,5,1,2,11,e5txudmuc2qpc460bs4lb5aff,1,75.8,-1.4,2025-04-05T16:02:41.656Z,2025-04-05T16:52:22Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5626294965,347,,5626294963,56,Right,5626295819,233,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796460905,433,5,1,2,11,c7jgkxx1czv5etn7snf1r6p2m,0,25.1,101.4,2025-04-05T16:02:41.656Z,2025-04-05T16:52:21Z,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,5626295865,233,307,5626295671,56,Back,5626295673,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796461015,308,1,1,2,19,e5txudmuc2qpc460bs4lb5aff,0,79.5,0.0,2025-04-05T16:02:49.656Z,2025-04-05T16:53:03Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5626296277,56,Center,5626296281,141,35.2,5626296275,107,,5626296283,212,26.5,5626296279,140,87.9,5626296287,1,,5626296285,213,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
