id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2809442347,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-03T15:07:24.438Z,2025-05-03T15:56:28Z,,,,,5698331199,197,530,5697869721,130,7,5697869727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697869719,59,"21, 3, 27, 29, 55, 5, 7, 8, 80, 10, 24, 1, 2, 4, 6, 9, 11, 15, 23",5697869715,30,"b5kti1udidgdjke5raks6iezu, rzfthr8qys67ormz869jrndg, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, 3ga4zm8ifo0ohz7xe03jxswkp, cft1n7qn5juaedelpvqwo2f3d, d5jihfuxjuw51jgt6k4zhmrmy, bxafjt88zqj5wgvx5r71c6cid, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, bzk5asrkwi0pvl6npmxb7jhzp, cpcjoijkj6xhmcbfnyuarh1hx, 769pk71w97o3z1x34npz8quh, fbd96sw3egypi2key2hxbnu2, 2d9k8p22131is7op7vcn0arbp, dodkgckgbecal0vivr1jf0hzo, 9xxdec5pv5plas9ve4ehs4nop, a4de7kgp5ivhwckmtv5htu162, c9a0owmk742hzaoxqlmxrruju",5697869723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5697869717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5697869725,194,bxafjt88zqj5wgvx5r71c6cid,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809449383,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-03T15:11:04.754Z,2025-05-03T16:02:49Z,,,,,5697906003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5697906019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697906015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5697906007,59,"1, 26, 17, 10, 3, 6, 19, 8, 20, 11, 9, 12, 7, 15, 27, 32, 39, 41, 43",5697905999,30,"mh6rotmnlhe66f2y16c3vvmd, ahe00hzfpxhe742i5db3mpe6s, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, ce1q0p0ifilrb8wx6rmkcaeol, 878hgn9q68ca8y0wmdih92h9l, 2ku8s4c6qk2aghe47hwqgxfro, 76k8ic97o66kaq2e52bmp27ai, b29o112lpprnfqosulo4bc44, 3vuirsh6wmbhingygy27f0hqt, 5coof7ruazt9nbjl5qvobe3v8, 324mj5xttv0f2k1e1iiq4jms4, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5698329121,197,501,5697906017,194,62k4fq609h2evj1k2e1n42x91,5697906011,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532249,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-05-03T16:01:17.994Z,2025-05-03T16:01:19Z,,,,,5698353303,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532223,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-05-03T16:01:17.994Z,2025-05-03T16:01:18Z,,,,,5698353139,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532273,3,1,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,49.9,50.3,2025-05-03T16:01:17.995Z,2025-05-03T16:01:20Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5698353433,213,2.52,5698353427,140,30.6,5698353437,279,S,5698353431,212,24.9,5698353425,56,Back,5698353429,141,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532333,4,1,1,0,2,6oxoag5c6zbnn09wx08vz4iak,1,33.2,72.7,2025-05-03T16:01:20.601Z,2025-05-03T18:16:34Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5698353719,141,11.9,5698353715,140,65.0,5698353723,212,53.1,5698353727,1,,5698353713,56,Right,5698353725,213,5.39,5698353711,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532339,5,44,1,0,6,6oxoag5c6zbnn09wx08vz4iak,1,67.8,11.6,2025-05-03T16:01:24.449Z,2025-05-03T18:06:39Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5698353771,286,,5698353769,56,Right,5698353813,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532343,3,44,1,0,6,8q6cv8g4bd3xdl7m88kll16na,0,32.2,88.4,2025-05-03T16:01:24.450Z,2025-05-03T18:06:40Z,uw1y94hwwthwor4cohho58gk,Vinícius Nogueira,,,5698353785,285,,5698353867,233,5,5698353783,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532361,6,1,1,0,6,6oxoag5c6zbnn09wx08vz4iak,1,64.0,12.9,2025-05-03T16:01:24.714Z,2025-05-03T16:01:27Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5698353925,3,,5698353935,213,1.61,5698353929,140,63.7,5698353931,141,26.2,5698353927,56,Center,5698353933,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809532365,7,1,1,0,8,6oxoag5c6zbnn09wx08vz4iak,0,64.0,25.3,2025-05-03T16:01:26.114Z,2025-05-03T18:16:43Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5698353977,56,Center,5698353985,213,6.28,5698353979,140,72.3,5698353975,3,,5698353981,141,25.2,5698353983,212,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
