id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2823876427,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-06-22T16:23:15.491Z,2025-06-22T17:19:28Z,,,,,5778060833,30,"9trvbmdwo8fkndwjz9mr1bfmx, cqwjwlsum5q92s2k80w3temi2, 4yive3zei0pzhsn0s9tccixhw, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, cbgxwjokvziezgbbn0qu91s7o, djxtqxvqxd70prbr1gkwjp3sa, 5cjx2i2perp5vr62en4cyer1m, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, aeq6jlhgxpnkywoc20kp8tvu2, 8csmi6krrz8ju4085n6dgekt1, 18paxu0ihqdu4kbd2ddi5z1t5, 60xm53o64nszavcsgfu5xzjyt, 894tj8rg0i6kl4zvlok803949, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg",5778060837,59,"13, 5, 24, 8, 21, 25, 10, 33, 20, 19, 17, 1, 2, 3, 4, 7, 18, 26, 27, 28",5778060839,130,7,5778060843,194,bjqtzq0xcvtmbn54orj7rn5xx,5778060841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5778128723,197,29290,5778060835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5778060845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823879271,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-22T16:32:58.558Z,2025-06-22T21:19:57Z,,,,,5778077055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5778077045,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5778077051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5778077053,194,bhkecr2u6neb933eo468i82ui,5778077047,59,"30, 16, 4, 15, 12, 22, 19, 6, 9, 13, 11, 1, 3, 5, 18, 20, 23, 31, 32, 40",5778077049,130,13,5778077043,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 1s6yn52hlqtmmz4lerscf457u, bhkecr2u6neb933eo468i82ui, dkuinrikn3htd1kilcsce2bit, 8rnri2daeaqt5h1hl9ftt6l0p, bww0h67l7g6o9syrkp12s7pih, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, 2gic8jiz83o8w0qsh3g9eq385, 7j35sfip0xb51mpa91wzikrh0, 95u4j4kg3w5wfpk8ilcimhfdg, dp03arwvufj1qju8f9kbfm6ms, ej0pkwfgnkfbmyyczyruf5ixg, b5itju69rep2i6e33wg97vr4k",5778254111,197,23559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888547,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-22T17:15:16.296Z,2025-06-22T17:15:16Z,,,,,5778129523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888549,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-06-22T17:15:16.296Z,2025-06-22T17:15:17Z,,,,,5778129525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888563,3,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,49.9,50.0,2025-06-22T17:15:16.297Z,2025-06-22T17:15:19Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5778129593,56,Back,5778129601,213,2.71,5778129603,279,S,5778129599,212,28.0,5778129597,141,67.3,5778129595,140,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888571,4,1,1,0,3,e5txudmuc2qpc460bs4lb5aff,1,25.7,67.0,2025-06-22T17:15:19.880Z,2025-06-22T17:15:22Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5778129655,212,51.7,5778129649,56,Center,5778129647,157,,5778129657,213,5.66,5778129659,1,,5778129653,141,22.5,5778129651,140,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888573,5,61,1,0,6,e5txudmuc2qpc460bs4lb5aff,0,65.6,22.5,2025-06-22T17:15:22.568Z,2025-06-22T17:15:23Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5778129663,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888601,3,1,1,0,8,bsykw9d70ffqe9atosc92n1e9,0,25.7,79.6,2025-06-22T17:15:24.493Z,2025-06-22T17:15:26Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5778129813,56,Left,5778129811,157,,5778129823,1,,5778129821,213,0.19,5778129817,141,92.1,5778129819,212,44.5,5778129815,140,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888613,6,1,1,0,12,e5txudmuc2qpc460bs4lb5aff,1,25.4,18.9,2025-06-22T17:15:28.760Z,2025-06-22T17:15:30Z,16yy0mbn7y1vztd870gybmane,M. Woledzi,,,5778129901,213,1.11,5778129893,56,Back,5778129899,212,9.6,5778129897,141,31.6,5778129895,140,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823888617,7,1,1,0,14,e5txudmuc2qpc460bs4lb5aff,1,29.5,31.6,2025-06-22T17:15:30.512Z,2025-06-22T17:15:31Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5778129929,141,17.0,5778129927,140,29.6,5778129925,56,Back,5778129931,212,9.9,5778129933,213,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
