id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2810300907,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-05-04T13:56:03.831Z,2025-05-04T17:33:05Z,,,,,5702525059,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702525057,130,11,5702525061,194,446klv47srbtz97yk7vgakbft,5702525055,59,"1, 18, 42, 6, 4, 55, 8, 16, 11, 21, 7, 12, 14, 20, 25, 30, 37, 39, 41, 66",5702525051,30,"dmzue0z7q5147nxeo24emskid, 45bvacft2k18ioxx2eek63y8k, cyndk88eyqa8w6nfdsne29zis, 7wiychyw6gd8lw6zakd3swmlm, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, b402113ae9zjswote8zxlzmc5, 446klv47srbtz97yk7vgakbft, 9plm1ekfi8ydpbfxhft0a8hjp, 1s3v8iujq9j1qbhccuun62jft, 62inw8zz8raw527zudb2n8jys, 5bfaszkv7wr5nkkcklqtncftg, dp2ce683ahjwgywryjizdbtud, 8mkjfugmfdj5qb0on4u6kixhw, 9avxz26gl0igfm4ea5inps0es, 6685o2ur8lnocqbwtxit8jdas, 4bhecy0vioxwdpmw64uyek3ro, clyv3e5zbj72u09ialts0ul1w, 638wqiwkdm6666g8lqzf7xtec, a6mt7f1hy6ieaowii8na2j7dg",5703057381,197,29047,5702525053,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702525063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2810318883,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-04T14:11:10.828Z,2025-05-04T18:10:18Z,,,,,5702621491,130,8,5702621495,194,864mk13xqt9p7s22wdsdhnpat,5702621497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5703050057,197,510,5702621485,30,"2y89r1uyyagwssn9m67ihdo7p, 864mk13xqt9p7s22wdsdhnpat, 6hfh81884cw22q8ekjmiezq39, cdqa1j5yeh8u9ll0ijx28oyj9, azgn1hgiep0jbrbdirnkut2zu, 9mt0cpw6rkuv6ndn4jbon6hg5, 5p8387bgyjiuekkccl4j6kamt, 5al9uyujlrlb17o4r5sapkkk4, 5w0p51an11m21e5hnpjtukx04, 2hwemaa18hwlq3c4i208lbbo5, 6mzoir7lrrfehbzgu7gmnwyl0, 2rfdbxta1ako8hu4pg7kv07h1, 4348ovvnom9gdbun5vjntlg5, 2i92r2eksw9ty9kis974k3uqy, 7m4f590x3kc3935gpg72xhg45, 97aigdp5c2m2sd1eoq143q8kp, 3qe0mkctopr68r841nrp2740k, 10jjf6ittt34mqsrihtotv1g4, birdlua3bxdp0lln5sjbx13pw, 1mzv5asyhii2emb6je663xy50",5702621489,59,"1, 21, 28, 17, 6, 19, 5, 10, 9, 20, 23, 34, 2, 4, 7, 18, 26, 27, 46, 56",5702621493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702621487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2810399665,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-04T15:01:23.033Z,2025-05-04T15:01:23Z,,,,,5703065331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399679,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-05-04T15:01:23.033Z,2025-05-04T15:01:25Z,,,,,5703065387,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399697,3,1,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,50.0,50.0,2025-05-04T15:01:23.034Z,2025-05-04T15:01:26Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,,5703065511,56,Back,5703065515,141,48.7,5703065517,212,24.0,5703065519,213,3.18,5703065521,279,S,5703065513,140,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399817,4,1,1,0,3,d8w1m5j3jbd1eva8524dv4a20,0,27.2,48.7,2025-05-04T15:01:26.665Z,2025-05-04T15:04:11Z,dmzue0z7q5147nxeo24emskid,A. Wichne,,,5703066135,212,52.7,5703066131,140,77.4,5703066139,1,,5703066137,213,6.28,5703066129,56,Center,5703066127,157,,5703066133,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399771,3,44,1,0,6,45v50owpvshpijizwwlcw4lni,1,23.8,53.5,2025-05-04T15:01:29.430Z,2025-05-04T16:01:15Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5703080773,233,16,5703065883,56,Back,5703065885,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810402301,16,44,1,0,6,d8w1m5j3jbd1eva8524dv4a20,0,76.2,46.5,2025-05-04T15:01:29.431Z,2025-05-04T16:01:15Z,62inw8zz8raw527zudb2n8jys,E. Schlichting,,,5703080873,233,3,5703080317,56,Center,5703080319,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399779,4,1,1,0,6,45v50owpvshpijizwwlcw4lni,0,26.6,62.0,2025-05-04T15:01:29.957Z,2025-05-04T15:55:33Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5703065921,213,5.47,5703065913,56,Back,5703065911,3,,5703065915,140,34.0,5703065917,141,49.9,5703065919,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399837,5,1,1,0,9,d8w1m5j3jbd1eva8524dv4a20,0,67.6,51.6,2025-05-04T15:01:32.649Z,2025-05-04T15:01:34Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,,5703066281,213,0.37,5703066271,157,,5703066275,140,95.7,5703066273,56,Center,5703066277,141,68.5,5703066283,1,,5703066279,212,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399911,5,12,1,0,11,45v50owpvshpijizwwlcw4lni,1,7.4,28.8,2025-05-04T15:01:34.324Z,2025-05-04T15:01:38Z,864mk13xqt9p7s22wdsdhnpat,M. Linnes,,,5703066665,141,18.0,5703066661,56,Back,5703066669,213,6.10,5703066667,212,39.4,5703066663,140,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810399965,6,1,1,0,16,d8w1m5j3jbd1eva8524dv4a20,1,60.8,88.4,2025-05-04T15:01:39.785Z,2025-05-04T15:01:41Z,7wiychyw6gd8lw6zakd3swmlm,P. Bizoza,,,5703066959,212,16.6,5703066955,141,80.9,5703066951,140,75.8,5703066943,56,Left,5703066963,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
