id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId
2797260499,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-06T14:24:03.366Z,2025-04-06T18:01:34Z,,,,,5630623791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630623783,130,7,5630623777,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630623785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630623779,59,"1, 2, 3, 6, 4, 55, 30, 8, 11, 21, 37, 12, 7, 10, 14, 16, 20, 39, 42, 43",5630623787,194,1s3v8iujq9j1qbhccuun62jft,5630623773,30,"dmzue0z7q5147nxeo24emskid, 6qa22t9j7co6lpatbd00zppwq, 14ypgy7ikxp4yubgkr3yhh90p, 7wiychyw6gd8lw6zakd3swmlm, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, 6685o2ur8lnocqbwtxit8jdas, b402113ae9zjswote8zxlzmc5, 9plm1ekfi8ydpbfxhft0a8hjp, 1s3v8iujq9j1qbhccuun62jft, 4bhecy0vioxwdpmw64uyek3ro, 5bfaszkv7wr5nkkcklqtncftg, 62inw8zz8raw527zudb2n8jys, eguth2iido7y17nisod5l6e50, dp2ce683ahjwgywryjizdbtud, 446klv47srbtz97yk7vgakbft, 8mkjfugmfdj5qb0on4u6kixhw, clyv3e5zbj72u09ialts0ul1w, cyndk88eyqa8w6nfdsne29zis, 89yjo02yzwwjlk8hnu786qln8",5630813803,197,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267023,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-06T14:31:51.554Z,2025-04-06T14:53:28Z,,,,,5630660585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5630660579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5630794693,197,524,5630660587,194,4hmj5l79xbxxkyuxdx47lj8wl,5630660589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630660581,59,"1, 26, 17, 8, 25, 71, 77, 10, 9, 22, 21, 24, 5, 7, 11, 15, 16, 27",5630660583,130,8,5630660577,30,"9oc4or4w78wl51wehk66xb4k5, 4hdrcg8os3e1uf9syfv5mpiol, 6c9jzebimd3c53gpxa35sxzah, 3vh1sx99telj2gktbljiarap5, 6grill6jvkvpzba5atb3gnjzd, 4hmj5l79xbxxkyuxdx47lj8wl, go4g6syxqw7nwn67c1am65t5, 15wt9e9girpzdqw5y2hb4awut, 7io59zk29vhvyueadmkotzeqy, 7gnn9d501aradmmdrhhs5vfo4, 4vp5w5ahxvyk2iu4ymm9ksl7u, d1p2mgz94oi55fa1wd2uhx5ud, 7u76uh9164fs8tx6zqw0icqtx, 5362zl678ibx1md2kk6t4r47o, 5qq4l9qh14ej217d3by53ucmi, 37nltbem26wbv5t8fl9yu7gno, 4ja6as3sd53z72xqa7p8vrv9w, cs99i7ypembqsswr96y6n53ze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297425,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-04-06T15:00:13.893Z,2025-04-06T15:00:15Z,,,,,5630827971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297405,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-06T15:00:13.893Z,2025-04-06T15:00:31Z,,,,,5630827875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297479,3,1,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,50.2,50.0,2025-04-06T15:00:13.894Z,2025-04-06T15:00:31Z,15wt9e9girpzdqw5y2hb4awut,H. Stengel,,,5630828245,279,S,5630828237,140,29.7,5630828235,56,Back,5630828241,212,22.9,5630828239,141,61.7,5630828243,213,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297507,4,1,1,0,4,ew0hpuiweoltpsg5f51r2w64t,1,30.0,60.8,2025-04-06T15:00:18.764Z,2025-04-06T15:00:30Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5630828361,141,38.2,5630828363,212,15.5,5630828359,140,31.8,5630828365,213,4.83,5630828357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297531,5,1,1,0,6,ew0hpuiweoltpsg5f51r2w64t,1,31.8,37.7,2025-04-06T15:00:20.239Z,2025-04-06T15:00:30Z,6grill6jvkvpzba5atb3gnjzd,J. Taaje,,,5630828495,213,1.80,5630828487,56,Back,5630828489,140,28.4,5630828491,141,60.6,5630828493,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297575,6,1,1,0,7,ew0hpuiweoltpsg5f51r2w64t,1,27.4,68.1,2025-04-06T15:00:21.815Z,2025-04-06T15:00:30Z,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,5630828711,56,Back,5630828721,213,1.20,5630828719,212,15.3,5630828717,141,89.1,5630828715,140,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297589,7,1,1,0,10,ew0hpuiweoltpsg5f51r2w64t,0,31.2,96.5,2025-04-06T15:00:24.223Z,2025-04-06T15:00:29Z,6c9jzebimd3c53gpxa35sxzah,L. Tómasson,,,5630828795,213,0.00,5630828833,233,3,5630828787,56,Back,5630828831,236,,5630828791,141,96.5,5630828793,212,1.1,5630828789,140,32.2,5630828837,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797297593,3,74,1,0,10,d8w1m5j3jbd1eva8524dv4a20,1,60.8,5.8,2025-04-06T15:00:24.224Z,2025-04-06T17:04:09Z,6685o2ur8lnocqbwtxit8jdas,I. Camara,,,5630828817,285,,5630828867,233,7,5630828815,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
