id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value
2804397243,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-21T11:36:45.373Z,2025-04-21T12:27:11Z,,,,,5669898083,59,"1, 19, 23, 6, 38, 21, 8, 41, 39, 7, 35, 12, 2, 4, 5, 9, 10, 18, 22, 45",5669898087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669898081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669898079,30,"bwzftrovpa0418aapl98og7l6, 2u8ylwu9kogk0jorpe517812i, aulhjgm35swnx4k3rexbds8ut, 1jp22ouky3tqtk04bvbfao7l6, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, qer4hblafo04av0aajfecclx, e58qeh3alborxqkuk5bz7nw9g, ec0e15kwv2vre5gnldajcwq8l, 8cjgce68a2vla1ebamgac4nx0, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, 9hg60gdc7h6dwo1qi4c7pc9nt, a0dyuysg0p6ekvy4qkkfkwnvt, 5occq5bmrhcs8rtxwsdi18bf9, 5o5f3xj6e86sw0pupxxx2nomi, 544reefy86rc8827sl3xh3oph, bapdoe78rj82j550otb5zemwa, 1lz298822pkgdar8bjjk7g1gq, f1naa48i09ck4srkhzxmdugwk",5669898091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669898089,194,929eyaq4a218jj3yahxtoeve2,5669999433,197,21765,5669898085,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804398829,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-21T11:43:43.937Z,2025-04-21T12:31:30Z,,,,,5669907651,59,"21, 3, 27, 29, 55, 5, 7, 8, 80, 10, 11, 1, 2, 4, 6, 9, 15, 22, 23, 24",5669907657,194,bxafjt88zqj5wgvx5r71c6cid,5670002923,197,531,5669907653,130,7,5669907649,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669907647,30,"b5kti1udidgdjke5raks6iezu, rzfthr8qys67ormz869jrndg, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, 3ga4zm8ifo0ohz7xe03jxswkp, cft1n7qn5juaedelpvqwo2f3d, d5jihfuxjuw51jgt6k4zhmrmy, bxafjt88zqj5wgvx5r71c6cid, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, 9xxdec5pv5plas9ve4ehs4nop, cpcjoijkj6xhmcbfnyuarh1hx, 769pk71w97o3z1x34npz8quh, fbd96sw3egypi2key2hxbnu2, 2d9k8p22131is7op7vcn0arbp, dodkgckgbecal0vivr1jf0hzo, a4de7kgp5ivhwckmtv5htu162, bi90ts7bjqsllbei6qtmx6has, c9a0owmk742hzaoxqlmxrruju, bzk5asrkwi0pvl6npmxb7jhzp",5669907659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669907655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416437,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-21T12:31:06.447Z,2025-04-21T12:31:09Z,,,,,5670007579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416433,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-21T12:31:06.447Z,2025-04-21T12:31:06Z,,,,,5670007553,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416455,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,50.0,50.0,2025-04-21T12:31:06.448Z,2025-04-21T12:34:01Z,ec0e15kwv2vre5gnldajcwq8l,D. Islamović,,,5670007709,279,S,5670007705,212,18.3,5670007699,56,Back,5670007701,140,32.9,5670007707,213,2.96,5670007703,141,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416459,4,43,1,0,2,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-21T12:31:08.548Z,2025-04-21T12:31:20Z,1jp22ouky3tqtk04bvbfao7l6,S. Väänänen,,,5670007717,56,Back,5670008155,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416467,5,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,33.0,56.6,2025-04-21T12:31:09.604Z,2025-04-21T12:36:55Z,1jp22ouky3tqtk04bvbfao7l6,S. Väänänen,,,5670007767,141,73.2,5670007763,56,Back,5670007765,140,34.3,5670007771,213,1.45,5670007769,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416499,6,1,1,0,4,c7jgkxx1czv5etn7snf1r6p2m,1,34.3,73.2,2025-04-21T12:31:11.036Z,2025-04-21T12:36:53Z,929eyaq4a218jj3yahxtoeve2,T. Nemčík,,,5670007933,56,Left,5670007941,213,0.48,5670007937,141,91.7,5670007939,212,27.4,5670007935,140,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416501,7,4,1,0,9,c7jgkxx1czv5etn7snf1r6p2m,1,57.2,93.5,2025-04-21T12:31:16.076Z,2025-04-21T13:34:17Z,aulhjgm35swnx4k3rexbds8ut,U. Yttergård Jenssen,,,5670008089,233,3,5670007977,152,,5670007975,56,Left,5670007981,286,,5670007973,13,,5670007979,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804416509,3,4,1,0,9,8q6cv8g4bd3xdl7m88kll16na,0,42.8,6.5,2025-04-21T12:31:16.077Z,2025-04-21T13:34:18Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5670008065,285,,5670008109,233,7,5670008063,265,,5670008051,13,,5670008057,56,Back,5670008061,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
