id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2804476745,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-21T14:16:23.148Z,2025-04-21T18:50:06Z,,,,,5670349253,130,7,5670349251,59,"30, 5, 4, 8, 21, 25, 10, 33, 20, 7, 17, 1, 3, 18, 19, 24, 26, 27, 28, 31",5670349255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670349261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670349247,30,"e79tv8cwky1rcfjn35b629mmt, cqwjwlsum5q92s2k80w3temi2, 18paxu0ihqdu4kbd2ddi5z1t5, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, cbgxwjokvziezgbbn0qu91s7o, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, 8csmi6krrz8ju4085n6dgekt1, 894tj8rg0i6kl4zvlok803949, 5cjx2i2perp5vr62en4cyer1m, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5670349259,197,529,5670349257,194,bjqtzq0xcvtmbn54orj7rn5xx,5670349249,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804480539,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-04-21T14:19:05.746Z,2025-04-21T18:56:06Z,,,,,5670382893,197,15102,5670369777,30,"3dz611s3q1kjhrzt8ixv4jbhl, 1t1ylf4iwrotj4jjf9qfzbieh, 6r0yq4i1lk788h1euk5ztec5, dd53d1radlkv7y24724vkol49, 8nmrvwyosqdqwyqowvdqvahh, 2gbfwdmpk5gfmcc979aqfkyxh, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, bb7inex45spf3wj9dqw8sbqi, 6ybcevijvdov8qj1hxcbw3dd6, 6y6xobx7t2qx431s59kv8hk9h, c1p51x3fg0dgss14z9vozfqc4, 1pizdqlc5tyanssba2xe88lwp, d9d7ec57xuvrsby6xd45v50r8, a9guphf8p0im4it165fsqhud, 5yhieehol1p5crvzjd55ac8wk, 2w7qb6w4qcogyuvgi31rfv85w, 8pzgnj5qdty3jl94lcrxwxgk4, cqp45uxqfxgeit1km2bu79s7o",5670369779,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670369783,59,"30, 22, 7, 26, 23, 2, 18, 11, 10, 19, 6, 12, 5, 8, 15, 16, 17, 20, 25, 34",5670369789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670369791,194,8nmrvwyosqdqwyqowvdqvahh,5670369787,130,10,5670369793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529137,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-21T15:01:15.347Z,2025-04-21T15:01:15Z,,,,,5670637771,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529149,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-04-21T15:01:15.347Z,2025-04-21T15:01:16Z,,,,,5670637815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529171,3,1,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,50.0,50.0,2025-04-21T15:01:15.348Z,2025-04-21T15:01:20Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5670637909,56,Back,5670637913,141,46.6,5670637911,140,20.6,5670637917,213,3.22,5670637919,279,S,5670637915,212,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529199,4,1,1,0,4,bsykw9d70ffqe9atosc92n1e9,1,21.9,43.3,2025-04-21T15:01:20.165Z,2025-04-21T15:01:22Z,e79tv8cwky1rcfjn35b629mmt,T. Kinn,,,5670638039,56,Back,5670638047,213,4.74,5670638043,141,27.7,5670638041,140,22.2,5670638045,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529231,5,1,1,0,6,bsykw9d70ffqe9atosc92n1e9,1,21.7,26.8,2025-04-21T15:01:21.845Z,2025-04-21T15:01:26Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5670638225,213,2.10,5670638217,56,Back,5670638219,140,16.4,5670638223,212,11.0,5670638221,141,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529275,6,1,1,0,10,bsykw9d70ffqe9atosc92n1e9,0,13.8,43.6,2025-04-21T15:01:25.836Z,2025-04-21T15:01:31Z,e79tv8cwky1rcfjn35b629mmt,T. Kinn,,,5670638495,56,Back,5670638497,140,44.1,5670638499,141,46.1,5670638503,213,0.05,5670638501,212,31.9,5670638493,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529263,3,44,1,0,13,crlocdyqyb1fdhck54qxs65rl,1,52.7,52.3,2025-04-21T15:01:28.468Z,2025-04-21T17:22:42Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5670658371,286,,5670638401,56,Center,5670658367,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529277,7,44,1,0,13,bsykw9d70ffqe9atosc92n1e9,0,47.3,47.7,2025-04-21T15:01:28.469Z,2025-04-21T18:54:21Z,cbgxwjokvziezgbbn0qu91s7o,J. Hansen,,,5670658449,233,3,5670638507,56,Back,5670638509,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804530235,9,61,1,0,13,crlocdyqyb1fdhck54qxs65rl,1,51.2,52.8,2025-04-21T15:01:28.850Z,2025-04-21T17:29:21Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5670643191,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804546833,117,1,1,0,14,bsykw9d70ffqe9atosc92n1e9,0,65.5,44.8,2025-04-21T15:01:30.241Z,2025-04-21T15:13:46Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670737843,141,45.4,5670737841,140,78.4,5670737845,212,13.6,5670737847,213,0.03,5670737837,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529303,4,8,1,0,19,crlocdyqyb1fdhck54qxs65rl,1,33.9,56.0,2025-04-21T15:01:34.749Z,2025-04-21T15:03:25Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5670646665,56,Back,5670646919,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804656161,931,3,1,0,19,bsykw9d70ffqe9atosc92n1e9,0,65.8,21.4,2025-04-21T15:01:34.955Z,2025-04-21T17:20:55Z,cbgxwjokvziezgbbn0qu91s7o,J. Hansen,,,5671345143,233,5,5671345111,56,Center,5671345113,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529305,5,7,1,0,19,crlocdyqyb1fdhck54qxs65rl,1,34.2,78.6,2025-04-21T15:01:34.956Z,2025-04-21T17:20:54Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5670656879,56,Back,5670656883,285,,5671345139,233,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529325,8,1,1,0,19,bsykw9d70ffqe9atosc92n1e9,1,55.0,23.4,2025-04-21T15:01:35.060Z,2025-04-21T15:01:54Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5670638701,140,59.9,5670638705,141,14.3,5670638715,213,5.41,5670638697,56,Right,5670638709,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529351,9,1,1,0,20,bsykw9d70ffqe9atosc92n1e9,1,59.9,14.3,2025-04-21T15:01:36.004Z,2025-04-21T18:54:23Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5670638859,140,55.0,5670638863,212,12.3,5670638861,141,30.7,5670638865,213,2.00,5670638857,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529395,10,1,1,0,24,bsykw9d70ffqe9atosc92n1e9,1,55.0,30.7,2025-04-21T15:01:39.661Z,2025-04-21T15:01:42Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5670639025,213,2.21,5670639017,56,Back,5670639019,140,44.4,5670639021,141,52.8,5670639023,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529421,11,1,1,0,26,bsykw9d70ffqe9atosc92n1e9,1,44.4,52.8,2025-04-21T15:01:42.324Z,2025-04-21T15:01:45Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5670639173,56,Right,5670639183,1,,5670639175,140,66.1,5670639181,213,5.44,5670639177,141,14.9,5670639179,212,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529437,12,1,1,0,30,bsykw9d70ffqe9atosc92n1e9,0,66.5,11.6,2025-04-21T15:01:45.580Z,2025-04-21T15:01:47Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5670639255,212,29.8,5670639251,140,91.7,5670639253,141,31.8,5670639249,56,Center,5670639257,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
