id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2820657577,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-01T11:51:13.827Z,2025-06-01T15:00:45Z,,,,,5759973153,130,7,5759973159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759973147,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, d2xmywt450kjrph838hshcn3d, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 4e7x4ulb3mcxgnue8c9exvazu, 58zj1aw2i5mfyzb3knj72xk6i, wamee1wd0fr552uv5507z0lx, 115owbh8c39gfwcja2wxuweay, 6wxneuych76i6tlb49sqkmy5m, day3njm5hkudffvdvccpopbyt, ar08l5yajxjdx0du3cvt6eq6s, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, barzsgnl7tazysx2d10yzj04q, azurrp6gm0xahdwntj9clyiac, 6wwk8y9mklkh8x606ynhe1lp0, 2urilkjhzglzfbteda50ml8us, wawciqazj55afs06jipyhk44",5759973151,59,"1, 32, 3, 6, 2, 30, 11, 8, 14, 10, 7, 13, 4, 18, 19, 20, 22, 27, 29, 81",5759973157,194,wamee1wd0fr552uv5507z0lx,5759973149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5759973155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760032017,197,29285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660019,2,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-01T12:02:54.017Z,2025-06-01T14:50:07Z,,,,,5759986473,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5759986483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759986477,130,13,5760080029,197,23559,5759986479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759986471,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, bhkecr2u6neb933eo468i82ui, 1s6yn52hlqtmmz4lerscf457u, dkuinrikn3htd1kilcsce2bit, 7j35sfip0xb51mpa91wzikrh0, 95u4j4kg3w5wfpk8ilcimhfdg, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, bww0h67l7g6o9syrkp12s7pih, 8rnri2daeaqt5h1hl9ftt6l0p, 2gic8jiz83o8w0qsh3g9eq385, dlx130vfa5ynu82q5jtawq8lw, b5itju69rep2i6e33wg97vr4k",5759986481,194,bhkecr2u6neb933eo468i82ui,5759986475,59,"30, 16, 4, 15, 12, 22, 6, 19, 9, 20, 23, 1, 3, 5, 7, 11, 13, 18, 21, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669359,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-01T12:30:15.461Z,2025-06-01T12:30:15Z,,,,,5760039743,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669363,3,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-06-01T12:30:15.461Z,2025-06-01T12:30:18Z,,,,,5760039753,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669367,4,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,50.0,50.0,2025-06-01T12:30:15.720Z,2025-06-01T12:30:18Z,95u4j4kg3w5wfpk8ilcimhfdg,H. Skogvold,,,5760039767,56,Back,5760039773,212,11.8,5760039775,213,3.15,5760039769,140,38.8,5760039771,141,49.9,5760039779,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669387,5,1,1,0,2,e5txudmuc2qpc460bs4lb5aff,0,38.8,49.9,2025-06-01T12:30:18.150Z,2025-06-01T12:30:19Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5760039873,56,Center,5760039883,1,,5760039877,141,68.8,5760039879,212,42.1,5760039871,157,,5760039875,140,77.0,5760039881,213,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669405,3,1,1,0,4,doohk95o6e8pkqah8vkop51dg,0,29.5,13.8,2025-06-01T12:30:19.572Z,2025-06-01T12:30:22Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5760039977,141,0.0,5760039973,56,Back,5760039975,140,42.9,5760039981,213,5.63,5760039971,3,,5760039979,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669411,4,5,1,0,6,doohk95o6e8pkqah8vkop51dg,0,42.2,-1.7,2025-06-01T12:30:22.164Z,2025-06-01T14:57:36Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5760040269,233,6,5760040005,56,Back,5760040007,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669455,6,5,1,0,6,e5txudmuc2qpc460bs4lb5aff,1,57.8,101.7,2025-06-01T12:30:22.164Z,2025-06-01T14:57:36Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5760040265,233,4,5760040263,347,,5760040261,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820669493,7,1,1,0,20,e5txudmuc2qpc460bs4lb5aff,1,59.1,100.0,2025-06-01T12:30:36.294Z,2025-06-01T12:30:41Z,ci3c5x4u4g1n4y9p63av1txx,S. Molde,,,5760040435,141,88.3,5760040429,107,,5760040439,213,3.73,5760040431,56,Back,5760040437,212,15.7,5760040433,140,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
