id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2792803825,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-03-29T16:08:48.520Z,2025-03-29T19:54:50Z,,,,,5606216133,194,c5p3hpmvlgspmqfs64zfrs991,5606216123,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, c5p3hpmvlgspmqfs64zfrs991, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 7j35sfip0xb51mpa91wzikrh0, bhkecr2u6neb933eo468i82ui, 95u4j4kg3w5wfpk8ilcimhfdg, dkuinrikn3htd1kilcsce2bit, bww0h67l7g6o9syrkp12s7pih, 4s8lwbyh90phbponlzsdlj0iy, ci3c5x4u4g1n4y9p63av1txx, ahje1y6v4dlmq4ath0rfcql90, 2gic8jiz83o8w0qsh3g9eq385, dlx130vfa5ynu82q5jtawq8lw, c284j5q0ewp6nu6xc57runrpw, 4nlu70gcn5s2xxggbx30n88wk, dp03arwvufj1qju8f9kbfm6ms, 51ibk2sy9eczccqp0gzsmns9h",5606216127,59,"30, 16, 5, 15, 12, 22, 20, 6, 23, 9, 11, 3, 4, 7, 18, 21, 24, 28, 31, 1",5606717407,197,23559,5606216129,130,10,5606216131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606216135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606216125,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792816451,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-03-29T16:13:52.928Z,2025-03-29T20:18:18Z,,,,,5606281589,194,62k4fq609h2evj1k2e1n42x91,5606281579,130,4,5606726311,197,502,5606281583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606281591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606281573,59,"1, 21, 17, 10, 3, 26, 27, 8, 20, 7, 9, 12, 6, 11, 14, 19, 23, 32, 43, 41",5606281563,30,"mh6rotmnlhe66f2y16c3vvmd, avnrtae50pid6aomt6sq3dqi2, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, ahe00hzfpxhe742i5db3mpe6s, 3vuirsh6wmbhingygy27f0hqt, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 76k8ic97o66kaq2e52bmp27ai, 878hgn9q68ca8y0wmdih92h9l, 2ku8s4c6qk2aghe47hwqgxfro, 9se6a4pxhy13alu316ttx2vhl, ce1q0p0ifilrb8wx6rmkcaeol, dfwjippbaspehxg8m8ui4djze, 3m2o0t6siupip9y3sco71fe5m, adthn237lwxewaxsrgd6hlu51, 5coof7ruazt9nbjl5qvobe3v8, 815zq6bo3kwxw8fl3bh381ez8, dyv2c0ne9bp3bpqa20a7a8ydw",5606281567,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901451,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-03-29T17:01:24.177Z,2025-03-29T17:01:27Z,,,,,5606733247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901445,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-03-29T17:01:24.177Z,2025-03-29T17:01:24Z,,,,,5606733215,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901485,3,1,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,49.9,50.6,2025-03-29T17:01:24.178Z,2025-03-29T17:01:27Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5606733461,212,27.3,5606733465,279,S,5606733455,56,Back,5606733457,140,24.9,5606733459,141,39.5,5606733463,213,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901499,4,1,1,0,2,6oxoag5c6zbnn09wx08vz4iak,1,23.9,35.2,2025-03-29T17:01:26.362Z,2025-03-29T17:01:29Z,62k4fq609h2evj1k2e1n42x91,F. Knudsen,,,5606733591,212,31.0,5606733585,56,Back,5606733587,140,28.6,5606733593,213,1.41,5606733589,141,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901587,5,1,1,0,4,6oxoag5c6zbnn09wx08vz4iak,1,33.4,88.6,2025-03-29T17:01:29.098Z,2025-03-29T17:01:34Z,avnrtae50pid6aomt6sq3dqi2,D. De Roeve,,,5606733977,56,Center,5606733983,212,48.8,5606733987,1,,5606733981,141,39.2,5606733979,140,67.1,5606733985,213,5.52,5606733975,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901647,6,1,1,0,10,6oxoag5c6zbnn09wx08vz4iak,1,65.9,22.2,2025-03-29T17:01:34.315Z,2025-03-29T17:01:38Z,76k8ic97o66kaq2e52bmp27ai,M. Hansen,,,5606734307,56,Center,5606734309,140,63.4,5606734311,141,32.2,5606734315,213,1.94,5606734313,212,7.3,5606734305,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901653,3,4,1,0,14,e5txudmuc2qpc460bs4lb5aff,1,35.2,67.3,2025-03-29T17:01:38.498Z,2025-03-29T17:01:43Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5606734413,265,,5606734411,152,,5606734427,286,,5606734407,13,,5606734423,233,7,5606734409,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792901659,7,4,1,0,14,6oxoag5c6zbnn09wx08vz4iak,0,64.8,32.7,2025-03-29T17:01:38.499Z,2025-03-29T19:54:05Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5606734381,13,,5606734385,152,,5606734383,56,Center,5606734389,285,,5606734387,265,,5606734463,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
