id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2797381249,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-06T16:24:28.650Z,2025-04-06T17:21:08Z,,,,,5631288639,194,bjqtzq0xcvtmbn54orj7rn5xx,5631288629,30,"e79tv8cwky1rcfjn35b629mmt, cqwjwlsum5q92s2k80w3temi2, 6ni1632pd1mkwbnjiglttoo2x, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, 7ctsofo6904i5ysgpfh2sdv1m, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, aeq6jlhgxpnkywoc20kp8tvu2, 5cjx2i2perp5vr62en4cyer1m, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k, cbgxwjokvziezgbbn0qu91s7o, abz6occh9zmu2tcsejm5uiyg9, 6uhzksha34sbcf7o3vsk2wlck",5631288635,130,7,5631288633,59,"30, 5, 23, 8, 21, 25, 10, 27, 20, 7, 17, 2, 19, 24, 26, 28, 31, 33, 9, 12",5631288631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5631533691,197,528,5631288641,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5631288637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797382797,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-04-06T16:26:30.348Z,2025-04-06T19:53:30Z,,,,,5631297237,130,11,5631297241,194,4cx6v1ugc9l5sd0nqep3sxoiy,5631297243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5631297235,59,"1, 33, 42, 15, 4, 2, 10, 25, 22, 8, 9, 31, 3, 11, 16, 17, 19, 26",5631297233,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5631517001,197,23564,5631297231,30,"7f0drwvw3zquh352luxegqtpl, c78cublmvb2gg8gzk999xn9hx, dvrvgq5j49kb9vfergmluyxyi, 67nybn375tyqdqae4m1yk407o, 657z9s0rqlzub9nmdpb7ct82c, 5szykye2vk3nx7r5lhzn2ljx0, aebliukutyz91pczaam39lolx, euc11yjkfscwt6xsiitlorz10, 3iolpwrv18gtlyse7ih3nt91w, 3usrzzduezg3zt3usvuayxxm2, 4cx6v1ugc9l5sd0nqep3sxoiy, 9nve6ykit6zzdfg2yqppcil0, 1pobxn4eg4l8phk4ug0t56t7u, etz2bmorno30rw9efxkc0ufo, 58ufmirzy800nq7gucsiz3hg4, 26ro2zdtkq9ia7dzr9ellxkvd, biibwjyc33yv901fetordsv84, 3hup5rvg21nkou5psia9pe9sk",5631297239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425289,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-04-06T17:15:14.751Z,2025-04-06T17:15:17Z,,,,,5631534195,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425279,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-06T17:15:14.751Z,2025-04-06T17:15:14Z,,,,,5631534115,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425309,3,1,1,0,0,4q0b35m26thti4c2on9a3npk0,1,50.1,49.8,2025-04-06T17:15:14.752Z,2025-04-06T17:15:19Z,4cx6v1ugc9l5sd0nqep3sxoiy,J. Nuñez,,,5631534309,212,26.7,5631534303,56,Back,5631534305,140,25.2,5631534311,213,3.35,5631534313,279,S,5631534307,141,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425401,4,1,1,0,4,4q0b35m26thti4c2on9a3npk0,0,25.7,40.5,2025-04-06T17:15:18.865Z,2025-04-06T17:15:22Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,,5631534807,157,,5631534819,1,,5631534809,56,Right,5631534815,212,48.2,5631534813,141,20.9,5631534817,213,6.00,5631534811,140,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425421,3,1,1,0,8,bsykw9d70ffqe9atosc92n1e9,0,29.9,64.5,2025-04-06T17:15:23.064Z,2025-04-06T17:15:23Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5631534939,141,64.8,5631534935,56,Back,5631534933,3,,5631534943,213,0.05,5631534941,212,4.4,5631534937,140,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425443,5,1,1,0,9,4q0b35m26thti4c2on9a3npk0,0,65.0,21.5,2025-04-06T17:15:24.610Z,2025-04-06T17:15:25Z,euc11yjkfscwt6xsiitlorz10,S. Sandal,,,5631535021,140,72.8,5631535023,141,27.1,5631535025,212,9.0,5631535029,1,,5631535019,56,Center,5631535017,157,,5631535027,213,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425497,4,1,1,0,11,bsykw9d70ffqe9atosc92n1e9,1,25.3,54.6,2025-04-06T17:15:25.791Z,2025-04-06T17:15:28Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5631535335,141,91.7,5631535333,140,18.0,5631535331,56,Back,5631535337,212,26.4,5631535329,3,,5631535339,213,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797425521,5,12,1,0,13,bsykw9d70ffqe9atosc92n1e9,1,12.5,99.0,2025-04-06T17:15:27.991Z,2025-04-06T17:15:30Z,6ni1632pd1mkwbnjiglttoo2x,J. Urbančič,,,5631535549,213,0.05,5631535547,212,38.6,5631535541,56,Back,5631535627,167,,5631535545,141,100.0,5631535543,140,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
