id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2793685429,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-03-30T14:09:00.915Z,2025-03-30T18:30:33Z,,,,,5610955941,130,2,5611291053,194,7m4f590x3kc3935gpg72xhg45,5610955937,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610955943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610955935,30,"2y89r1uyyagwssn9m67ihdo7p, 97aigdp5c2m2sd1eoq143q8kp, 6hfh81884cw22q8ekjmiezq39, 5al9uyujlrlb17o4r5sapkkk4, 4348ovvnom9gdbun5vjntlg5, 2i92r2eksw9ty9kis974k3uqy, 2hwemaa18hwlq3c4i208lbbo5, cv38uxcibt3cwwj54m9ydg86i, 7m4f590x3kc3935gpg72xhg45, 9fu1wk5unisycn8mt5j1p04ph, e0j0uakuzduvis9wqsocngwrt, 2rfdbxta1ako8hu4pg7kv07h1, azgn1hgiep0jbrbdirnkut2zu, 5w0p51an11m21e5hnpjtukx04, cdqa1j5yeh8u9ll0ijx28oyj9, 9mt0cpw6rkuv6ndn4jbon6hg5, 6mzoir7lrrfehbzgu7gmnwyl0, 3qe0mkctopr68r841nrp2740k, 10jjf6ittt34mqsrihtotv1g4, birdlua3bxdp0lln5sjbx13pw",5610955945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611291055,197,510,5610955939,59,"1, 18, 28, 10, 2, 4, 20, 16, 7, 8, 15, 34, 6, 9, 17, 19, 23, 26, 27, 46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793688963,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-03-30T14:11:39.226Z,2025-03-30T14:59:22Z,,,,,5610975897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611286027,197,24179,5610975895,130,8,5610975899,194,wamee1wd0fr552uv5507z0lx,5610975889,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, 58zj1aw2i5mfyzb3knj72xk6i, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 4e7x4ulb3mcxgnue8c9exvazu, azurrp6gm0xahdwntj9clyiac, wamee1wd0fr552uv5507z0lx, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, day3njm5hkudffvdvccpopbyt, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 6wxneuych76i6tlb49sqkmy5m, 2of6xfvdgpsrqehwxrc39kcq2, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, barzsgnl7tazysx2d10yzj04q, 2urilkjhzglzfbteda50ml8us",5610975891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610975901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610975893,59,"1, 32, 8, 6, 2, 30, 11, 22, 14, 10, 27, 13, 4, 5, 7, 16, 18, 19, 20, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748411,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-03-30T15:00:17.715Z,2025-03-30T15:00:17Z,,,,,5611301137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748421,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-03-30T15:00:17.715Z,2025-03-30T15:00:20Z,,,,,5611301201,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748445,3,1,1,0,0,doohk95o6e8pkqah8vkop51dg,1,50.1,49.7,2025-03-30T15:00:17.716Z,2025-03-30T15:00:21Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5611301349,279,S,5611301341,140,25.0,5611301343,141,53.5,5611301347,213,3.04,5611301345,212,26.5,5611301339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748467,4,1,1,0,2,doohk95o6e8pkqah8vkop51dg,0,26.6,52.1,2025-03-30T15:00:19.917Z,2025-03-30T15:00:24Z,16od5bk1t05mluydp8i4t2lg4,Mamour Ndiaye,,,5611301509,141,70.5,5611301511,212,57.7,5611301503,157,,5611301507,140,80.2,5611301505,56,Center,5611301515,213,0.22,5611301517,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748497,3,44,1,0,6,45v50owpvshpijizwwlcw4lni,1,20.8,30.2,2025-03-30T15:00:23.788Z,2025-03-30T15:00:27Z,4348ovvnom9gdbun5vjntlg5,M. Bjørnbak,,,5611301671,233,5,5611301659,285,,5611301657,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748481,5,44,1,0,6,doohk95o6e8pkqah8vkop51dg,0,79.2,69.8,2025-03-30T15:00:23.789Z,2025-03-30T15:00:27Z,wamee1wd0fr552uv5507z0lx,J. Inge Berget,,,5611301685,233,3,5611301551,56,Center,5611301553,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748529,4,1,1,0,6,45v50owpvshpijizwwlcw4lni,0,22.1,30.7,2025-03-30T15:00:24.239Z,2025-03-30T17:17:10Z,4348ovvnom9gdbun5vjntlg5,M. Bjørnbak,,,5611301793,141,29.5,5611301787,3,,5611301795,212,2.3,5611301791,140,24.1,5611301789,56,Back,5611301797,213,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793748503,6,61,1,0,7,doohk95o6e8pkqah8vkop51dg,1,80.2,70.3,2025-03-30T15:00:25.068Z,2025-03-30T15:00:25Z,wamee1wd0fr552uv5507z0lx,J. Inge Berget,,,5611301667,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
