id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2793837425,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-03-30T16:24:22.777Z,2025-03-30T19:49:52Z,,,,5612040189,197,1393,5611796693,59,"12, 20, 15, 7, 4, 6, 26, 14, 9, 11, 10, 1, 2, 5, 8, 21, 25, 27, 77",5611796695,130,4,5611796699,194,do2fwr0qn3kg0qb40e3i36q51,5611796701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611796697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5611796691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5611796689,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, 7gqecbxztxxovmo1b6zqqcgve, 38qnvrvf3y1xs22tovwy21jv9, b2ibeioms7t9vb3au7tpqys4p, 55ashhvkh23ypnct70f9dgvkl, 2r893xoeuqhgoe2w2auhqb696, cegoeac3l2owi83zdvu30tj6y, 7dnxkce4kn8qchaavv6e4tm21, at4flt8tr925ds3dgw5zrgtm1, bqh87676f46jsdfftw2gt1mok, 16rhwnvicrl1e9xqw867zuxn9, 8pyq4t68w42u3fgd2w7tjykbu, 3zg0pvrja75d3l44dq0lh4kb9, ar7ybu7dordgt2yfx5inux62, bbyystkqag4mcfpr6utsazm51, gg7dwzxwljl1rjw4v81pmp78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793858301,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-03-30T16:44:59.196Z,2025-03-30T20:05:55Z,,,,5611909887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611909891,194,4z3w46k9n0yocg319dcewwz8q,5611909873,30,"dk56pv43y8zo39ft9xtwyapnu, 7yjqvzpcyyil0g7jne4hv7svd, 95wuw8954h8drdxpx3f2wvuvo, 4z3w46k9n0yocg319dcewwz8q, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, egd6w206242dh7aowfzmwyane, auv81snxkpk2ybxzi8giy5azt, 6yyum3rgz21z8aln67irm508a, 342b6q9d0ghvvizc2s6801ses, 7adevxj1o3gpqpmrv3f72v3oq, emce3apjphsh1r4jm5pjzyz11, 8fqnvz74z901a2h0kgk1zezje, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 3jgniouh70v4y74ly7u681o89, bp5s0a2jk5viq92gdoskhn7dg, 34lcrlx7ddks5ko8s8opi44k4, bs4q35yv3qe37wu1u18ajx8us, a6tl97co89j46h3vvy2edpafo",5612076313,197,28385,5611909883,130,2,5611909875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5611909879,59,"12, 26, 17, 8, 5, 24, 11, 19, 9, 32, 18, 1, 2, 3, 4, 16, 21, 22, 23, 29",5611909893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886589,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-03-30T17:15:50.500Z,2025-03-30T17:15:53Z,,,,5612062249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886581,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-03-30T17:15:50.500Z,2025-03-30T17:15:50Z,,,,5612062189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886605,3,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,49.9,49.9,2025-03-30T17:15:50.501Z,2025-03-30T20:28:03Z,2r893xoeuqhgoe2w2auhqb696,K. Høgh,,5612062361,212,14.7,5612062365,279,S,5612062363,213,3.04,5612062357,140,36.0,5612062359,141,52.1,5612062355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886661,4,1,1,0,3,ctvzi2jbl1q6xzq0s3sexj73g,1,36.0,52.1,2025-03-30T17:15:53.549Z,2025-03-30T17:15:58Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,5612062651,213,4.16,5612062647,141,34.9,5612062649,212,13.8,5612062645,140,29.1,5612062643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886695,5,1,1,0,7,ctvzi2jbl1q6xzq0s3sexj73g,1,31.1,41.2,2025-03-30T17:15:58.133Z,2025-03-30T17:16:00Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,5612062753,141,63.4,5612062755,212,15.2,5612062749,56,Back,5612062757,213,1.48,5612062751,140,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886727,6,1,1,0,10,ctvzi2jbl1q6xzq0s3sexj73g,1,33.0,80.2,2025-03-30T17:16:00.629Z,2025-03-30T17:16:03Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,5612062967,141,97.7,5612062965,140,32.6,5612062969,212,11.9,5612062963,56,Back,5612062971,213,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886759,7,1,1,0,13,ctvzi2jbl1q6xzq0s3sexj73g,0,32.6,97.7,2025-03-30T17:16:03.573Z,2025-03-30T18:07:56Z,dnw3y6r7bk0aqbta2s7ttivhl,F. Bjørkan,,5612063139,213,6.10,5612063135,141,88.6,5612063133,140,64.6,5612063131,56,Left,5612063137,212,34.2,5612247251,157,,5612063141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793886809,3,1,1,0,16,eujf9nqky8c5jnahb2f76m86o,0,33.6,9.5,2025-03-30T17:16:06.509Z,2025-03-30T17:16:11Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,5612063441,212,15.2,5612063443,213,0.94,5612063437,140,42.1,5612063433,3,,5612063439,141,27.6,5612063435,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
