id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2807161279,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-27T14:12:52.895Z,2025-04-27T15:15:13Z,,,,,5685568123,197,518,5685138767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685138777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685138769,59,"1, 32, 8, 6, 2, 30, 16, 22, 11, 10, 27, 13, 4, 5, 7, 18, 19, 20, 23, 29",5685138773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685138775,194,b4nxbfm6audv844unlocgbsgl,5685138771,130,8,5685138765,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, 58zj1aw2i5mfyzb3knj72xk6i, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 2of6xfvdgpsrqehwxrc39kcq2, azurrp6gm0xahdwntj9clyiac, 4e7x4ulb3mcxgnue8c9exvazu, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, day3njm5hkudffvdvccpopbyt, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 6wxneuych76i6tlb49sqkmy5m, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, barzsgnl7tazysx2d10yzj04q, c5487d4s89hhsne317nbsvdh, 2urilkjhzglzfbteda50ml8us",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807170255,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-27T14:18:36.766Z,2025-04-27T15:20:33Z,,,,,5685189003,130,8,5685188999,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5685189005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5685189001,59,"1, 5, 27, 8, 25, 71, 17, 10, 77, 16, 21, 4, 6, 7, 39, 84, 12, 15",5685188997,30,"9oc4or4w78wl51wehk66xb4k5, 7u76uh9164fs8tx6zqw0icqtx, cs99i7ypembqsswr96y6n53ze, 3vh1sx99telj2gktbljiarap5, 6grill6jvkvpzba5atb3gnjzd, 4hmj5l79xbxxkyuxdx47lj8wl, 6c9jzebimd3c53gpxa35sxzah, 15wt9e9girpzdqw5y2hb4awut, go4g6syxqw7nwn67c1am65t5, 4ja6as3sd53z72xqa7p8vrv9w, 4vp5w5ahxvyk2iu4ymm9ksl7u, 5tnye4i4soi822vm0nncgoa, ap46gkx1wxiog02327an06jv8, 5362zl678ibx1md2kk6t4r47o, bh4tgnopvaormeadqqfl4zms4, b9jnt91acdlokhw6c59l681zo, cr3712pf5aekd2bmmucpfcqvo, 37nltbem26wbv5t8fl9yu7gno",5685189009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685567629,197,525,5685189007,194,4hmj5l79xbxxkyuxdx47lj8wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239591,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0.0,0.0,2025-04-27T15:16:28.585Z,2025-04-27T15:16:28Z,,,,,5685575863,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239603,3,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-04-27T15:16:28.585Z,2025-04-27T15:16:29Z,,,,,5685575915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239629,4,1,1,0,0,doohk95o6e8pkqah8vkop51dg,1,50.1,49.7,2025-04-27T15:16:28.586Z,2025-04-27T15:16:31Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5685576049,141,49.0,5685576047,140,38.9,5685576053,213,3.18,5685576045,56,Back,5685576055,279,S,5685576051,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239667,5,1,1,0,2,doohk95o6e8pkqah8vkop51dg,1,38.9,49.0,2025-04-27T15:16:30.838Z,2025-04-27T15:16:32Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5685576279,212,17.4,5685576271,56,Center,5685576277,141,47.0,5685576273,140,55.4,5685576283,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239689,6,1,1,0,4,doohk95o6e8pkqah8vkop51dg,1,55.4,47.0,2025-04-27T15:16:32.662Z,2025-04-27T15:16:33Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5685576425,140,54.7,5685576423,56,Center,5685576429,212,5.6,5685576427,141,55.2,5685576431,213,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239775,7,1,1,0,5,doohk95o6e8pkqah8vkop51dg,1,54.7,55.2,2025-04-27T15:16:33.734Z,2025-04-27T15:16:39Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5685576885,141,10.4,5685576891,1,,5685576881,56,Right,5685576879,155,,5685576883,140,82.1,5685576887,212,41.9,5685576889,213,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807239873,8,1,1,0,9,doohk95o6e8pkqah8vkop51dg,0,90.5,16.7,2025-04-27T15:16:38.262Z,2025-04-27T18:00:15Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5685577429,140,95.2,5685577433,212,14.7,5685577427,56,Center,5685577431,141,37.0,5685577435,213,1.23,5685585311,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807240075,5,12,1,0,10,ew0hpuiweoltpsg5f51r2w64t,1,4.5,45.7,2025-04-27T15:16:39.239Z,2025-04-27T15:17:00Z,9oc4or4w78wl51wehk66xb4k5,P. Kristian Bråtveit,,,5685578617,213,1.14,5685578615,212,2.8,5685578609,56,Back,5685578611,140,5.6,5685578613,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
