id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value
2808762763,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-02T16:00:19.582Z,2025-05-02T17:04:14Z,,,,5694197583,194,c1jlypnkt4c9y9vdnjkvxa85x,5694197573,30,"7f0drwvw3zquh352luxegqtpl, c78cublmvb2gg8gzk999xn9hx, 67nybn375tyqdqae4m1yk407o, 1pobxn4eg4l8phk4ug0t56t7u, 657z9s0rqlzub9nmdpb7ct82c, 5u4eoypx0tb3t0brk2dv8sm0a, dvrvgq5j49kb9vfergmluyxyi, c1jlypnkt4c9y9vdnjkvxa85x, 26ro2zdtkq9ia7dzr9ellxkvd, 3usrzzduezg3zt3usvuayxxm2, aebliukutyz91pczaam39lolx, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 2dgff1agcaa5ohb0f4wn64ay2, 58ufmirzy800nq7gucsiz3hg4, biibwjyc33yv901fetordsv84, 3iolpwrv18gtlyse7ih3nt91w, 3hup5rvg21nkou5psia9pe9sk",5694197575,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5694319181,197,23821,5694197585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694197581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5694197577,59,"1, 33, 15, 3, 4, 5, 42, 7, 17, 8, 10, 12, 2, 14, 16, 19, 22, 26",5694197579,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808764281,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-02T16:07:36.035Z,2025-05-02T16:58:26Z,,,,5694206309,59,"12, 22, 5, 26, 14, 2, 17, 11, 10, 16, 24, 30, 6, 7, 8, 15, 18, 19, 20, 34",5694206315,194,424bbibjsasfjrkjoa0jfkhk9,5694206307,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694319809,197,15102,5694206313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694206305,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 424bbibjsasfjrkjoa0jfkhk9, 2gbfwdmpk5gfmcc979aqfkyxh, 5yhieehol1p5crvzjd55ac8wk, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, a9guphf8p0im4it165fsqhud, bop1j9fi00opeyzscvsw6xpn8, 3dz611s3q1kjhrzt8ixv4jbhl, 6ybcevijvdov8qj1hxcbw3dd6, 6r0yq4i1lk788h1euk5ztec5, 1pizdqlc5tyanssba2xe88lwp, d9d7ec57xuvrsby6xd45v50r8, 9v4rtbzr5f45x65os81wwuqne, bb7inex45spf3wj9dqw8sbqi, 2w7qb6w4qcogyuvgi31rfv85w, cqp45uxqfxgeit1km2bu79s7o",5694206317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694206311,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786025,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-02T17:00:36.362Z,2025-05-02T17:00:36Z,,,,5694322997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786037,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-02T17:00:36.362Z,2025-05-02T17:00:38Z,,,,5694323033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786053,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,49.9,50.1,2025-05-02T17:00:36.363Z,2025-05-02T17:00:39Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,5694323113,140,34.8,5694323115,141,50.3,5694323117,212,15.9,5694323111,56,Back,5694323119,213,3.13,5694323121,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786079,4,1,1,0,2,crlocdyqyb1fdhck54qxs65rl,0,30.5,50.6,2025-05-02T17:00:39.115Z,2025-05-02T17:00:42Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,5694323229,56,Center,5694323233,141,40.7,5694323227,157,,5694323235,212,47.5,5694323239,1,,5694323237,213,6.14,5694323231,140,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786091,3,44,1,0,5,4q0b35m26thti4c2on9a3npk0,1,23.1,81.5,2025-05-02T17:00:42.361Z,2025-05-02T19:19:11Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5694500471,233,325,5694323283,285,,5694323281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808819197,325,44,1,0,6,crlocdyqyb1fdhck54qxs65rl,0,76.9,18.5,2025-05-02T17:00:42.362Z,2025-05-02T19:19:11Z,a9guphf8p0im4it165fsqhud,P. Kirkevold,,5694500523,233,3,5694499951,56,Right,5694499953,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786105,4,1,1,0,6,4q0b35m26thti4c2on9a3npk0,1,19.6,80.9,2025-05-02T17:00:42.516Z,2025-05-02T18:02:04Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,5694323369,213,5.46,5694323367,212,9.6,5694323361,56,Back,5694323363,140,25.8,5694323359,3,,5694323365,141,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786161,5,1,1,0,8,4q0b35m26thti4c2on9a3npk0,1,25.8,70.7,2025-05-02T17:00:45.059Z,2025-05-02T17:00:53Z,c1jlypnkt4c9y9vdnjkvxa85x,R. Rasch,,5694323727,141,78.1,5694323733,1,,5694323721,157,,5694323729,212,24.1,5694323725,140,48.2,5694323731,213,0.21,5694323723,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
