id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2818857971,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-25T14:11:14.642Z,2025-05-25T14:51:34Z,,,,,5749895329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749983557,197,29285,5749895331,194,b4nxbfm6audv844unlocgbsgl,5749895333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749895323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749895327,130,8,5749895325,59,"1, 32, 3, 6, 2, 30, 7, 10, 19, 22, 29, 13, 4, 5, 8, 14, 18, 20, 80, 81",5749895321,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, d2xmywt450kjrph838hshcn3d, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 6wxneuych76i6tlb49sqkmy5m, 115owbh8c39gfwcja2wxuweay, xctg7y5ks41cjjnerqkia38p, azurrp6gm0xahdwntj9clyiac, 2urilkjhzglzfbteda50ml8us, day3njm5hkudffvdvccpopbyt, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 58zj1aw2i5mfyzb3knj72xk6i, wamee1wd0fr552uv5507z0lx, f58yr2jmfp8kpgprfxbokt1t6, barzsgnl7tazysx2d10yzj04q, 4l4mgdujigcku5z1eckr76rys, wawciqazj55afs06jipyhk44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818859721,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-25T14:15:40.717Z,2025-05-25T14:58:00Z,,,,,5749905295,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749905305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749989731,197,527,5749905299,130,10,5749905297,59,"1, 2, 23, 25, 21, 4, 20, 11, 15, 17, 6, 27, 3, 5, 7, 8, 9, 10, 18, 24",5749905293,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, bab8s40ltdf9v117umanbcmxg, 9l89pnte9uhyc8jnads2lintg, 1gwemllvgcore4shqy79qu82y, 95t0lc2qqgzxp92n1pr62n816, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, q1o72uyrvclbkccpjvzugacq, 5mvddfxv6aqzohz87gopwl990, 9fig1s65cvva53x8yqi30xwx5, 4bcfp6repuyw4tkfpems0mf4k, b0zkcgl6f68noauzpuhzjm4tl, 8he8k86ayqx3x5ee2a0jsfuy2, cd0g5e95qabgsw4gl3b8ijoid, dq5uoeu7mw2a3uemr95w32k9g, ebkhyti8l579bl8amir9zgl5g, 3bmh3ork0ei2hrqy1yq0lpwk4, fbk14d79iikagip25ncya0ut",5749905301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749905303,194,1qeetk4waatuxev4mqvbxx87p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877105,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-25T15:01:29.799Z,2025-05-25T15:01:32Z,,,,,5750003945,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877099,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-25T15:01:29.799Z,2025-05-25T15:01:30Z,,,,,5750003919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877113,3,1,1,0,0,doohk95o6e8pkqah8vkop51dg,1,50.2,49.9,2025-05-25T15:01:30.174Z,2025-05-25T15:01:33Z,azurrp6gm0xahdwntj9clyiac,V. Halvorsen,,,5750003979,140,25.7,5750003987,279,S,5750003983,212,25.7,5750003981,141,51.3,5750003977,56,Back,5750003985,213,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877191,4,1,1,0,2,doohk95o6e8pkqah8vkop51dg,1,25.7,51.3,2025-05-25T15:01:32.662Z,2025-05-25T15:01:37Z,16od5bk1t05mluydp8i4t2lg4,M. Ndiaye,,,5750004423,212,47.5,5750004427,1,,5750004417,56,Center,5750004421,141,69.2,5750004419,140,69.4,5750004425,213,0.26,5750004415,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877205,5,1,1,0,7,doohk95o6e8pkqah8vkop51dg,1,69.4,69.2,2025-05-25T15:01:36.894Z,2025-05-25T15:01:38Z,xctg7y5ks41cjjnerqkia38p,S. Guðjohnsen,,,5750004473,212,5.0,5750004477,213,0.10,5750004471,141,69.9,5750004465,56,Center,5750004459,3,,5750004461,168,,5750004467,140,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877283,6,1,1,0,8,doohk95o6e8pkqah8vkop51dg,1,74.1,69.9,2025-05-25T15:01:37.822Z,2025-05-25T15:01:42Z,6wxneuych76i6tlb49sqkmy5m,A. Sanyang,,,5750004869,213,1.18,5750004865,141,94.5,5750004867,212,18.1,5750004863,140,80.7,5750004861,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877331,7,1,1,0,12,doohk95o6e8pkqah8vkop51dg,1,70.5,95.3,2025-05-25T15:01:42.029Z,2025-05-25T15:01:45Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5750005155,141,87.2,5750005159,213,3.43,5750005151,56,Left,5750005157,212,19.5,5750005153,140,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877383,8,1,1,0,14,doohk95o6e8pkqah8vkop51dg,1,52.7,87.2,2025-05-25T15:01:44.790Z,2025-05-25T15:01:47Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5750005391,140,60.8,5750005399,212,8.7,5750005385,56,Left,5750005403,213,0.19,5750005395,141,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
