id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2815266675,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-05-16T15:13:03.444Z,2025-05-16T18:53:54Z,,,,,5730078607,59,"1, 18, 3, 6, 4, 55, 37, 21, 29, 8, 7, 12, 14, 20, 30, 39, 42, 44, 66, 45",5730112663,197,29047,5730078615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730078605,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730078613,194,7wiychyw6gd8lw6zakd3swmlm,5730078603,30,"dmzue0z7q5147nxeo24emskid, 45bvacft2k18ioxx2eek63y8k, 14ypgy7ikxp4yubgkr3yhh90p, 7wiychyw6gd8lw6zakd3swmlm, 5ezedgrsrflkr1gi8o6eu7j3e, e20bu4y05cuuxz7zx3hl0erdg, 4bhecy0vioxwdpmw64uyek3ro, 1s3v8iujq9j1qbhccuun62jft, 6yj33ghw3e2x8lv9mtvqyg7x0, b402113ae9zjswote8zxlzmc5, 62inw8zz8raw527zudb2n8jys, 5bfaszkv7wr5nkkcklqtncftg, dp2ce683ahjwgywryjizdbtud, 8mkjfugmfdj5qb0on4u6kixhw, 6685o2ur8lnocqbwtxit8jdas, clyv3e5zbj72u09ialts0ul1w, cyndk88eyqa8w6nfdsne29zis, ekvaftkspow9uri786zg6740k, a6mt7f1hy6ieaowii8na2j7dg, bq5rwjtmmsq69xvi5az0h4ro4",5730078611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730078609,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815266911,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-16T15:14:22.173Z,2025-05-16T19:35:34Z,,,,,5730079991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730079999,194,544reefy86rc8827sl3xh3oph,5730079989,30,"bwzftrovpa0418aapl98og7l6, 2u8ylwu9kogk0jorpe517812i, aulhjgm35swnx4k3rexbds8ut, 544reefy86rc8827sl3xh3oph, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, 5occq5bmrhcs8rtxwsdi18bf9, e58qeh3alborxqkuk5bz7nw9g, bapdoe78rj82j550otb5zemwa, 8cjgce68a2vla1ebamgac4nx0, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, 9hg60gdc7h6dwo1qi4c7pc9nt, a0dyuysg0p6ekvy4qkkfkwnvt, 1jp22ouky3tqtk04bvbfao7l6, qer4hblafo04av0aajfecclx, 5o5f3xj6e86sw0pupxxx2nomi, eas91my7qw7etoha5plxfk9yi, 5k2hgogp2g5ivgdnq99ejp27e, f1naa48i09ck4srkhzxmdugwk",5730080001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730079997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730113563,197,29282,5730079995,130,4,5730079993,59,"1, 19, 23, 10, 38, 21, 5, 41, 18, 7, 35, 12, 2, 4, 6, 8, 9, 15, 17, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272387,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-05-16T16:01:12.792Z,2025-05-16T16:01:13Z,,,,,5730114617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272397,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-05-16T16:01:12.792Z,2025-05-16T16:01:13Z,,,,,5730114641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272405,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,50.0,50.0,2025-05-16T16:01:12.793Z,2025-05-16T16:01:15Z,e58qeh3alborxqkuk5bz7nw9g,S. Nypan,,,5730114685,141,46.7,5730114683,140,39.0,5730114687,212,11.8,5730114691,279,S,5730114681,56,Back,5730114689,213,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272417,4,1,1,0,2,c7jgkxx1czv5etn7snf1r6p2m,1,39.2,49.9,2025-05-16T16:01:15.139Z,2025-05-16T16:01:16Z,544reefy86rc8827sl3xh3oph,O. Selnæs,,,5730114725,56,Center,5730114733,213,0.14,5730114727,140,54.0,5730114731,212,15.7,5730114729,141,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272427,5,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,54.9,49.7,2025-05-16T16:01:16.291Z,2025-05-16T16:01:33Z,e58qeh3alborxqkuk5bz7nw9g,S. Nypan,,,5730114757,140,47.0,5730114759,141,44.2,5730114761,212,9.1,5730114755,56,Back,5730114763,213,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272445,6,1,1,0,5,c7jgkxx1czv5etn7snf1r6p2m,0,47.0,44.2,2025-05-16T16:01:18.611Z,2025-05-16T16:01:19Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,,5730114845,213,0.81,5730114835,155,,5730114843,212,53.9,5730114837,56,Left,5730114847,1,,5730114839,140,82.3,5730114841,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272535,3,5,1,0,6,d8w1m5j3jbd1eva8524dv4a20,1,17.5,-1.8,2025-05-16T16:01:19.636Z,2025-05-16T18:20:04Z,45bvacft2k18ioxx2eek63y8k,V. Solheim,,,5730115283,233,7,5730115279,347,,5730115277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272451,7,5,1,0,6,c7jgkxx1czv5etn7snf1r6p2m,0,82.5,101.8,2025-05-16T16:01:19.636Z,2025-05-16T18:20:04Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,,5730114865,347,,5730115351,233,3,5730114863,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
