id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/value
2813563485,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-11T14:03:50.459Z,2025-05-11T17:49:09Z,,,,,5720528847,59,"12, 22, 5, 26, 23, 14, 17, 11, 10, 19, 6, 30, 2, 7, 15, 16, 18, 20, 24, 34",5720528859,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720528839,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 8nmrvwyosqdqwyqowvdqvahh, 424bbibjsasfjrkjoa0jfkhk9, 5yhieehol1p5crvzjd55ac8wk, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, bb7inex45spf3wj9dqw8sbqi, 6ybcevijvdov8qj1hxcbw3dd6, 3dz611s3q1kjhrzt8ixv4jbhl, 2gbfwdmpk5gfmcc979aqfkyxh, 6r0yq4i1lk788h1euk5ztec5, d9d7ec57xuvrsby6xd45v50r8, a9guphf8p0im4it165fsqhud, 9v4rtbzr5f45x65os81wwuqne, 2w7qb6w4qcogyuvgi31rfv85w, bop1j9fi00opeyzscvsw6xpn8, cqp45uxqfxgeit1km2bu79s7o",5720528853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720528849,130,10,5720768565,197,29045,5720528855,194,8nmrvwyosqdqwyqowvdqvahh,5720528843,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813571775,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-11T14:14:15.142Z,2025-05-11T14:58:53Z,,,,,5720573723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720764757,197,29285,5720573715,59,"1, 32, 20, 6, 2, 30, 16, 8, 11, 10, 27, 13, 3, 4, 5, 7, 18, 19, 22, 29",5720573711,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, barzsgnl7tazysx2d10yzj04q, 44t0ew97eyl8ww00sgusx00a2, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 2of6xfvdgpsrqehwxrc39kcq2, 58zj1aw2i5mfyzb3knj72xk6i, 4e7x4ulb3mcxgnue8c9exvazu, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, day3njm5hkudffvdvccpopbyt, d2xmywt450kjrph838hshcn3d, ar08l5yajxjdx0du3cvt6eq6s, 7ruc5zze6wi94ub7affwar9w5, 6wxneuych76i6tlb49sqkmy5m, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, azurrp6gm0xahdwntj9clyiac, 2urilkjhzglzfbteda50ml8us",5720573717,130,8,5720573721,194,b4nxbfm6audv844unlocgbsgl,5720573713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720573719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608399,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-05-11T15:01:33.291Z,2025-05-11T15:01:33Z,,,,,5720773449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608425,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-05-11T15:01:33.291Z,2025-05-11T15:01:34Z,,,,,5720773549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608467,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,50.5,49.9,2025-05-11T15:01:33.292Z,2025-05-11T15:12:02Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5720773663,56,Back,5720773673,279,S,5720773669,212,21.7,5720773665,140,29.9,5720773671,213,3.07,5720773667,141,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608519,4,1,1,0,3,crlocdyqyb1fdhck54qxs65rl,1,29.9,52.2,2025-05-11T15:01:37.009Z,2025-05-11T15:02:36Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5720773943,140,49.5,5720773949,213,5.57,5720773945,141,25.8,5720773941,56,Back,5720773947,212,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608531,5,1,1,0,7,crlocdyqyb1fdhck54qxs65rl,1,49.5,25.8,2025-05-11T15:01:40.553Z,2025-05-11T15:03:30Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5720774027,212,16.0,5720774021,56,Center,5720774025,141,44.6,5720774029,213,0.92,5720774023,140,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608553,6,1,1,0,8,crlocdyqyb1fdhck54qxs65rl,1,58.7,44.6,2025-05-11T15:01:41.562Z,2025-05-11T15:01:43Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5720774141,213,4.29,5720774139,212,14.2,5720774133,56,Center,5720774137,141,25.6,5720774135,140,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608601,7,1,1,0,9,crlocdyqyb1fdhck54qxs65rl,1,53.2,25.6,2025-05-11T15:01:43.074Z,2025-05-11T15:03:53Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5720774423,213,2.48,5720774421,212,22.4,5720774415,56,Back,5720774417,140,36.4,5720774419,141,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608625,8,1,1,0,13,crlocdyqyb1fdhck54qxs65rl,0,42.5,37.4,2025-05-11T15:01:46.913Z,2025-05-11T15:01:49Z,8nmrvwyosqdqwyqowvdqvahh,F. Sjølstad,,,5720774561,140,80.7,5720774563,141,84.1,5720774557,155,,5720774565,212,51.2,5720774559,56,Left,5720774569,1,,5720774567,213,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608651,3,1,1,0,17,doohk95o6e8pkqah8vkop51dg,1,20.6,22.6,2025-05-11T15:01:50.754Z,2025-05-11T15:01:52Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5720774689,140,25.1,5720774693,212,8.0,5720774687,56,Back,5720774691,141,13.1,5720774685,3,,5720774695,213,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608703,5,1,1,0,19,doohk95o6e8pkqah8vkop51dg,1,26.0,10.0,2025-05-11T15:01:53.041Z,2025-05-11T15:01:54Z,2of6xfvdgpsrqehwxrc39kcq2,F. Carstensen,,,5720774885,212,9.3,5720774881,140,17.2,5720774883,141,12.1,5720774887,213,2.99,5720774879,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608747,6,1,1,0,21,doohk95o6e8pkqah8vkop51dg,1,21.0,8.6,2025-05-11T15:01:54.600Z,2025-05-11T15:01:57Z,30ojg24sppf8bzngafnd4neg9,E. Wichne,,,5720775101,140,27.8,5720775103,141,20.8,5720775099,56,Back,5720775105,212,10.9,5720775107,213,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608805,7,1,1,0,23,doohk95o6e8pkqah8vkop51dg,1,29.0,25.7,2025-05-11T15:01:56.943Z,2025-05-11T15:02:01Z,58zj1aw2i5mfyzb3knj72xk6i,S. Christiansen,,,5720775393,213,3.10,5720775389,141,26.3,5720775385,56,Back,5720775391,212,9.7,5720775387,140,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608887,8,1,1,0,27,doohk95o6e8pkqah8vkop51dg,1,19.8,26.3,2025-05-11T15:02:00.847Z,2025-05-11T15:02:06Z,b4nxbfm6audv844unlocgbsgl,M. Koch,,,5720775775,212,21.2,5720775773,141,56.1,5720775771,140,25.6,5720775777,213,1.28,5720775769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608927,9,1,1,0,32,doohk95o6e8pkqah8vkop51dg,1,49.2,77.9,2025-05-11T15:02:06.071Z,2025-05-11T15:02:08Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720775957,212,13.0,5720775959,213,1.05,5720775955,141,94.5,5720775953,140,55.4,5720775951,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608963,10,1,1,0,34,doohk95o6e8pkqah8vkop51dg,1,57.8,93.9,2025-05-11T15:02:08.239Z,2025-05-11T15:02:11Z,barzsgnl7tazysx2d10yzj04q,P. Reinhardsen,,,5720776133,213,4.43,5720776125,56,Left,5720776127,140,55.9,5720776131,212,7.1,5720776129,141,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608981,11,1,1,0,37,doohk95o6e8pkqah8vkop51dg,1,56.1,72.9,2025-05-11T15:02:10.975Z,2025-05-11T15:02:13Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720776271,212,17.1,5720776273,213,1.32,5720776265,56,Left,5720776267,140,60.2,5720776269,141,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609065,12,1,1,0,40,doohk95o6e8pkqah8vkop51dg,1,57.4,96.8,2025-05-11T15:02:13.520Z,2025-05-11T15:02:19Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5720776583,140,47.3,5720776589,213,3.98,5720776581,56,Back,5720776585,141,79.5,5720776587,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609095,13,1,1,0,46,doohk95o6e8pkqah8vkop51dg,1,59.8,69.8,2025-05-11T15:02:19.607Z,2025-05-11T15:02:21Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720776667,56,Left,5720776671,141,93.5,5720776675,213,1.88,5720776669,140,54.9,5720776673,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609115,14,1,1,0,48,doohk95o6e8pkqah8vkop51dg,1,54.9,93.5,2025-05-11T15:02:21.367Z,2025-05-11T15:02:22Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5720776759,56,Left,5720776765,212,9.1,5720776761,140,55.3,5720776763,141,80.1,5720776767,213,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609129,15,1,1,0,49,doohk95o6e8pkqah8vkop51dg,1,55.3,80.1,2025-05-11T15:02:22.471Z,2025-05-11T15:02:23Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720776821,212,8.0,5720776823,213,1.85,5720776815,56,Left,5720776817,140,53.2,5720776819,141,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609161,16,1,1,0,50,doohk95o6e8pkqah8vkop51dg,1,53.2,91.4,2025-05-11T15:02:23.559Z,2025-05-11T15:02:26Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5720776967,56,Back,5720776975,213,4.07,5720776971,141,72.3,5720776969,140,43.9,5720776973,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609193,17,1,1,0,53,doohk95o6e8pkqah8vkop51dg,1,43.9,72.3,2025-05-11T15:02:26.343Z,2025-05-11T15:02:28Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5720777115,140,56.6,5720777117,141,76.1,5720777121,213,0.19,5720777113,56,Center,5720777119,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609215,18,1,1,0,55,doohk95o6e8pkqah8vkop51dg,1,56.6,76.1,2025-05-11T15:02:28.671Z,2025-05-11T15:02:31Z,44t0ew97eyl8ww00sgusx00a2,A. Sher,,,5720777287,213,3.21,5720777275,140,45.8,5720777279,141,75.0,5720777283,212,11.4,5720777273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813609245,19,1,1,0,57,doohk95o6e8pkqah8vkop51dg,1,55.5,77.1,2025-05-11T15:02:30.958Z,2025-05-11T15:02:32Z,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,,,5720777453,56,Left,5720777467,213,1.42,5720777459,140,57.4,5720777463,141,96.8,5720777465,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
