id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2804462957,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-21T14:06:41.827Z,2025-04-21T17:29:30Z,,,,,5670272699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670272703,194,7j35sfip0xb51mpa91wzikrh0,5670272693,59,"30, 16, 4, 15, 12, 22, 20, 11, 23, 9, 6, 1, 3, 5, 7, 13, 18, 19, 21, 24",5670272691,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670272689,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 7j35sfip0xb51mpa91wzikrh0, bww0h67l7g6o9syrkp12s7pih, 95u4j4kg3w5wfpk8ilcimhfdg, dkuinrikn3htd1kilcsce2bit, bhkecr2u6neb933eo468i82ui, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 8rnri2daeaqt5h1hl9ftt6l0p, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, dlx130vfa5ynu82q5jtawq8lw, c284j5q0ewp6nu6xc57runrpw",5670272705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670272695,130,12,5670638565,197,23559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804470001,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-04-21T14:11:38.916Z,2025-04-21T15:01:33Z,,,,,5670312205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670312195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670312203,194,6wygyy5z5i0okllr83e9ej8ph,5670312193,30,"9l1jrghczcsus55hd9hx6gdzp, 6x3f721vjb8mxlp5ba3p1rb4k, jfesb9jxg4g5yph0x6nabevo, 6wygyy5z5i0okllr83e9ej8ph, 7hevgs3yo3fnxvingc7zzgpw4, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, 6hssnrvqsel6i5ca09p5730x6, 3g0xd9rds9relghxanr1f5vc9, 3e1tqerfmnsaqicofczjljo8a, v3hnsgptqqi0ystvybqtpyzu, 7zy4bzry9weswip0jogur6fbo, 1j7zubyq25gltkrmrqb8xiyy2, c57cmqsy5y46vndbsqq3pyu7e, dxmgpouxmhnss0ggxm6yqgo9, 92xhspr6bl1jyhqru3tsbjvqi, 8pyvicd2tlxh8k7hofh0iq6ms, di12pteex60qy5bdmm4lxt8no, 5mgpj4gcqsme1ug9ktxm6ofhm, bmaozrve14n5uj1a6q122dl3o",5670312201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670312197,59,"30, 26, 3, 18, 22, 47, 7, 20, 23, 6, 27, 2, 4, 8, 10, 17, 32, 43, 45, 1",5670638563,197,2276,5670312199,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528985,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-04-21T15:00:53.837Z,2025-04-21T15:00:56Z,,,,,5670636857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528981,3,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-21T15:00:53.837Z,2025-04-21T15:00:54Z,,,,,5670636835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804528995,4,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,50.3,49.9,2025-04-21T15:00:53.838Z,2025-04-21T18:39:57Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5670636937,212,21.3,5670636939,213,3.16,5670636941,279,S,5670636935,141,49.4,5670636931,56,Back,5670636933,140,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529033,5,1,1,0,3,e5txudmuc2qpc460bs4lb5aff,1,30.0,49.4,2025-04-21T15:00:57.773Z,2025-04-21T15:01:02Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5670637167,56,Right,5670637179,212,44.9,5670637183,213,5.81,5670637165,157,,5670637171,140,68.1,5670637187,1,,5670637175,141,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529041,6,44,1,0,7,e5txudmuc2qpc460bs4lb5aff,1,66.4,27.4,2025-04-21T15:01:01.723Z,2025-04-21T17:11:24Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5670637239,233,3,5670637223,286,,5670637221,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529029,3,44,1,0,7,btaf9fuj3xctycyjeqwereaow,0,33.6,72.6,2025-04-21T15:01:01.724Z,2025-04-21T17:11:24Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,,5670637147,285,,5670637143,56,Back,5670637245,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529053,7,1,1,0,8,e5txudmuc2qpc460bs4lb5aff,0,68.1,19.5,2025-04-21T15:01:01.941Z,2025-04-21T17:12:23Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5670637293,56,Center,5670637291,3,,5670637299,212,11.0,5670637295,140,78.0,5670637301,213,0.35,5670637297,141,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804529045,4,1,1,0,9,btaf9fuj3xctycyjeqwereaow,0,29.2,69.1,2025-04-21T15:01:03.637Z,2025-04-21T15:54:23Z,jfesb9jxg4g5yph0x6nabevo,V. Egeli,,,5670637251,56,Back,5670637253,140,47.7,5670637249,157,,5670637261,213,6.12,5670637259,212,19.7,5670637257,141,64.3,5670637265,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
