id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2820706387,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-06-01T14:14:29.488Z,2025-06-01T18:02:05Z,,,,,5760250081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760250075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5760250079,197,2276,5760250071,59,"30, 4, 17, 18, 2, 47, 7, 20, 11, 6, 27, 1, 3, 5, 8, 10, 19, 26, 43",5760250069,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5760250077,194,6wygyy5z5i0okllr83e9ej8ph,5760250073,130,7,5760250067,30,"9l1jrghczcsus55hd9hx6gdzp, 1j7zubyq25gltkrmrqb8xiyy2, 92xhspr6bl1jyhqru3tsbjvqi, 6wygyy5z5i0okllr83e9ej8ph, 7zy4bzry9weswip0jogur6fbo, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, 6hssnrvqsel6i5ca09p5730x6, csoy01ylfrp2o2jso18oohmvo, 3e1tqerfmnsaqicofczjljo8a, v3hnsgptqqi0ystvybqtpyzu, bmaozrve14n5uj1a6q122dl3o, jfesb9jxg4g5yph0x6nabevo, be02ilslgkjzab6vsq70l53is, c57cmqsy5y46vndbsqq3pyu7e, dxmgpouxmhnss0ggxm6yqgo9, cqbwi2vpug8530eao8ewo1tzo, 6x3f721vjb8mxlp5ba3p1rb4k, di12pteex60qy5bdmm4lxt8no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820707183,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-06-01T14:17:10.555Z,2025-06-01T18:02:27Z,,,,,5760254489,194,4z3w46k9n0yocg319dcewwz8q,5760254485,130,2,5760254491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760254479,30,"dk56pv43y8zo39ft9xtwyapnu, 8fqnvz74z901a2h0kgk1zezje, 95wuw8954h8drdxpx3f2wvuvo, 4z3w46k9n0yocg319dcewwz8q, 7yjqvzpcyyil0g7jne4hv7svd, c2pyie18ewq33hdvoaljwkbca, 172cxj9mocjk4cor42kjka3mx, auv81snxkpk2ybxzi8giy5azt, 6yyum3rgz21z8aln67irm508a, 7adevxj1o3gpqpmrv3f72v3oq, egd6w206242dh7aowfzmwyane, emce3apjphsh1r4jm5pjzyz11, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 3jgniouh70v4y74ly7u681o89, bp5s0a2jk5viq92gdoskhn7dg, c4xb4477ro5kjk7el9nczd6ok, a6tl97co89j46h3vvy2edpafo, 342b6q9d0ghvvizc2s6801ses",5760318309,197,28385,5760254481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760254487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760254483,59,"12, 2, 17, 8, 26, 24, 14, 19, 9, 18, 11, 1, 3, 4, 7, 16, 21, 28, 29, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719387,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-06-01T15:05:33.031Z,2025-06-01T15:05:35Z,,,,,5760325263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719383,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-06-01T15:05:33.031Z,2025-06-01T15:05:33Z,,,,,5760325249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719399,3,1,1,0,0,btaf9fuj3xctycyjeqwereaow,1,49.8,49.6,2025-06-01T15:05:33.032Z,2025-06-01T15:06:49Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5760325337,212,14.0,5760325333,140,36.6,5760325339,213,3.01,5760325335,141,52.4,5760325341,279,S,5760325331,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719413,4,1,1,0,3,btaf9fuj3xctycyjeqwereaow,0,36.6,52.4,2025-06-01T15:05:36.929Z,2025-06-01T15:05:41Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5760325443,140,69.1,5760325447,212,37.2,5760325441,56,Center,5760325451,1,,5760325439,157,,5760325445,141,74.1,5760325449,213,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719591,6,44,1,0,6,eujf9nqky8c5jnahb2f76m86o,1,31.3,21.9,2025-06-01T15:05:39.767Z,2025-06-01T17:18:00Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5760326491,56,Back,5760328559,233,16,5760326493,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719923,16,44,1,0,6,btaf9fuj3xctycyjeqwereaow,0,68.7,78.1,2025-06-01T15:05:39.768Z,2025-06-01T17:18:01Z,csoy01ylfrp2o2jso18oohmvo,D. Tibell,,,5760328571,233,6,5760328431,286,,5760328429,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719417,3,12,1,0,7,eujf9nqky8c5jnahb2f76m86o,1,38.6,22.1,2025-06-01T15:05:40.240Z,2025-06-01T15:12:18Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5760325489,212,19.3,5760325485,140,28.3,5760325491,213,4.12,5760325497,15,,5760325483,56,Back,5760325553,167,,5760325487,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820719425,4,5,1,0,10,eujf9nqky8c5jnahb2f76m86o,0,29.6,-1.6,2025-06-01T15:05:43.162Z,2025-06-01T17:14:10Z,4z3w46k9n0yocg319dcewwz8q,L. Sødal,,,5760325829,233,5,5760325513,56,Back,5760325515,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
