id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value
2819790119,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-05-28T18:22:39.430Z,2025-05-28T18:57:34Z,,,,,5755085619,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5755085625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755085623,130,2,5755085621,59,"12, 20, 15, 26, 6, 5, 11, 7, 10, 9, 14, 44, 2, 4, 8, 19, 21, 25, 27, 95",5755132285,197,29041,5755085629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755092545,194,38qnvrvf3y1xs22tovwy21jv9,5755085617,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, b2ibeioms7t9vb3au7tpqys4p, 38qnvrvf3y1xs22tovwy21jv9, 16rhwnvicrl1e9xqw867zuxn9, cegoeac3l2owi83zdvu30tj6y, do2fwr0qn3kg0qb40e3i36q51, 7dnxkce4kn8qchaavv6e4tm21, 2r893xoeuqhgoe2w2auhqb696, 55ashhvkh23ypnct70f9dgvkl, 3gvu6qvxl0ro74q6l1o4p2fx0, bqh87676f46jsdfftw2gt1mok, 7gqecbxztxxovmo1b6zqqcgve, 8pyq4t68w42u3fgd2w7tjykbu, 5hst73ivtxknjb3rrdivwygnp, 3zg0pvrja75d3l44dq0lh4kb9, ar7ybu7dordgt2yfx5inux62, bbyystkqag4mcfpr6utsazm51, 13k94iyejsdn4e51jx32rb23u",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819791265,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-28T18:28:08.770Z,2025-05-28T18:59:41Z,,,,,5755092617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755092613,59,"13, 5, 3, 8, 21, 25, 2, 7, 20, 33, 17, 1, 10, 18, 19, 23, 24, 26, 27, 28",5755092609,30,"9trvbmdwo8fkndwjz9mr1bfmx, cqwjwlsum5q92s2k80w3temi2, 8csmi6krrz8ju4085n6dgekt1, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, aeq6jlhgxpnkywoc20kp8tvu2, 60xm53o64nszavcsgfu5xzjyt, djxtqxvqxd70prbr1gkwjp3sa, cbgxwjokvziezgbbn0qu91s7o, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, bjqtzq0xcvtmbn54orj7rn5xx, 894tj8rg0i6kl4zvlok803949, 5cjx2i2perp5vr62en4cyer1m, 6ni1632pd1mkwbnjiglttoo2x, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg",5755092615,130,7,5755092621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755134863,197,29291,5755092611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5755092619,194,8csmi6krrz8ju4085n6dgekt1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798905,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-05-28T19:00:46.059Z,2025-05-28T19:00:46Z,,,,,5755135629,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798907,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-05-28T19:00:46.059Z,2025-05-28T19:00:48Z,,,,,5755135635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798913,3,1,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,50.0,50.0,2025-05-28T19:00:46.060Z,2025-05-28T19:00:49Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5755135699,140,22.5,5755135701,141,55.2,5755135703,212,29.1,5755135705,213,3.02,5755135697,56,Back,5755135707,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798919,4,1,1,0,3,bsykw9d70ffqe9atosc92n1e9,0,22.9,54.0,2025-05-28T19:00:49.780Z,2025-05-28T19:00:54Z,9trvbmdwo8fkndwjz9mr1bfmx,K. Klaesson,,,5755135757,56,Center,5755135761,141,33.4,5755135755,157,,5755135767,1,,5755135765,213,5.96,5755135763,212,44.1,5755135759,140,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798925,3,44,1,0,7,ctvzi2jbl1q6xzq0s3sexj73g,1,35.1,69.4,2025-05-28T19:00:53.118Z,2025-05-28T21:13:29Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5755135775,56,Back,5755144023,233,5,5755135777,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798921,5,44,1,0,7,bsykw9d70ffqe9atosc92n1e9,0,64.9,30.6,2025-05-28T19:00:53.119Z,2025-05-28T21:13:30Z,cbgxwjokvziezgbbn0qu91s7o,J. Hansen,,,5755135773,286,,5755144027,233,3,5755135771,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819800275,111,1,1,0,7,ctvzi2jbl1q6xzq0s3sexj73g,0,39.6,85.0,2025-05-28T19:00:53.932Z,2025-05-28T19:09:05Z,55ashhvkh23ypnct70f9dgvkl,U. Saltnes,,,5755143911,56,Back,5755143919,213,3.28,5755143917,212,2.0,5755143909,168,,5755143915,141,84.6,5755143913,140,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798931,6,61,1,0,7,bsykw9d70ffqe9atosc92n1e9,1,62.7,30.7,2025-05-28T19:00:53.944Z,2025-05-28T19:08:55Z,cbgxwjokvziezgbbn0qu91s7o,J. Hansen,,,5755135793,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798939,7,1,1,0,10,bsykw9d70ffqe9atosc92n1e9,0,55.3,10.0,2025-05-28T19:00:56.275Z,2025-05-28T19:00:56Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5755135847,140,66.7,5755135845,56,Right,5755135843,157,,5755135851,212,14.1,5755135853,213,0.55,5755135855,1,,5755135849,141,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819798941,4,1,1,0,10,ctvzi2jbl1q6xzq0s3sexj73g,1,28.3,88.5,2025-05-28T19:00:56.872Z,2025-05-28T19:10:41Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5755145121,157,,5755135857,56,Back,5755145129,213,0.51,5755145127,212,9.2,5755145125,141,95.1,5755145131,1,,5755145123,140,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
