id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2820702335,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-06-01T13:58:46.910Z,2025-06-01T14:55:52Z,,,,,5760226877,194,195m3d6cnwm71j1d2rjo25sdl,5760226867,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, ahe00hzfpxhe742i5db3mpe6s, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 3vuirsh6wmbhingygy27f0hqt, ce1q0p0ifilrb8wx6rmkcaeol, 2ku8s4c6qk2aghe47hwqgxfro, ezoomo1jux77i7dvex03pnpjo, 76k8ic97o66kaq2e52bmp27ai, dfwjippbaspehxg8m8ui4djze, avnrtae50pid6aomt6sq3dqi2, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5760226875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5760226869,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5760226879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760226871,59,"1, 23, 17, 10, 26, 6, 19, 8, 20, 27, 11, 12, 2, 7, 14, 21, 32, 41, 43",5760312181,197,501,5760226873,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820704259,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-06-01T14:07:21.020Z,2025-06-01T17:10:07Z,,,,,5760238063,59,"12, 22, 15, 20, 4, 5, 16, 10, 9, 8, 7, 40, 3, 11, 18, 21, 24, 31, 33",5760312371,197,29048,5760238069,194,3sfh0fq729hxtea9rzfke9979,5760238065,130,7,5760238067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5760238071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760238061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5760238059,30,"45d87fg5d9k6rvgkkoqcdr384, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 7fsqcwqftmk6lms6f6u8lpdlg, 94s19kazaywfzrg007vsha6wa, 33upoxyyqkh71m6d0b2nsn95g, 967mt42odhjqtdjxsf4epxxw, a7upy78sew3kqehgcfm9ho5ck, d0phfsg3amx6r0xblx5wia9k9, dfinorpyitke7fsso0fkgz28k, 6cu5njaghdntn0z9b1i6yb71m, 82dyshdwqwkvyba38j4a1kpas, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717933,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-06-01T15:01:11.556Z,2025-06-01T15:01:11Z,,,,,5760316955,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717937,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-06-01T15:01:11.556Z,2025-06-01T15:01:14Z,,,,,5760316969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717957,3,1,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,50.8,50.7,2025-06-01T15:01:11.557Z,2025-06-01T15:04:11Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5760317071,141,54.2,5760317073,212,37.9,5760317067,56,Back,5760317081,279,S,5760317079,1,,5760317075,213,3.08,5760317069,140,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717973,4,1,1,0,4,uqspd1bx7f6mq8ohj50u1k1k,0,23.8,51.1,2025-06-01T15:01:16.379Z,2025-06-01T16:02:33Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,,5760317153,157,,5760317161,212,62.4,5760317157,140,72.9,5760317159,141,0.0,5760317155,56,Right,5760317163,213,5.68,5760317165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718043,3,5,1,0,7,6oxoag5c6zbnn09wx08vz4iak,1,29.6,101.2,2025-06-01T15:01:18.914Z,2025-06-01T17:17:33Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5760317551,347,,5760317549,56,Back,5760317565,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717979,5,5,1,0,7,uqspd1bx7f6mq8ohj50u1k1k,0,70.4,-1.2,2025-06-01T15:01:18.914Z,2025-06-01T17:17:34Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,,5760317581,233,3,5760317193,56,Right,5760317195,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718057,4,1,1,0,16,6oxoag5c6zbnn09wx08vz4iak,0,33.7,100.0,2025-06-01T15:01:28.353Z,2025-06-01T15:01:30Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760317657,140,50.1,5760317655,56,Left,5760317659,141,91.8,5760317663,213,5.90,5760317661,212,18.6,5760317653,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820718063,6,8,1,0,20,uqspd1bx7f6mq8ohj50u1k1k,1,51.6,13.7,2025-06-01T15:01:31.635Z,2025-06-01T15:01:32Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760317715,15,,5760317695,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
