id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/16/value
2815265983,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-16T15:08:16.236Z,2025-05-16T19:37:09Z,,,,,5730110049,197,23821,5730074339,194,c1jlypnkt4c9y9vdnjkvxa85x,5730074341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730074337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730074335,130,12,5730074333,59,"1, 16, 14, 15, 4, 3, 25, 8, 10, 22, 7, 12, 2, 5, 11, 17, 19, 26, 28, 33",5730074331,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730074329,30,"7f0drwvw3zquh352luxegqtpl, 58ufmirzy800nq7gucsiz3hg4, 2dgff1agcaa5ohb0f4wn64ay2, 67nybn375tyqdqae4m1yk407o, 657z9s0rqlzub9nmdpb7ct82c, 1pobxn4eg4l8phk4ug0t56t7u, euc11yjkfscwt6xsiitlorz10, 3usrzzduezg3zt3usvuayxxm2, aebliukutyz91pczaam39lolx, 3iolpwrv18gtlyse7ih3nt91w, c1jlypnkt4c9y9vdnjkvxa85x, 7ka7fuh355172r0uh84n4z7u2, 5szykye2vk3nx7r5lhzn2ljx0, 5u4eoypx0tb3t0brk2dv8sm0a, etz2bmorno30rw9efxkc0ufo, 26ro2zdtkq9ia7dzr9ellxkvd, biibwjyc33yv901fetordsv84, 3hup5rvg21nkou5psia9pe9sk, 7yjrb3xvu6xzo23j6d8eu2sfe, c78cublmvb2gg8gzk999xn9hx",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815267803,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-16T15:21:24.193Z,2025-05-16T15:55:50Z,,,,,5730086071,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730086081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730086073,59,"30, 16, 4, 15, 12, 22, 20, 6, 13, 9, 11, 1, 3, 5, 7, 18, 19, 21, 23, 40",5730086075,130,10,5730086077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730086069,30,"b20lp3ufi88q4pckp39hsjbsa, dlxtfrt1ioz51rwnizwz5657t, ci3c5x4u4g1n4y9p63av1txx, bbiblpn6dg2ub1guiphivzq50, dfp3y0edqm1vg85f6n3b6ut49, 16yy0mbn7y1vztd870gybmane, 7j35sfip0xb51mpa91wzikrh0, bhkecr2u6neb933eo468i82ui, 8rnri2daeaqt5h1hl9ftt6l0p, dkuinrikn3htd1kilcsce2bit, bww0h67l7g6o9syrkp12s7pih, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, dlx130vfa5ynu82q5jtawq8lw, 95u4j4kg3w5wfpk8ilcimhfdg, b5itju69rep2i6e33wg97vr4k",5730086079,194,bhkecr2u6neb933eo468i82ui,5730110127,197,23559,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272893,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-05-16T16:02:19.674Z,2025-05-16T16:02:19Z,,,,,5730117229,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272897,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-05-16T16:02:19.674Z,2025-05-16T16:02:21Z,,,,,5730117249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272911,3,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,49.9,50.1,2025-05-16T16:02:19.675Z,2025-05-16T16:02:22Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5730117351,279,S,5730117343,140,31.2,5730117349,213,3.48,5730117345,141,40.0,5730117347,212,20.8,5730117341,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272923,4,1,1,0,2,e5txudmuc2qpc460bs4lb5aff,0,31.2,40.1,2025-05-16T16:02:22.658Z,2025-05-16T16:03:58Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5730117471,213,0.55,5730117467,141,81.8,5730117465,140,75.1,5730117463,56,Left,5730117473,1,,5730121595,157,,5730117469,212,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272981,3,1,1,0,6,4q0b35m26thti4c2on9a3npk0,1,19.0,15.9,2025-05-16T16:02:26.061Z,2025-05-16T16:02:31Z,1pobxn4eg4l8phk4ug0t56t7u,A. Aleesami,,,5730117801,213,5.98,5730117799,212,21.0,5730117791,3,,5730117793,56,Back,5730117795,140,38.1,5730117797,141,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272989,4,61,1,0,8,4q0b35m26thti4c2on9a3npk0,0,34.2,9.1,2025-05-16T16:02:28.520Z,2025-05-16T18:18:03Z,euc11yjkfscwt6xsiitlorz10,S. Sandal,,,5730117827,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815272995,5,5,1,0,9,4q0b35m26thti4c2on9a3npk0,0,28.6,-0.9,2025-05-16T16:02:29.426Z,2025-05-16T18:13:34Z,euc11yjkfscwt6xsiitlorz10,S. Sandal,,,5730117845,347,,5730117843,56,Back,5730117959,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815273007,5,5,1,0,9,e5txudmuc2qpc460bs4lb5aff,1,71.4,100.9,2025-05-16T16:02:29.426Z,2025-05-16T16:02:34Z,dfp3y0edqm1vg85f6n3b6ut49,U. Fredriksen,,,5730117893,347,,5730117917,233,5,5730117891,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
