id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value
2807142979,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-04-27T13:59:39.413Z,2025-04-27T14:57:45Z,,,,,5685043925,194,6wygyy5z5i0okllr83e9ej8ph,5685043921,130,7,5685043923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685043915,30,"9l1jrghczcsus55hd9hx6gdzp, 6x3f721vjb8mxlp5ba3p1rb4k, jfesb9jxg4g5yph0x6nabevo, 6wygyy5z5i0okllr83e9ej8ph, 7zy4bzry9weswip0jogur6fbo, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, 6hssnrvqsel6i5ca09p5730x6, 3g0xd9rds9relghxanr1f5vc9, 3e1tqerfmnsaqicofczjljo8a, v3hnsgptqqi0ystvybqtpyzu, bmaozrve14n5uj1a6q122dl3o, 1j7zubyq25gltkrmrqb8xiyy2, c57cmqsy5y46vndbsqq3pyu7e, dxmgpouxmhnss0ggxm6yqgo9, 92xhspr6bl1jyhqru3tsbjvqi, 2pv9d474cpuaz93ixmm1acljo, 7hevgs3yo3fnxvingc7zzgpw4, di12pteex60qy5bdmm4lxt8no, 5mgpj4gcqsme1ug9ktxm6ofhm",5685043927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685043919,59,"30, 26, 3, 18, 2, 47, 7, 20, 23, 6, 27, 1, 4, 8, 10, 17, 21, 22, 43, 45",5685480199,197,2276,5685043917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807157007,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-04-27T14:10:19.276Z,2025-04-27T17:28:08Z,,,,,5685115613,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685115611,30,"6y6xobx7t2qx431s59kv8hk9h, 1t1ylf4iwrotj4jjf9qfzbieh, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 424bbibjsasfjrkjoa0jfkhk9, 2gbfwdmpk5gfmcc979aqfkyxh, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, iuf92spli9o5l8r9ftooufah, 2w7qb6w4qcogyuvgi31rfv85w, d9d7ec57xuvrsby6xd45v50r8, 3dz611s3q1kjhrzt8ixv4jbhl, 6ybcevijvdov8qj1hxcbw3dd6, 6r0yq4i1lk788h1euk5ztec5, a9guphf8p0im4it165fsqhud, 5yhieehol1p5crvzjd55ac8wk, bb7inex45spf3wj9dqw8sbqi, bop1j9fi00opeyzscvsw6xpn8, 8pzgnj5qdty3jl94lcrxwxgk4, cqp45uxqfxgeit1km2bu79s7o",5685479971,197,15102,5685115615,59,"12, 22, 5, 26, 14, 2, 18, 11, 10, 20, 15, 30, 6, 7, 16, 17, 19, 24, 25, 34",5685115621,194,424bbibjsasfjrkjoa0jfkhk9,5685115623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685115619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685115617,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224783,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-04-27T15:01:04.072Z,2025-04-27T15:01:05Z,,,,,5685494615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224743,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-04-27T15:01:04.072Z,2025-04-27T15:01:17Z,,,,,5685494451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224837,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,50.0,50.0,2025-04-27T15:01:04.073Z,2025-04-27T15:09:14Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5685494871,56,Back,5685494873,140,32.4,5685494875,141,44.2,5685494881,279,S,5685494879,213,3.35,5685494877,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224883,4,1,1,0,4,crlocdyqyb1fdhck54qxs65rl,0,29.7,52.8,2025-04-27T15:01:08.305Z,2025-04-27T15:09:21Z,424bbibjsasfjrkjoa0jfkhk9,L. Mares,,,5685495139,140,72.3,5685495137,56,Center,5685495147,1,,5685495141,141,28.5,5685495143,212,47.7,5685495145,213,5.93,5685495135,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225009,3,1,1,0,7,btaf9fuj3xctycyjeqwereaow,1,29.9,79.6,2025-04-27T15:01:11.323Z,2025-04-27T17:56:28Z,jfesb9jxg4g5yph0x6nabevo,V. Egeli,,,5685495911,141,72.0,5685495913,212,7.7,5685495909,140,35.4,5685495907,56,Back,5685495915,213,5.55,5685495905,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225013,4,4,1,0,15,btaf9fuj3xctycyjeqwereaow,1,41.2,70.4,2025-04-27T15:01:19.817Z,2025-04-27T15:01:27Z,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,,,5685496065,265,,5685496067,286,,5685496109,233,5,5685496061,56,Back,5685496059,13,,5685496063,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225015,5,4,1,0,15,crlocdyqyb1fdhck54qxs65rl,0,58.8,29.6,2025-04-27T15:01:19.818Z,2025-04-27T15:02:06Z,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,5685495975,13,,5685495985,152,,5685495989,265,,5685495993,285,,5685496313,233,4,5685495979,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225137,5,1,1,0,20,btaf9fuj3xctycyjeqwereaow,1,45.0,64.9,2025-04-27T15:01:24.114Z,2025-04-27T15:01:27Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5685496561,141,46.1,5685496559,140,33.8,5685496563,212,17.4,5685496565,213,3.97,5685496557,56,Back,5685496553,5,,5685496555,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
