id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823619879,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-06-21T15:10:02.504Z,2025-06-21T18:10:31Z,,,,,5776623299,59,"12, 20, 15, 26, 4, 5, 11, 7, 10, 9, 14, 1, 6, 8, 19, 21, 24, 25, 27, 95",5776623295,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, b2ibeioms7t9vb3au7tpqys4p, 7gqecbxztxxovmo1b6zqqcgve, 16rhwnvicrl1e9xqw867zuxn9, cegoeac3l2owi83zdvu30tj6y, do2fwr0qn3kg0qb40e3i36q51, 7dnxkce4kn8qchaavv6e4tm21, 2r893xoeuqhgoe2w2auhqb696, 55ashhvkh23ypnct70f9dgvkl, at4flt8tr925ds3dgw5zrgtm1, 38qnvrvf3y1xs22tovwy21jv9, 8pyq4t68w42u3fgd2w7tjykbu, 5hst73ivtxknjb3rrdivwygnp, 3zg0pvrja75d3l44dq0lh4kb9, d95uicftg11gdyf5yk2ntt1jo, ar7ybu7dordgt2yfx5inux62, bbyystkqag4mcfpr6utsazm51, 13k94iyejsdn4e51jx32rb23u",5776623297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5776649513,197,29041,5776623305,194,55ashhvkh23ypnct70f9dgvkl,5776623301,130,2,5776623307,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5776623303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823620097,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-06-21T15:11:50.643Z,2025-06-21T16:00:15Z,,,,,5776624497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5776624493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5776624495,194,195m3d6cnwm71j1d2rjo25sdl,5776624491,130,4,5776649479,197,501,5776624489,59,"1, 23, 17, 10, 26, 6, 19, 8, 20, 27, 11, 12, 2, 7, 14, 21, 32, 43",5776624487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5776624485,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, ahe00hzfpxhe742i5db3mpe6s, 9se6a4pxhy13alu316ttx2vhl, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 3vuirsh6wmbhingygy27f0hqt, ce1q0p0ifilrb8wx6rmkcaeol, 2ku8s4c6qk2aghe47hwqgxfro, ezoomo1jux77i7dvex03pnpjo, 76k8ic97o66kaq2e52bmp27ai, dfwjippbaspehxg8m8ui4djze, avnrtae50pid6aomt6sq3dqi2, 5coof7ruazt9nbjl5qvobe3v8, 815zq6bo3kwxw8fl3bh381ez8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624833,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-06-21T16:01:26.131Z,2025-06-21T16:01:27Z,,,,,5776650469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624829,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-06-21T16:01:26.131Z,2025-06-21T16:01:26Z,,,,,5776650467,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624837,3,1,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,49.7,50.1,2025-06-21T16:01:26.132Z,2025-06-21T16:01:29Z,3vuirsh6wmbhingygy27f0hqt,M. Sande,,,5776650493,279,S,5776650491,213,3.67,5776650489,212,22.1,5776650483,56,Back,5776650487,141,33.6,5776650485,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624845,4,1,1,0,2,6oxoag5c6zbnn09wx08vz4iak,1,31.4,35.8,2025-06-21T16:01:29.020Z,2025-06-21T18:10:41Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5776650539,141,84.8,5776650545,1,,5776650535,56,Left,5776650541,212,51.0,5776650537,140,68.2,5776650543,213,0.71,5776650533,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624857,5,44,1,0,7,6oxoag5c6zbnn09wx08vz4iak,1,70.1,79.5,2025-06-21T16:01:33.187Z,2025-06-21T18:05:32Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5776650587,56,Left,5776650605,233,3,5776650589,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624851,3,44,1,0,7,ctvzi2jbl1q6xzq0s3sexj73g,0,29.9,20.5,2025-06-21T16:01:33.188Z,2025-06-21T18:10:42Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5776650563,285,,5776650613,233,5,5776650561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624859,6,2,1,0,7,6oxoag5c6zbnn09wx08vz4iak,1,68.2,84.8,2025-06-21T16:01:33.596Z,2025-06-21T18:10:43Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5776650625,141,90.3,5776650621,56,Left,5776650623,140,73.2,5776651435,7,ce1q0p0ifilrb8wx6rmkcaeol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624863,4,43,1,0,10,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-06-21T16:01:36.735Z,2025-06-21T16:01:43Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5776650711,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823624865,5,43,1,0,10,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-06-21T16:01:36.838Z,2025-06-21T16:01:46Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5776650649,212,17.7,5776650735,144,1,5776650645,140,40.1,5776650651,213,5.77,5776650647,141,0.0,5776650643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
