id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2823851777,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-06-22T14:07:43.285Z,2025-06-22T15:02:46Z,,,,,5777921251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5777921255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777921249,130,2,5777921245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5777921253,194,7yjqvzpcyyil0g7jne4hv7svd,5777921247,59,"12, 26, 17, 8, 5, 24, 14, 19, 9, 18, 11, 1, 3, 4, 7, 15, 16, 22, 23",5777921243,30,"dk56pv43y8zo39ft9xtwyapnu, 7yjqvzpcyyil0g7jne4hv7svd, 95wuw8954h8drdxpx3f2wvuvo, 4z3w46k9n0yocg319dcewwz8q, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, 172cxj9mocjk4cor42kjka3mx, auv81snxkpk2ybxzi8giy5azt, 6yyum3rgz21z8aln67irm508a, 7adevxj1o3gpqpmrv3f72v3oq, egd6w206242dh7aowfzmwyane, emce3apjphsh1r4jm5pjzyz11, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 39zbpdxha7mync2430sxuig9h, 3jgniouh70v4y74ly7u681o89, 34lcrlx7ddks5ko8s8opi44k4, bs4q35yv3qe37wu1u18ajx8us",5777951457,197,28385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823852017,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-22T14:09:00.361Z,2025-06-22T17:39:33Z,,,,,5777922515,194,b4nxbfm6audv844unlocgbsgl,5777950991,197,29285,5777922513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777922509,59,"1, 32, 3, 8, 2, 30, 7, 22, 11, 10, 27, 31, 4, 14, 18, 19, 23, 29, 80, 81",5777922511,130,7,5777922507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777922517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777922505,30,"16od5bk1t05mluydp8i4t2lg4, 30ojg24sppf8bzngafnd4neg9, d2xmywt450kjrph838hshcn3d, 58zj1aw2i5mfyzb3knj72xk6i, b4nxbfm6audv844unlocgbsgl, 4fkb8m4vdcyn1iwck0ukhofmc, 6wxneuych76i6tlb49sqkmy5m, azurrp6gm0xahdwntj9clyiac, 4e7x4ulb3mcxgnue8c9exvazu, 115owbh8c39gfwcja2wxuweay, 6wwk8y9mklkh8x606ynhe1lp0, 6hzrtnl5iw9i240qtm2pg7ahh, ar08l5yajxjdx0du3cvt6eq6s, wamee1wd0fr552uv5507z0lx, f58yr2jmfp8kpgprfxbokt1t6, xctg7y5ks41cjjnerqkia38p, c5487d4s89hhsne317nbsvdh, 2urilkjhzglzfbteda50ml8us, 4l4mgdujigcku5z1eckr76rys, wawciqazj55afs06jipyhk44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857145,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-06-22T15:01:20.848Z,2025-06-22T15:01:21Z,,,,,5777951851,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857147,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0.0,0.0,2025-06-22T15:01:20.848Z,2025-06-22T15:01:21Z,,,,,5777951853,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857151,3,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,50.1,49.6,2025-06-22T15:01:20.849Z,2025-06-22T15:01:22Z,egd6w206242dh7aowfzmwyane,A. Scriven,,,5777951877,213,2.69,5777951873,141,51.6,5777951869,56,Back,5777951879,279,S,5777951871,140,47.4,5777951875,212,3.1,5777951881,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857159,4,1,1,0,1,eujf9nqky8c5jnahb2f76m86o,1,45.3,51.3,2025-06-22T15:01:22.368Z,2025-06-22T15:01:25Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,,5777951935,213,3.93,5777951927,56,Back,5777951929,140,32.4,5777951933,212,19.2,5777951931,141,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857163,5,1,1,0,4,eujf9nqky8c5jnahb2f76m86o,1,31.7,33.1,2025-06-22T15:01:25.512Z,2025-06-22T16:02:30Z,2gxvele61txnvuc7sxszfqaga,J. Haahr,,,5777951951,56,Back,5777951953,140,35.6,5777951955,141,8.2,5777951959,213,4.95,5777951957,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857167,6,1,1,0,6,eujf9nqky8c5jnahb2f76m86o,0,31.8,13.7,2025-06-22T15:01:26.911Z,2025-06-22T16:02:32Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5777951981,212,10.2,5777951983,213,0.19,5777951975,56,Back,5777951979,141,16.5,5777951977,140,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857175,4,1,1,0,8,doohk95o6e8pkqah8vkop51dg,1,65.2,69.0,2025-06-22T15:01:29.691Z,2025-06-22T15:01:31Z,115owbh8c39gfwcja2wxuweay,H. Tangen,,,5777952025,140,67.6,5777952023,56,Left,5777952029,212,11.8,5777952027,141,86.0,5777952031,213,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857185,5,1,1,0,10,doohk95o6e8pkqah8vkop51dg,1,67.6,86.0,2025-06-22T15:01:31.563Z,2025-06-22T15:05:27Z,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,,,5777952055,56,Left,5777952059,141,82.0,5777952061,212,8.6,5777952057,140,75.4,5777952063,213,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
