id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/8/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2820701413,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-06-01T13:53:55.148Z,2025-06-01T18:05:42Z,,,,,5760221535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760221541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760221543,194,446klv47srbtz97yk7vgakbft,5760221539,130,8,5760221537,59,"12, 25, 3, 16, 6, 4, 10, 8, 29, 21, 7, 1, 14, 20, 30, 37, 39, 42, 44, 66",5760221533,30,"5bfaszkv7wr5nkkcklqtncftg, 9avxz26gl0igfm4ea5inps0es, 14ypgy7ikxp4yubgkr3yhh90p, 446klv47srbtz97yk7vgakbft, 7wiychyw6gd8lw6zakd3swmlm, 5ezedgrsrflkr1gi8o6eu7j3e, eguth2iido7y17nisod5l6e50, b402113ae9zjswote8zxlzmc5, 6yj33ghw3e2x8lv9mtvqyg7x0, 1s3v8iujq9j1qbhccuun62jft, 62inw8zz8raw527zudb2n8jys, dmzue0z7q5147nxeo24emskid, dp2ce683ahjwgywryjizdbtud, 8mkjfugmfdj5qb0on4u6kixhw, 6685o2ur8lnocqbwtxit8jdas, 4bhecy0vioxwdpmw64uyek3ro, clyv3e5zbj72u09ialts0ul1w, cyndk88eyqa8w6nfdsne29zis, ekvaftkspow9uri786zg6740k, a6mt7f1hy6ieaowii8na2j7dg",5760314279,197,29046,5760221545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820703013,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-06-01T14:02:36.405Z,2025-06-01T18:16:36Z,,,,,5760230845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760314011,197,29042,5760230847,194,do2fwr0qn3kg0qb40e3i36q51,5760230849,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760230839,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760230837,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, bqh87676f46jsdfftw2gt1mok, 16rhwnvicrl1e9xqw867zuxn9, b2ibeioms7t9vb3au7tpqys4p, 2r893xoeuqhgoe2w2auhqb696, cegoeac3l2owi83zdvu30tj6y, 7dnxkce4kn8qchaavv6e4tm21, 55ashhvkh23ypnct70f9dgvkl, 3gvu6qvxl0ro74q6l1o4p2fx0, 7gqecbxztxxovmo1b6zqqcgve, 8pyq4t68w42u3fgd2w7tjykbu, 5hst73ivtxknjb3rrdivwygnp, 3zg0pvrja75d3l44dq0lh4kb9, d95uicftg11gdyf5yk2ntt1jo, ar7ybu7dordgt2yfx5inux62, bbyystkqag4mcfpr6utsazm51, 13k94iyejsdn4e51jx32rb23u",5760230843,130,21,5760230841,59,"12, 20, 15, 7, 2, 5, 26, 9, 11, 10, 14, 44, 4, 8, 19, 21, 24, 25, 27, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717869,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-06-01T15:01:00.352Z,2025-06-01T15:01:02Z,,,,,5760316673,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717863,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-06-01T15:01:00.352Z,2025-06-01T15:01:00Z,,,,,5760316645,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717875,3,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,50.0,50.0,2025-06-01T15:01:00.353Z,2025-06-01T15:01:02Z,2r893xoeuqhgoe2w2auhqb696,K. Høgh,,,5760316703,140,34.4,5760316717,279,S,5760316699,56,Back,5760316711,212,16.5,5760316707,141,47.5,5760316713,213,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717889,4,1,1,0,2,ctvzi2jbl1q6xzq0s3sexj73g,1,34.2,49.4,2025-06-01T15:01:02.382Z,2025-06-01T15:01:04Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5760316785,141,70.3,5760316787,212,17.8,5760316789,213,2.22,5760316783,140,24.0,5760316781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717929,5,1,1,0,4,ctvzi2jbl1q6xzq0s3sexj73g,1,26.4,69.3,2025-06-01T15:01:04.759Z,2025-06-01T15:01:11Z,16rhwnvicrl1e9xqw867zuxn9,H. Aleesami,,,5760316943,140,23.8,5760316945,141,39.7,5760316947,212,20.3,5760316949,213,4.58,5760316941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717939,6,1,1,0,10,ctvzi2jbl1q6xzq0s3sexj73g,1,41.5,30.0,2025-06-01T15:01:10.926Z,2025-06-01T15:01:13Z,bqh87676f46jsdfftw2gt1mok,V. Nielsen,,,5760316975,141,10.0,5760316979,213,4.71,5760316977,212,13.6,5760316973,140,41.5,5760316971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717941,7,1,1,0,13,ctvzi2jbl1q6xzq0s3sexj73g,1,39.8,15.2,2025-06-01T15:01:13.399Z,2025-06-01T15:01:14Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5760316991,141,28.0,5760316989,140,45.0,5760316987,56,Back,5760316993,212,10.3,5760316995,213,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820717943,8,1,1,0,13,ctvzi2jbl1q6xzq0s3sexj73g,0,44.9,28.2,2025-06-01T15:01:14.318Z,2025-06-01T15:01:15Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5760317007,213,6.14,5760317001,140,56.8,5760316999,56,Center,5760317003,141,25.5,5760317005,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
