id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2796100989,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-04-05T13:15:55.598Z,2025-04-05T13:52:51Z,,,,,5624536069,197,1393,5624396335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624396321,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, 7gqecbxztxxovmo1b6zqqcgve, 38qnvrvf3y1xs22tovwy21jv9, b2ibeioms7t9vb3au7tpqys4p, 55ashhvkh23ypnct70f9dgvkl, 2r893xoeuqhgoe2w2auhqb696, bbyystkqag4mcfpr6utsazm51, cegoeac3l2owi83zdvu30tj6y, at4flt8tr925ds3dgw5zrgtm1, bqh87676f46jsdfftw2gt1mok, 16rhwnvicrl1e9xqw867zuxn9, 7dnxkce4kn8qchaavv6e4tm21, 5hst73ivtxknjb3rrdivwygnp, 3zg0pvrja75d3l44dq0lh4kb9, ar7ybu7dordgt2yfx5inux62, 3gvu6qvxl0ro74q6l1o4p2fx0, gg7dwzxwljl1rjw4v81pmp78",5624396327,130,4,5624396329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624396325,59,"12, 20, 15, 7, 4, 6, 26, 14, 9, 27, 11, 1, 2, 5, 10, 19, 21, 25, 44, 77",5624396323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624396331,194,55ashhvkh23ypnct70f9dgvkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796105949,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-04-05T13:20:31.220Z,2025-04-05T14:01:30Z,,,,,5624424347,130,10,5624424349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624424345,59,"30, 7, 5, 26, 23, 14, 18, 11, 19, 20, 15, 31, 2, 6, 10, 16, 17, 25, 33, 34",5624424353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624424343,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624535895,197,15237,5624424341,30,"3dz611s3q1kjhrzt8ixv4jbhl, 6r0yq4i1lk788h1euk5ztec5, c1p51x3fg0dgss14z9vozfqc4, dd53d1radlkv7y24724vkol49, 8nmrvwyosqdqwyqowvdqvahh, 424bbibjsasfjrkjoa0jfkhk9, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, bb7inex45spf3wj9dqw8sbqi, 2w7qb6w4qcogyuvgi31rfv85w, d9d7ec57xuvrsby6xd45v50r8, a2e6ctespr0x0mmeum27m86qc, 2gbfwdmpk5gfmcc979aqfkyxh, 6ybcevijvdov8qj1hxcbw3dd6, iuf92spli9o5l8r9ftooufah, a9guphf8p0im4it165fsqhud, 5yhieehol1p5crvzjd55ac8wk, 8pzgnj5qdty3jl94lcrxwxgk4, 8y93t5ly9qv0zhtpj54lax1xw, cqp45uxqfxgeit1km2bu79s7o",5624424351,194,8nmrvwyosqdqwyqowvdqvahh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796162849,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-04-05T14:06:27.253Z,2025-04-05T14:06:29Z,,,,,5624716571,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796162761,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-04-05T14:06:27.253Z,2025-04-05T14:06:27Z,,,,,5624716145,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796162911,3,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,50.2,50.3,2025-04-05T14:06:27.254Z,2025-04-05T14:06:30Z,2r893xoeuqhgoe2w2auhqb696,K. Høgh,,,5624716851,279,S,5624716843,141,49.9,5624716835,56,Back,5624716849,213,3.16,5624716839,140,36.0,5624716847,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796163071,4,1,1,0,2,ctvzi2jbl1q6xzq0s3sexj73g,1,34.1,50.9,2025-04-05T14:06:30.031Z,2025-04-05T14:06:33Z,do2fwr0qn3kg0qb40e3i36q51,P. Berg,,,5624717729,56,Back,5624717737,212,7.2,5624717735,141,59.9,5624717733,140,30.4,5624717741,213,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796163243,5,1,1,0,5,ctvzi2jbl1q6xzq0s3sexj73g,1,33.8,49.0,2025-04-05T14:06:33.207Z,2025-04-05T14:06:36Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5624718523,56,Back,5624718529,212,13.6,5624718525,140,41.8,5624718527,141,33.3,5624718531,213,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796163417,6,1,1,0,9,ctvzi2jbl1q6xzq0s3sexj73g,1,54.9,28.3,2025-04-05T14:06:36.566Z,2025-04-05T14:06:39Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5624719353,140,61.4,5624719359,141,13.8,5624719351,56,Right,5624719367,212,12.0,5624719373,213,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796163575,7,1,1,0,12,ctvzi2jbl1q6xzq0s3sexj73g,1,60.7,14.6,2025-04-05T14:06:39.470Z,2025-04-05T14:06:43Z,dgki9si023s93nymhod74jlzo,F. Sjøvold,,,5624720213,141,36.7,5624720217,213,2.08,5624720215,212,17.2,5624720211,140,52.7,5624720209,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796163725,8,1,1,0,15,ctvzi2jbl1q6xzq0s3sexj73g,1,48.8,46.0,2025-04-05T14:06:43.030Z,2025-04-05T14:06:46Z,38qnvrvf3y1xs22tovwy21jv9,J. Gundersen,,,5624720953,213,1.26,5624720943,56,Center,5624720949,141,76.6,5624720947,140,55.2,5624720951,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
