id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2798602999,1,34,16,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-09T16:09:34.873Z,2025-04-09T21:44:43Z,,,,,5638107373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638107369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638107361,30,"b20lp3ufi88q4pckp39hsjbsa, 16yy0mbn7y1vztd870gybmane, ci3c5x4u4g1n4y9p63av1txx, 7j35sfip0xb51mpa91wzikrh0, dfp3y0edqm1vg85f6n3b6ut49, bbiblpn6dg2ub1guiphivzq50, dlxtfrt1ioz51rwnizwz5657t, bhkecr2u6neb933eo468i82ui, 95u4j4kg3w5wfpk8ilcimhfdg, dkuinrikn3htd1kilcsce2bit, bww0h67l7g6o9syrkp12s7pih, 51ibk2sy9eczccqp0gzsmns9h, 4s8lwbyh90phbponlzsdlj0iy, c5p3hpmvlgspmqfs64zfrs991, ahje1y6v4dlmq4ath0rfcql90, 8rnri2daeaqt5h1hl9ftt6l0p, 3ewxm7jl56sr9s0x26zd018et, 2gic8jiz83o8w0qsh3g9eq385, 1s6yn52hlqtmmz4lerscf457u, c284j5q0ewp6nu6xc57runrpw",5638107365,59,"30, 22, 4, 20, 12, 15, 16, 6, 23, 9, 11, 1, 3, 5, 7, 13, 14, 18, 19, 24",5638240127,197,23559,5638107371,194,bhkecr2u6neb933eo468i82ui,5638107363,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5638107367,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798603281,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-09T16:10:56.608Z,2025-04-09T21:32:03Z,,,,,5638109295,194,bxafjt88zqj5wgvx5r71c6cid,5638109291,130,2,5638239283,197,530,5638109287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5638109289,59,"21, 3, 27, 29, 4, 5, 7, 10, 80, 8, 11, 1, 6, 9, 14, 15, 22, 23, 24, 55",5638109297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638109293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638109285,30,"b5kti1udidgdjke5raks6iezu, rzfthr8qys67ormz869jrndg, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, fbd96sw3egypi2key2hxbnu2, cft1n7qn5juaedelpvqwo2f3d, d5jihfuxjuw51jgt6k4zhmrmy, 1w8gujxthv0lfjrn98paa1uga, 4krwgfspxdgpq1pli11b04iga, bxafjt88zqj5wgvx5r71c6cid, 9xxdec5pv5plas9ve4ehs4nop, cpcjoijkj6xhmcbfnyuarh1hx, 2d9k8p22131is7op7vcn0arbp, dodkgckgbecal0vivr1jf0hzo, c9tn3kw240q4qmcbml5vyb6z8, a4de7kgp5ivhwckmtv5htu162, bi90ts7bjqsllbei6qtmx6has, c9a0owmk742hzaoxqlmxrruju, bzk5asrkwi0pvl6npmxb7jhzp, 3ga4zm8ifo0ohz7xe03jxswkp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798614963,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-09T17:00:46.554Z,2025-04-09T17:00:46Z,,,,,5638179075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798614967,2,32,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,0.0,0.0,2025-04-09T17:00:46.554Z,2025-04-13T23:00:31Z,,,,,5638179087,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798614969,3,1,1,0,0,e5txudmuc2qpc460bs4lb5aff,1,50.0,50.0,2025-04-09T17:00:46.591Z,2025-04-09T17:00:49Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5638179091,140,27.6,5638179095,212,24.5,5638179099,279,S,5638179093,141,60.0,5638179097,213,2.86,5638179089,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798614981,4,1,1,0,3,e5txudmuc2qpc460bs4lb5aff,0,30.0,61.1,2025-04-09T17:00:50.323Z,2025-04-09T17:00:52Z,bbiblpn6dg2ub1guiphivzq50,F. Fall,,,5638179165,213,5.73,5638179161,141,28.2,5638179157,56,Center,5638179159,140,64.2,5638179167,1,,5638179163,212,42.3,5638179155,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615009,4,1,1,0,8,8q6cv8g4bd3xdl7m88kll16na,1,34.9,67.9,2025-04-09T17:00:54.787Z,2025-04-09T17:00:57Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5638179299,141,72.0,5638179301,212,9.2,5638179295,56,Back,5638179303,213,0.31,5638179297,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615011,5,3,1,0,10,8q6cv8g4bd3xdl7m88kll16na,0,53.5,74.3,2025-04-09T17:00:57.194Z,2025-04-11T18:50:09Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5638179311,56,Center,5638179313,286,,5641691709,465,,5638179355,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615015,5,7,1,0,10,e5txudmuc2qpc460bs4lb5aff,1,46.5,25.7,2025-04-09T17:00:57.195Z,2025-04-11T18:50:17Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5638179333,285,,5638179335,233,5,5638179331,56,Back,5641692579,384,,5641692581,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615023,6,1,1,0,12,e5txudmuc2qpc460bs4lb5aff,1,40.1,24.7,2025-04-09T17:00:59.267Z,2025-04-09T20:03:29Z,bww0h67l7g6o9syrkp12s7pih,P. Metcalfe,,,5638179375,140,35.2,5638179379,212,6.9,5638179381,213,3.87,5638179377,141,18.0,5638179373,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615035,8,1,1,0,13,e5txudmuc2qpc460bs4lb5aff,1,35.2,18.0,2025-04-09T17:01:00.212Z,2025-04-09T17:01:02Z,bhkecr2u6neb933eo468i82ui,L. Owusu,,,5638179425,212,6.4,5638179421,140,35.3,5638179423,141,8.6,5638179427,213,4.73,5638179419,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615057,9,1,1,0,15,e5txudmuc2qpc460bs4lb5aff,1,35.3,8.6,2025-04-09T17:01:02.107Z,2025-04-09T17:01:09Z,dlxtfrt1ioz51rwnizwz5657t,D. Eid,,,5638179547,212,30.3,5638179543,140,64.1,5638179551,1,,5638179549,213,0.04,5638179541,56,Right,5638179545,141,10.3,5638179539,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615051,6,83,1,0,20,8q6cv8g4bd3xdl7m88kll16na,0,18.0,84.4,2025-04-09T17:01:06.819Z,2025-04-09T17:01:13Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5638179683,399,dkuinrikn3htd1kilcsce2bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615055,7,83,1,0,21,8q6cv8g4bd3xdl7m88kll16na,0,18.0,84.4,2025-04-09T17:01:07.659Z,2025-04-09T17:01:13Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5638179667,399,dkuinrikn3htd1kilcsce2bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615061,10,50,1,0,22,e5txudmuc2qpc460bs4lb5aff,1,85.0,3.6,2025-04-09T17:01:08.883Z,2025-04-09T17:01:14Z,dkuinrikn3htd1kilcsce2bit,E. Holten,,,5638179573,286,,5638179571,56,Right,5638179609,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798615063,8,7,1,0,22,8q6cv8g4bd3xdl7m88kll16na,1,15.0,96.4,2025-04-09T17:01:08.884Z,2025-04-11T18:50:40Z,cft1n7qn5juaedelpvqwo2f3d,K. Tshiembe,,,5641694917,178,,5638179585,285,,5638179581,167,,5641694915,385,,5638179591,233,10,5638179583,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
