id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value
2807315431,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-27T16:32:15.745Z,2025-04-27T16:32:16Z,,,,,5685994715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685994711,194,bjqtzq0xcvtmbn54orj7rn5xx,5685994705,59,"30, 5, 4, 8, 21, 25, 10, 33, 20, 7, 17, 1, 2, 3, 19, 24, 26, 27, 28, 31",5685994701,30,"e79tv8cwky1rcfjn35b629mmt, cqwjwlsum5q92s2k80w3temi2, 18paxu0ihqdu4kbd2ddi5z1t5, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, cbgxwjokvziezgbbn0qu91s7o, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, aeq6jlhgxpnkywoc20kp8tvu2, 8csmi6krrz8ju4085n6dgekt1, 5cjx2i2perp5vr62en4cyer1m, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5685994713,197,528,5685994707,130,7,5685994709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685994703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807323825,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-27T16:39:06.323Z,2025-04-27T16:39:06Z,,,,,5686041389,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5686041399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5686041395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5686041397,194,1qeetk4waatuxev4mqvbxx87p,5686041387,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, b0zkcgl6f68noauzpuhzjm4tl, 9l89pnte9uhyc8jnads2lintg, 1gwemllvgcore4shqy79qu82y, 5mvddfxv6aqzohz87gopwl990, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, ebkhyti8l579bl8amir9zgl5g, cd0g5e95qabgsw4gl3b8ijoid, 9fig1s65cvva53x8yqi30xwx5, 4bcfp6repuyw4tkfpems0mf4k, 8he8k86ayqx3x5ee2a0jsfuy2, hqe6ytrn865k82hbdfufxmac, 3bmh3ork0ei2hrqy1yq0lpwk4, 95t0lc2qqgzxp92n1pr62n816, 4kribchzl5lme5b56pigqdh7u, fbk14d79iikagip25ncya0ut, bab8s40ltdf9v117umanbcmxg",5686041393,130,10,5686041391,59,"1, 2, 23, 5, 21, 4, 6, 11, 15, 10, 8, 27, 3, 7, 14, 18, 20, 22, 24, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361453,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-27T17:15:28.424Z,2025-04-27T17:15:28Z,,,,,5686248445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361463,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-04-27T17:15:28.424Z,2025-04-27T17:15:31Z,,,,,5686248471,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361499,3,1,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,50.0,50.0,2025-04-27T17:15:28.425Z,2025-04-27T17:15:31Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5686248661,141,53.0,5686248667,279,S,5686248659,140,46.9,5686248663,212,3.8,5686248665,213,2.58,5686248657,56,Back,5686248669,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361559,4,1,1,0,1,80hgdmpkvdrhw1ge9nks2kxvy,1,46.8,57.0,2025-04-27T17:15:30.354Z,2025-04-27T17:15:33Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5686249025,140,53.8,5686249035,213,1.28,5686249031,212,25.3,5686249023,56,Left,5686249029,141,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361601,5,1,1,0,5,80hgdmpkvdrhw1ge9nks2kxvy,1,55.0,96.0,2025-04-27T17:15:33.466Z,2025-04-27T17:15:36Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5686249265,141,88.0,5686249261,56,Back,5686249269,213,3.34,5686249263,140,29.0,5686249267,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361731,6,1,1,0,7,80hgdmpkvdrhw1ge9nks2kxvy,1,27.5,86.2,2025-04-27T17:15:36.098Z,2025-04-27T17:15:42Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5686249995,140,13.5,5686249999,212,21.7,5686250001,213,3.97,5686249997,141,62.7,5686249993,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361791,7,1,1,0,14,80hgdmpkvdrhw1ge9nks2kxvy,1,12.4,56.6,2025-04-27T17:15:43.258Z,2025-04-27T17:15:46Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5686250361,56,Back,5686250363,140,13.3,5686250375,213,4.78,5686250371,212,13.8,5686250367,141,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361845,8,1,1,0,18,80hgdmpkvdrhw1ge9nks2kxvy,1,23.0,24.3,2025-04-27T17:15:46.730Z,2025-04-27T17:15:49Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5686250675,212,11.9,5686250669,56,Back,5686250671,140,23.6,5686250673,141,6.8,5686250677,213,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361881,9,1,1,0,20,80hgdmpkvdrhw1ge9nks2kxvy,0,23.8,6.1,2025-04-27T17:15:49.354Z,2025-04-27T17:15:51Z,1gwemllvgcore4shqy79qu82y,V. Skjærvik,,,5686250815,155,,5686250819,140,66.1,5686250821,141,19.4,5686250831,1,,5686250817,56,Right,5686250823,212,45.3,5686250827,213,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807361919,3,12,1,0,24,bsykw9d70ffqe9atosc92n1e9,1,28.7,81.4,2025-04-27T17:15:52.831Z,2025-04-27T17:15:54Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5686251047,141,88.9,5686251043,140,34.6,5686251085,15,,5686251039,56,Back,5686251055,213,0.69,5686251051,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807362031,5,1,1,0,27,bsykw9d70ffqe9atosc92n1e9,1,33.3,86.8,2025-04-27T17:15:55.557Z,2025-04-27T17:15:58Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5686251643,140,39.9,5686251647,141,88.1,5686251651,212,7.0,5686251639,56,Back,5686251653,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807362045,6,1,1,0,30,bsykw9d70ffqe9atosc92n1e9,1,39.9,88.0,2025-04-27T17:15:58.526Z,2025-04-27T17:15:59Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5686251729,212,4.0,5686251717,56,Back,5686251721,140,40.6,5686251733,213,1.39,5686251725,141,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807362101,7,1,1,0,31,bsykw9d70ffqe9atosc92n1e9,1,39.8,87.4,2025-04-27T17:15:59.489Z,2025-04-27T17:16:02Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5686251991,212,14.3,5686251985,56,Back,5686251987,140,27.8,5686251993,213,3.63,5686251989,141,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807362139,8,1,1,0,34,bsykw9d70ffqe9atosc92n1e9,1,28.4,67.8,2025-04-27T17:16:02.718Z,2025-04-27T17:16:04Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5686252179,140,28.6,5686252191,213,4.72,5686252183,141,37.3,5686252175,56,Back,5686252187,212,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
