id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2820743863,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-06-01T16:17:33.690Z,2025-06-01T16:17:34Z,,,,,5760464445,194,bjqtzq0xcvtmbn54orj7rn5xx,5760464435,30,"9trvbmdwo8fkndwjz9mr1bfmx, cqwjwlsum5q92s2k80w3temi2, 8csmi6krrz8ju4085n6dgekt1, 3h8jot3v5xxuwzukt6n15jwlx, rqzgkxjy310eosvc4w7red49, b2isr7ljn9jmt19iiweudegyy, bjqtzq0xcvtmbn54orj7rn5xx, cbgxwjokvziezgbbn0qu91s7o, djxtqxvqxd70prbr1gkwjp3sa, 60xm53o64nszavcsgfu5xzjyt, bnjysriuqd4qe0fmh2ld8yk2c, cktx8pichvlnbdxizrosxckph, aeq6jlhgxpnkywoc20kp8tvu2, 894tj8rg0i6kl4zvlok803949, 5cjx2i2perp5vr62en4cyer1m, 4yive3zei0pzhsn0s9tccixhw, 587vmahr6cyqzuucjdgr0ttec, 7ctsofo6904i5ysgpfh2sdv1m, 5xgcwr8alrcay5f5pf22pfaxg, 53vkcvwf46xgr7bvoqi9lpj4k",5760464443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760464437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760464447,197,29290,5760464441,130,7,5760464439,59,"13, 5, 3, 8, 21, 25, 10, 33, 20, 7, 17, 1, 2, 18, 19, 24, 26, 27, 28, 31",5760464449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820746459,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-06-01T16:24:18.676Z,2025-06-01T20:25:36Z,,,,,5760478841,194,7m4f590x3kc3935gpg72xhg45,5760478831,30,"2y89r1uyyagwssn9m67ihdo7p, 97aigdp5c2m2sd1eoq143q8kp, 3qe0mkctopr68r841nrp2740k, 2i92r2eksw9ty9kis974k3uqy, azgn1hgiep0jbrbdirnkut2zu, 9mt0cpw6rkuv6ndn4jbon6hg5, 6mzoir7lrrfehbzgu7gmnwyl0, cv38uxcibt3cwwj54m9ydg86i, 9fu1wk5unisycn8mt5j1p04ph, 7m4f590x3kc3935gpg72xhg45, 2hwemaa18hwlq3c4i208lbbo5, 2rfdbxta1ako8hu4pg7kv07h1, 4348ovvnom9gdbun5vjntlg5, 4v1zs5vyf4m4bbeop3n2msgve, 5p8387bgyjiuekkccl4j6kamt, e0j0uakuzduvis9wqsocngwrt, 5xgx325eede1ap2sipgqdpyzu, 10jjf6ittt34mqsrihtotv1g4, bkg782fes23fcpasb90b4feac, birdlua3bxdp0lln5sjbx13pw",5760478839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760478835,59,"1, 18, 26, 4, 6, 19, 23, 16, 8, 7, 20, 34, 2, 3, 5, 15, 24, 27, 36, 46",5760478843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760637037,197,29279,5760478833,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760478837,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820773981,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0.0,0.0,2025-06-01T17:15:40.665Z,2025-06-01T17:15:41Z,,,,,5760634017,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820773969,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-06-01T17:15:40.665Z,2025-06-01T17:15:43Z,,,,,5760633965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820773987,3,1,1,0,0,45v50owpvshpijizwwlcw4lni,1,50.0,50.0,2025-06-01T17:15:41.078Z,2025-06-01T17:15:42Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5760634047,213,3.73,5760634043,141,28.9,5760634045,212,26.0,5760634039,56,Back,5760634049,279,S,5760634041,140,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820774057,4,1,1,0,3,45v50owpvshpijizwwlcw4lni,0,31.5,29.2,2025-06-01T17:15:43.822Z,2025-06-01T17:15:49Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5760634443,213,0.82,5760634433,157,,5760634435,56,Left,5760634445,1,,5760634437,140,75.0,5760634441,212,66.8,5760634439,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820774119,3,5,1,0,9,bsykw9d70ffqe9atosc92n1e9,1,21.5,-1.2,2025-06-01T17:15:49.716Z,2025-06-01T18:41:24Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5760634781,233,5,5760634761,347,,5760634759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820774061,5,5,1,0,9,45v50owpvshpijizwwlcw4lni,0,78.5,101.2,2025-06-01T17:15:49.716Z,2025-06-01T18:41:24Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5760634789,233,3,5760634471,56,Left,5760634473,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820774137,4,1,1,0,14,bsykw9d70ffqe9atosc92n1e9,1,15.7,0.0,2025-06-01T17:15:55.578Z,2025-06-01T17:15:58Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5760634871,56,Back,5760634879,213,0.62,5760634873,140,39.7,5760634881,1,,5760634869,107,,5760634875,141,24.4,5760634877,212,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820774145,5,1,1,0,17,bsykw9d70ffqe9atosc92n1e9,0,39.7,23.6,2025-06-01T17:15:57.697Z,2025-06-01T17:15:59Z,djxtqxvqxd70prbr1gkwjp3sa,P. Christiansen,,,5760634923,213,2.48,5760634921,212,12.8,5760634915,56,Back,5760634919,141,35.2,5760634917,140,30.1,5760634937,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
