id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2823850441,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-06-22T13:59:58.999Z,2025-06-22T14:58:06Z,,,,,5777951423,197,29282,5777914249,30,"bwzftrovpa0418aapl98og7l6, eas91my7qw7etoha5plxfk9yi, aulhjgm35swnx4k3rexbds8ut, 544reefy86rc8827sl3xh3oph, 7hs9c25dq0dbn8vrlgihjgay2, ej8tegehielvpwy8ee4wmasr8, 5occq5bmrhcs8rtxwsdi18bf9, qer4hblafo04av0aajfecclx, ec0e15kwv2vre5gnldajcwq8l, bapdoe78rj82j550otb5zemwa, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, 9hg60gdc7h6dwo1qi4c7pc9nt, 1jp22ouky3tqtk04bvbfao7l6, 5o5f3xj6e86sw0pupxxx2nomi, 5k2hgogp2g5ivgdnq99ejp27e, 2u8ylwu9kogk0jorpe517812i, 1lz298822pkgdar8bjjk7g1gq, f1naa48i09ck4srkhzxmdugwk, 8o2d10ah6qbl2cmdisr48kcus",5777914251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777914255,130,4,5777914253,59,"1, 15, 23, 10, 38, 50, 5, 8, 39, 18, 35, 12, 2, 6, 9, 17, 19, 22, 45, 55",5777914261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777914259,194,544reefy86rc8827sl3xh3oph,5777914257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823851733,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-06-22T14:07:28.058Z,2025-06-22T17:16:48Z,,,,,5777921017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777921019,194,3sfh0fq729hxtea9rzfke9979,5777921013,59,"26, 22, 15, 20, 4, 5, 16, 18, 7, 8, 9, 40, 3, 11, 17, 21, 24, 25, 31, 33",5777921009,30,"43rb01lv7300xhsj32twxctex, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, dfinorpyitke7fsso0fkgz28k, 33upoxyyqkh71m6d0b2nsn95g, 94s19kazaywfzrg007vsha6wa, 7fsqcwqftmk6lms6f6u8lpdlg, 967mt42odhjqtdjxsf4epxxw, a7upy78sew3kqehgcfm9ho5ck, d0phfsg3amx6r0xblx5wia9k9, 6l7m7ckhqogx54zy19v3g7l2i, 6cu5njaghdntn0z9b1i6yb71m, 82dyshdwqwkvyba38j4a1kpas, 8jn4wq3d1ro8f89lttw4b9rzd, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5777951427,197,29048,5777921011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777921015,130,7,5777921021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857215,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-06-22T15:01:44.370Z,2025-06-22T15:01:45Z,,,,,5777952207,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857213,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-06-22T15:01:44.370Z,2025-06-22T15:01:44Z,,,,,5777952205,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857221,3,1,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,49.8,49.9,2025-06-22T15:01:44.371Z,2025-06-22T15:01:47Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5777952235,56,Back,5777952241,212,22.5,5777952245,279,S,5777952237,140,30.4,5777952243,213,2.70,5777952239,141,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857225,4,1,1,0,3,uqspd1bx7f6mq8ohj50u1k1k,0,30.4,64.0,2025-06-22T15:01:47.691Z,2025-06-22T15:01:50Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5777952263,157,,5777952269,141,35.5,5777952273,213,5.95,5777952267,140,83.3,5777952275,1,,5777952271,212,58.8,5777952265,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857237,3,12,1,0,8,c7jgkxx1czv5etn7snf1r6p2m,1,9.4,73.8,2025-06-22T15:01:52.666Z,2025-06-22T15:02:02Z,ej8tegehielvpwy8ee4wmasr8,H. Volden,,,5777952339,140,14.5,5777952343,212,7.5,5777952337,56,Back,5777952345,213,5.51,5777952485,15,,5777952341,141,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857245,5,61,1,0,11,uqspd1bx7f6mq8ohj50u1k1k,0,76.2,35.4,2025-06-22T15:01:56.219Z,2025-06-22T15:01:56Z,33upoxyyqkh71m6d0b2nsn95g,M. Ubandoma,,,5777952375,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857261,4,12,1,0,14,c7jgkxx1czv5etn7snf1r6p2m,1,15.4,63.4,2025-06-22T15:01:58.897Z,2025-06-22T15:02:01Z,ej8tegehielvpwy8ee4wmasr8,H. Volden,,,5777952461,212,36.7,5777952459,141,45.7,5777952457,140,48.4,5777952455,56,Back,5777952463,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857257,6,1,1,0,14,uqspd1bx7f6mq8ohj50u1k1k,1,51.4,43.0,2025-06-22T15:01:59.363Z,2025-06-22T15:02:01Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5777952435,141,26.7,5777952437,212,11.2,5777952431,56,Center,5777952433,140,52.8,5777952439,213,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
