id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2807143541,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-27T14:00:29.100Z,2025-04-27T14:58:30Z,,,,,5685047013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685047011,130,7,5685047021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685483767,197,6463,5685047005,59,"12, 22, 3, 20, 4, 5, 16, 10, 7, 8, 9, 40, 6, 11, 18, 19, 21, 25, 31, 33",5685047001,30,"45d87fg5d9k6rvgkkoqcdr384, 4zypjoj5r2y9fqpqxn8cd7o16, a7upy78sew3kqehgcfm9ho5ck, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 33upoxyyqkh71m6d0b2nsn95g, 94s19kazaywfzrg007vsha6wa, 7fsqcwqftmk6lms6f6u8lpdlg, 967mt42odhjqtdjxsf4epxxw, dn00381nbniepgi4qj7yjkv84, d0phfsg3amx6r0xblx5wia9k9, dfinorpyitke7fsso0fkgz28k, evp0uxt65iugdfwf403qqub6c, 6cu5njaghdntn0z9b1i6yb71m, 8jn4wq3d1ro8f89lttw4b9rzd, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5685047003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685047017,194,3sfh0fq729hxtea9rzfke9979,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807155999,1,34,16,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-27T14:09:40.733Z,2025-04-27T18:15:37Z,,,,,5685110497,59,"21, 3, 27, 29, 55, 5, 7, 8, 80, 10, 24, 1, 2, 4, 6, 9, 11, 15, 22, 23",5685110503,194,bxafjt88zqj5wgvx5r71c6cid,5685110499,130,7,5685110505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685110501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685110495,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685110493,30,"b5kti1udidgdjke5raks6iezu, rzfthr8qys67ormz869jrndg, uw1y94hwwthwor4cohho58gk, 2rny9fva4m8awyltbc4ipftw4, 3ga4zm8ifo0ohz7xe03jxswkp, cft1n7qn5juaedelpvqwo2f3d, d5jihfuxjuw51jgt6k4zhmrmy, bxafjt88zqj5wgvx5r71c6cid, 4krwgfspxdgpq1pli11b04iga, 1w8gujxthv0lfjrn98paa1uga, bzk5asrkwi0pvl6npmxb7jhzp, cpcjoijkj6xhmcbfnyuarh1hx, 769pk71w97o3z1x34npz8quh, fbd96sw3egypi2key2hxbnu2, 2d9k8p22131is7op7vcn0arbp, dodkgckgbecal0vivr1jf0hzo, 9xxdec5pv5plas9ve4ehs4nop, a4de7kgp5ivhwckmtv5htu162, bi90ts7bjqsllbei6qtmx6has, c9a0owmk742hzaoxqlmxrruju",5685488367,197,28885,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224827,2,32,1,0,0,8q6cv8g4bd3xdl7m88kll16na,1,0.0,0.0,2025-04-27T15:01:07.159Z,2025-04-27T15:01:09Z,,,,,5685494817,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224811,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-27T15:01:07.159Z,2025-04-27T15:01:07Z,,,,,5685494755,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224863,3,1,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,50.0,50.0,2025-04-27T15:01:07.160Z,2025-04-27T15:01:10Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5685495029,141,53.1,5685495037,279,S,5685495033,212,22.9,5685495035,213,3.05,5685495025,140,28.3,5685495021,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224901,4,1,1,0,2,uqspd1bx7f6mq8ohj50u1k1k,0,28.3,53.1,2025-04-27T15:01:09.656Z,2025-04-27T15:01:12Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5685495243,213,0.22,5685495247,1,,5685495231,157,,5685495237,141,70.6,5685495235,140,79.8,5685495239,212,55.4,5685495233,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224939,3,1,1,0,4,8q6cv8g4bd3xdl7m88kll16na,1,19.7,34.2,2025-04-27T15:01:11.967Z,2025-04-27T15:01:15Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5685495437,140,21.9,5685495441,141,25.3,5685495445,212,6.5,5685495431,3,,5685495435,56,Back,5685495447,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807224997,5,1,1,0,11,8q6cv8g4bd3xdl7m88kll16na,1,3.9,10.3,2025-04-27T15:01:18.166Z,2025-04-27T15:01:20Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5685495817,213,0.49,5685495809,56,Back,5685495813,141,15.3,5685495811,140,9.9,5685495815,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225007,6,1,1,0,12,8q6cv8g4bd3xdl7m88kll16na,0,9.8,13.1,2025-04-27T15:01:19.878Z,2025-04-27T15:01:21Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5685496039,233,5,5685495899,212,1.0,5685496037,236,,5685495897,141,11.7,5685496043,286,,5685495893,56,Back,5685495895,140,10.2,5685495891,157,,5685495903,1,5685495901,213,5.13,,,,,,,,,,,,,,,,,,,,,,
2807225023,5,74,1,0,12,uqspd1bx7f6mq8ohj50u1k1k,1,85.0,89.0,2025-04-27T15:01:19.879Z,2025-04-27T18:22:10Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5685496183,233,6,5685495955,285,,5685495953,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225053,6,5,1,0,14,uqspd1bx7f6mq8ohj50u1k1k,0,85.2,101.7,2025-04-27T15:01:21.311Z,2025-04-27T18:22:15Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5685496947,233,7,5685496121,56,Left,5685496123,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225191,7,5,1,0,14,8q6cv8g4bd3xdl7m88kll16na,1,14.8,-1.7,2025-04-27T15:01:21.311Z,2025-04-27T18:22:15Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5685496843,56,Back,5685496845,347,,5685496891,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225249,8,1,1,0,23,8q6cv8g4bd3xdl7m88kll16na,0,12.7,0.0,2025-04-27T15:01:30.887Z,2025-04-27T15:01:33Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5685497099,56,Back,5685497103,140,30.3,5685497105,141,7.7,5685497109,213,0.32,5685497095,107,,5685497107,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225299,8,1,1,0,26,uqspd1bx7f6mq8ohj50u1k1k,1,62.5,84.2,2025-04-27T15:01:33.694Z,2025-04-27T15:01:36Z,15823p8n34f7coivq6wq687is,W. Igor,,,5685497359,141,58.1,5685497361,212,17.7,5685497363,213,4.72,5685497351,56,Center,5685497355,140,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225345,9,1,1,0,29,uqspd1bx7f6mq8ohj50u1k1k,1,62.7,58.1,2025-04-27T15:01:36.199Z,2025-04-27T15:01:40Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5685497649,141,10.0,5685497645,56,Right,5685497647,140,63.1,5685497655,213,4.73,5685497651,212,32.7,5685497659,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225371,10,1,1,0,33,uqspd1bx7f6mq8ohj50u1k1k,1,66.7,10.1,2025-04-27T15:01:40.247Z,2025-04-27T15:01:43Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5685497811,213,2.35,5685497807,141,28.2,5685497805,140,55.1,5685497809,212,17.3,5685497803,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225399,11,1,1,0,36,uqspd1bx7f6mq8ohj50u1k1k,1,55.1,28.2,2025-04-27T15:01:43.519Z,2025-04-27T15:01:45Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5685497977,140,55.2,5685497981,212,23.4,5685497979,141,62.6,5685497983,213,1.57,5685497975,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807225427,12,1,1,0,37,uqspd1bx7f6mq8ohj50u1k1k,1,55.2,62.6,2025-04-27T15:01:44.839Z,2025-04-27T15:01:47Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5685498123,213,1.01,5685498115,56,Left,5685498121,212,22.8,5685498119,141,91.1,5685498117,140,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
