id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId
2810320395,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-04T14:11:56.251Z,2025-05-04T14:58:03Z,,,,,5702629549,130,7,5702629553,194,6wygyy5z5i0okllr83e9ej8ph,5703049273,197,2276,5702629545,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5702629551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5702629543,30,"9l1jrghczcsus55hd9hx6gdzp, 6x3f721vjb8mxlp5ba3p1rb4k, 92xhspr6bl1jyhqru3tsbjvqi, 6wygyy5z5i0okllr83e9ej8ph, 7zy4bzry9weswip0jogur6fbo, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, 6hssnrvqsel6i5ca09p5730x6, 3g0xd9rds9relghxanr1f5vc9, 3e1tqerfmnsaqicofczjljo8a, v3hnsgptqqi0ystvybqtpyzu, jfesb9jxg4g5yph0x6nabevo, 1j7zubyq25gltkrmrqb8xiyy2, c57cmqsy5y46vndbsqq3pyu7e, dxmgpouxmhnss0ggxm6yqgo9, 7hevgs3yo3fnxvingc7zzgpw4, di12pteex60qy5bdmm4lxt8no, bmaozrve14n5uj1a6q122dl3o",5702629547,59,"30, 26, 17, 18, 2, 47, 7, 20, 23, 6, 27, 3, 4, 8, 10, 22, 43, 1",5702629555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2810330841,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-04T14:17:25.919Z,2025-05-04T15:24:14Z,,,,,5702686379,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 8he8k86ayqx3x5ee2a0jsfuy2, b0zkcgl6f68noauzpuhzjm4tl, 9l89pnte9uhyc8jnads2lintg, 1gwemllvgcore4shqy79qu82y, 5mvddfxv6aqzohz87gopwl990, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, ebkhyti8l579bl8amir9zgl5g, cd0g5e95qabgsw4gl3b8ijoid, 9fig1s65cvva53x8yqi30xwx5, dq5uoeu7mw2a3uemr95w32k9g, hqe6ytrn865k82hbdfufxmac, q1o72uyrvclbkccpjvzugacq, 3bmh3ork0ei2hrqy1yq0lpwk4, 95t0lc2qqgzxp92n1pr62n816, 766yz5r437tgwjkn0ey8j2wwk, fbk14d79iikagip25ncya0ut, bab8s40ltdf9v117umanbcmxg",5702686395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702686389,130,10,5702686399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5703207841,197,526,5702686383,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702686397,194,1qeetk4waatuxev4mqvbxx87p,5702686387,59,"1, 2, 7, 5, 21, 4, 6, 11, 15, 10, 8, 27, 9, 14, 17, 18, 20, 23, 24, 25",,,,,,,,,,,,,,,,,,,,,,,,,,
2810400357,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-05-04T15:02:07.594Z,2025-05-04T15:02:11Z,,,,,5703069303,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400341,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-05-04T15:02:07.594Z,2025-05-04T15:02:07Z,,,,,5703069227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400421,3,1,1,0,0,btaf9fuj3xctycyjeqwereaow,1,50.3,50.3,2025-05-04T15:02:07.595Z,2025-05-04T15:02:12Z,6wygyy5z5i0okllr83e9ej8ph,F. Ottosson,,,5703069655,140,30.5,5703069661,213,3.05,5703069653,56,Back,5703069659,212,20.9,5703069663,279,S,5703069657,141,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400435,4,1,1,0,2,btaf9fuj3xctycyjeqwereaow,1,30.0,54.0,2025-05-04T15:02:09.971Z,2025-05-04T15:02:12Z,7zy4bzry9weswip0jogur6fbo,Z. Smajlović,,,5703069739,140,64.6,5703069745,212,39.8,5703069751,1,,5703069735,155,,5703069749,213,0.42,5703069737,56,Center,5703069741,141,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400447,5,61,1,0,5,btaf9fuj3xctycyjeqwereaow,0,64.6,77.9,2025-05-04T15:02:12.668Z,2025-05-04T15:02:13Z,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,,,5703069801,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400469,4,3,1,0,6,80hgdmpkvdrhw1ge9nks2kxvy,0,32.8,13.2,2025-05-04T15:02:14.035Z,2025-05-04T15:02:22Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703069911,285,,5703070163,233,6,5703069909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400505,6,7,1,0,6,btaf9fuj3xctycyjeqwereaow,0,67.2,86.8,2025-05-04T15:02:14.036Z,2025-05-04T15:02:20Z,3e1tqerfmnsaqicofczjljo8a,S. Mørk,,,5703070107,286,,5703070043,56,Left,5703070101,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810400479,5,61,1,0,7,80hgdmpkvdrhw1ge9nks2kxvy,1,31.9,7.3,2025-05-04T15:02:14.803Z,2025-05-04T15:02:15Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5703069959,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
