id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2804621203,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-04-21T16:13:30.909Z,2025-04-21T20:44:51Z,,,,,5671151229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5671151239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5671160505,197,1393,5671151235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5671151233,130,2,5671151231,59,"12, 20, 15, 7, 4, 6, 26, 14, 21, 25, 11, 1, 2, 5, 9, 10, 18, 19, 27, 95",5671151227,30,"bjgxlgzxbm2fj3c2xq6mtsru1, dgki9si023s93nymhod74jlzo, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, 7gqecbxztxxovmo1b6zqqcgve, 38qnvrvf3y1xs22tovwy21jv9, b2ibeioms7t9vb3au7tpqys4p, 55ashhvkh23ypnct70f9dgvkl, 3zg0pvrja75d3l44dq0lh4kb9, ar7ybu7dordgt2yfx5inux62, cegoeac3l2owi83zdvu30tj6y, at4flt8tr925ds3dgw5zrgtm1, bqh87676f46jsdfftw2gt1mok, 16rhwnvicrl1e9xqw867zuxn9, 2r893xoeuqhgoe2w2auhqb696, 7dnxkce4kn8qchaavv6e4tm21, 11iaca5nfeqabdba4646vje1h, 5hst73ivtxknjb3rrdivwygnp, bbyystkqag4mcfpr6utsazm51, 13k94iyejsdn4e51jx32rb23u",5671151237,194,55ashhvkh23ypnct70f9dgvkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804630881,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-04-21T16:28:53.890Z,2025-04-21T20:09:39Z,,,,,5671202839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5671202829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5671202827,30,"2y89r1uyyagwssn9m67ihdo7p, 864mk13xqt9p7s22wdsdhnpat, 6hfh81884cw22q8ekjmiezq39, cv38uxcibt3cwwj54m9ydg86i, 9mt0cpw6rkuv6ndn4jbon6hg5, 2i92r2eksw9ty9kis974k3uqy, 5p8387bgyjiuekkccl4j6kamt, cdqa1j5yeh8u9ll0ijx28oyj9, 5w0p51an11m21e5hnpjtukx04, 5al9uyujlrlb17o4r5sapkkk4, 7m4f590x3kc3935gpg72xhg45, 2rfdbxta1ako8hu4pg7kv07h1, 4348ovvnom9gdbun5vjntlg5, azgn1hgiep0jbrbdirnkut2zu, 617qfwb824ko8xrulrp6b86ad, e0j0uakuzduvis9wqsocngwrt, 97aigdp5c2m2sd1eoq143q8kp, 6mzoir7lrrfehbzgu7gmnwyl0, 3qe0mkctopr68r841nrp2740k, 10jjf6ittt34mqsrihtotv1g4",5671202837,194,7m4f590x3kc3935gpg72xhg45,5671202835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5671202831,59,"1, 21, 28, 16, 19, 4, 5, 17, 9, 10, 7, 34, 2, 6, 14, 15, 18, 23, 26, 27",5671202833,130,8,5671326319,197,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654269,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-04-21T17:15:45.204Z,2025-04-21T17:15:45Z,,,,,5671333995,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654273,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0.0,0.0,2025-04-21T17:15:45.204Z,2025-04-21T17:15:48Z,,,,,5671334017,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654289,3,1,1,0,0,45v50owpvshpijizwwlcw4lni,1,49.9,49.7,2025-04-21T17:15:45.205Z,2025-04-21T17:15:49Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5671334107,141,47.3,5671334103,56,Back,5671334113,279,S,5671334111,213,3.20,5671334105,140,25.2,5671334109,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654307,4,1,1,0,3,45v50owpvshpijizwwlcw4lni,1,25.3,47.3,2025-04-21T17:15:48.897Z,2025-04-21T17:15:51Z,2y89r1uyyagwssn9m67ihdo7p,J. Karlstrøm,,,5671334199,56,Center,5671334203,141,69.7,5671334201,140,73.8,5671334205,212,53.2,5671334207,213,0.29,5671334197,157,,5671334209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654321,5,1,1,0,6,45v50owpvshpijizwwlcw4lni,1,74.0,69.9,2025-04-21T17:15:51.432Z,2025-04-21T17:18:59Z,5w0p51an11m21e5hnpjtukx04,J. Abdullai,,,5671334281,213,3.02,5671334279,212,4.9,5671334275,140,69.4,5671334273,56,Center,5671334271,3,,5671334277,141,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654333,6,1,1,0,8,45v50owpvshpijizwwlcw4lni,1,69.4,70.8,2025-04-21T17:15:53.665Z,2025-04-21T17:15:55Z,cv38uxcibt3cwwj54m9ydg86i,E. Breivik,,,5671334369,213,1.32,5671334359,3,,5671334367,212,9.3,5671334363,140,71.6,5671334361,56,Left,5671334365,141,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654351,7,1,1,0,10,45v50owpvshpijizwwlcw4lni,0,71.6,84.1,2025-04-21T17:15:55.392Z,2025-04-21T17:19:00Z,7m4f590x3kc3935gpg72xhg45,M. Eikrem,,,5671334481,1,,5671334479,213,5.96,5671334475,141,68.8,5671334473,140,100.0,5671334471,56,Center,5671334469,155,,5671334477,212,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804654485,3,5,1,0,12,ctvzi2jbl1q6xzq0s3sexj73g,1,-1.0,30.1,2025-04-21T17:15:57.813Z,2025-04-21T19:54:30Z,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,5671335321,56,Back,5671335323,346,,5671335355,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
