id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/16/value
2793704117,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-03-30T14:23:14.277Z,2025-03-30T18:01:02Z,,,,,5611058233,30,"45d87fg5d9k6rvgkkoqcdr384, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 8jn4wq3d1ro8f89lttw4b9rzd, 94s19kazaywfzrg007vsha6wa, 33upoxyyqkh71m6d0b2nsn95g, 8u1ii0vmhpub1p2gbsk1w7yzt, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 7fsqcwqftmk6lms6f6u8lpdlg, evp0uxt65iugdfwf403qqub6c, 6cu5njaghdntn0z9b1i6yb71m, dt6oacdhzssj4bu3a9rp8jdas, 1epsroqvrfkhc7zhexcsl0vtg",5611058239,130,7,5611058237,59,"12, 22, 15, 20, 4, 5, 16, 10, 25, 8, 7, 1, 3, 6, 9, 19, 21, 33, 31",5611300899,197,6463,5611058241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5612016073,194,3sfh0fq729hxtea9rzfke9979,5611058243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611058235,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793713247,1,34,16,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-03-30T14:32:16.779Z,2025-03-30T15:09:21Z,,,,,5611108703,194,8nmrvwyosqdqwyqowvdqvahh,5611108695,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5611108705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611108699,130,10,5611108693,30,"3dz611s3q1kjhrzt8ixv4jbhl, 1t1ylf4iwrotj4jjf9qfzbieh, 6r0yq4i1lk788h1euk5ztec5, dd53d1radlkv7y24724vkol49, 8nmrvwyosqdqwyqowvdqvahh, 2gbfwdmpk5gfmcc979aqfkyxh, 9v4rtbzr5f45x65os81wwuqne, 4m57qe3mtal1r68md5yj8xvc9, bb7inex45spf3wj9dqw8sbqi, 2w7qb6w4qcogyuvgi31rfv85w, 1pizdqlc5tyanssba2xe88lwp, c1p51x3fg0dgss14z9vozfqc4, 6ybcevijvdov8qj1hxcbw3dd6, iuf92spli9o5l8r9ftooufah, d9d7ec57xuvrsby6xd45v50r8, a9guphf8p0im4it165fsqhud, 5yhieehol1p5crvzjd55ac8wk, 49lv52k58g3q0j819c5w3id5g, cqp45uxqfxgeit1km2bu79s7o, a2e6ctespr0x0mmeum27m86qc",5611108701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611270763,197,15102,5611108697,59,"30, 22, 7, 26, 23, 2, 18, 11, 19, 20, 8, 5, 6, 10, 15, 16, 17, 29, 34, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749049,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-03-30T15:01:01.865Z,2025-03-30T15:01:02Z,,,,,5611304631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749077,2,32,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,0.0,0.0,2025-03-30T15:01:01.865Z,2025-03-30T15:01:05Z,,,,,5611304731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749097,3,1,1,0,0,crlocdyqyb1fdhck54qxs65rl,1,50.0,50.0,2025-03-30T15:01:02.018Z,2025-03-30T15:01:04Z,4m57qe3mtal1r68md5yj8xvc9,T. Sørås,,,5611304827,140,32.9,5611304825,56,Back,5611304831,212,18.7,5611304835,279,S,5611304833,213,2.86,5611304829,141,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749177,4,1,1,0,3,crlocdyqyb1fdhck54qxs65rl,1,35.1,51.3,2025-03-30T15:01:05.396Z,2025-03-30T15:03:22Z,dd53d1radlkv7y24724vkol49,B. Bjarnason,,,5611305321,140,81.2,5611305325,212,55.1,5611305319,56,Right,5611305327,213,5.78,5611305317,157,,5611305329,1,,5611305323,141,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749185,5,44,1,0,6,crlocdyqyb1fdhck54qxs65rl,1,79.8,12.5,2025-03-30T15:01:08.790Z,2025-03-30T15:02:16Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5611305389,286,,5611305423,233,3,5611305387,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749179,3,44,1,0,6,uqspd1bx7f6mq8ohj50u1k1k,0,20.2,87.5,2025-03-30T15:01:08.791Z,2025-03-30T15:01:13Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5611305337,56,Back,5611305467,233,5,5611305339,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749233,6,1,1,0,7,crlocdyqyb1fdhck54qxs65rl,0,81.8,12.6,2025-03-30T15:01:09.236Z,2025-03-30T15:02:18Z,1t1ylf4iwrotj4jjf9qfzbieh,S. Strand Nilsen,,,5611305677,140,88.8,5611305675,56,Center,5611305681,212,11.3,5611305683,213,0.86,5611305673,3,,5611305679,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749227,4,12,1,0,9,uqspd1bx7f6mq8ohj50u1k1k,1,5.6,69.1,2025-03-30T15:01:11.134Z,2025-03-30T15:06:24Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5611305661,140,5.2,5611305665,212,22.1,5611305735,167,,5611305659,56,Back,5611305667,213,1.59,5611305663,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
