id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2807154417,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-04-27T14:08:42.852Z,2025-04-27T15:06:56Z,,,,,5685101803,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685101809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685101807,130,2,5685101801,30,"dk56pv43y8zo39ft9xtwyapnu, 8fqnvz74z901a2h0kgk1zezje, 95wuw8954h8drdxpx3f2wvuvo, 7yjqvzpcyyil0g7jne4hv7svd, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, 172cxj9mocjk4cor42kjka3mx, auv81snxkpk2ybxzi8giy5azt, 34lcrlx7ddks5ko8s8opi44k4, 7adevxj1o3gpqpmrv3f72v3oq, egd6w206242dh7aowfzmwyane, emce3apjphsh1r4jm5pjzyz11, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 6yyum3rgz21z8aln67irm508a, 5mviza79l64azh2znn1spogyd, 39zbpdxha7mync2430sxuig9h, 3jgniouh70v4y74ly7u681o89, 342b6q9d0ghvvizc2s6801ses",5685101811,194,7yjqvzpcyyil0g7jne4hv7svd,5685101813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685523889,197,28385,5685101805,59,"12, 2, 17, 26, 5, 24, 14, 19, 22, 18, 11, 1, 3, 4, 7, 9, 10, 15, 16, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807157223,1,34,16,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-27T14:10:29.053Z,2025-04-27T15:09:29Z,,,,,5685116759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5685116757,30,"mh6rotmnlhe66f2y16c3vvmd, adthn237lwxewaxsrgd6hlu51, 1n9924y1nahaf0if575wgwonp, gbeebtmqq3qerrs4u7ikq0ru, 62k4fq609h2evj1k2e1n42x91, ahe00hzfpxhe742i5db3mpe6s, 3m2o0t6siupip9y3sco71fe5m, 195m3d6cnwm71j1d2rjo25sdl, d4ye48utus6dfrp5jxhipjo8a, 76k8ic97o66kaq2e52bmp27ai, 878hgn9q68ca8y0wmdih92h9l, 2ku8s4c6qk2aghe47hwqgxfro, 9se6a4pxhy13alu316ttx2vhl, ce1q0p0ifilrb8wx6rmkcaeol, b29o112lpprnfqosulo4bc44, avnrtae50pid6aomt6sq3dqi2, 3vuirsh6wmbhingygy27f0hqt, 5coof7ruazt9nbjl5qvobe3v8, dyv2c0ne9bp3bpqa20a7a8ydw, 815zq6bo3kwxw8fl3bh381ez8",5685116765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685116763,130,4,5685116769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685537043,197,501,5685116767,194,62k4fq609h2evj1k2e1n42x91,5685116761,59,"1, 23, 17, 10, 3, 26, 19, 8, 20, 7, 9, 12, 6, 11, 15, 21, 27, 32, 41, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807227491,2,32,1,0,0,6oxoag5c6zbnn09wx08vz4iak,1,0.0,0.0,2025-04-27T15:01:38.474Z,2025-04-27T15:04:40Z,,,,,5685509563,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807227467,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-04-27T15:01:38.474Z,2025-04-27T15:04:39Z,,,,,5685509451,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807386567,647,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,0,50.2,50.1,2025-04-27T15:01:38.475Z,2025-04-27T18:02:47Z,172cxj9mocjk4cor42kjka3mx,E. Saunes,,,5686390589,279,S,5686390587,213,5.78,5686390581,140,65.1,5686390583,141,37.4,5686390579,56,Center,5686390585,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228051,3,5,1,3,2,6oxoag5c6zbnn09wx08vz4iak,1,16.9,101.8,2025-04-27T15:04:41.132Z,2025-04-27T17:54:12Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5685515643,233,3,5685512619,347,,5685512617,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228139,3,5,1,3,2,eujf9nqky8c5jnahb2f76m86o,0,83.1,-1.8,2025-04-27T15:04:41.132Z,2025-04-27T17:54:13Z,7adevxj1o3gpqpmrv3f72v3oq,Duarte Moreira,,,5685515661,233,3,5685513099,347,,5685513097,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228079,4,1,1,3,7,6oxoag5c6zbnn09wx08vz4iak,1,17.9,100.0,2025-04-27T15:04:46.124Z,2025-04-27T15:04:47Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5685512773,107,,5685512779,141,86.3,5685512777,140,11.6,5685512783,213,4.13,5685512781,212,12.0,5685512775,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228101,5,1,1,3,8,6oxoag5c6zbnn09wx08vz4iak,1,11.6,86.3,2025-04-27T15:04:47.459Z,2025-04-27T15:04:49Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5685512901,141,95.3,5685512905,213,0.49,5685512897,56,Back,5685512903,212,12.9,5685512899,140,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228133,6,1,1,3,10,6oxoag5c6zbnn09wx08vz4iak,0,22.6,96.2,2025-04-27T15:04:49.059Z,2025-04-27T15:04:50Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5685513041,56,Back,5685513045,141,89.4,5685513049,213,6.10,5685513047,212,25.6,5685513043,140,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228145,4,8,1,3,12,eujf9nqky8c5jnahb2f76m86o,1,65.9,15.0,2025-04-27T15:04:50.897Z,2025-04-27T15:04:51Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5685513123,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228187,5,1,1,3,14,eujf9nqky8c5jnahb2f76m86o,1,67.5,5.6,2025-04-27T15:04:53.257Z,2025-04-27T15:04:54Z,172cxj9mocjk4cor42kjka3mx,E. Saunes,,,5685513355,212,3.9,5685513351,140,63.8,5685513357,213,3.26,5685513353,141,4.9,5685513349,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228191,6,61,1,3,15,eujf9nqky8c5jnahb2f76m86o,1,63.8,5.0,2025-04-27T15:04:54.298Z,2025-04-27T15:04:54Z,auv81snxkpk2ybxzi8giy5azt,N. Strunck,,,5685513371,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228235,8,1,1,3,17,6oxoag5c6zbnn09wx08vz4iak,1,41.4,90.6,2025-04-27T15:04:55.580Z,2025-04-27T15:04:58Z,195m3d6cnwm71j1d2rjo25sdl,F. Myhre,,,5685513593,212,30.0,5685513587,56,Back,5685513589,140,47.9,5685513591,141,47.6,5685513595,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228383,9,1,1,3,19,6oxoag5c6zbnn09wx08vz4iak,0,53.3,52.2,2025-04-27T15:04:58.323Z,2025-04-27T15:05:51Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5685514501,141,19.1,5685514507,1,,5685514503,212,32.7,5685514505,213,5.52,5685514499,140,75.9,5685514497,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228355,7,12,1,3,29,eujf9nqky8c5jnahb2f76m86o,1,9.8,74.5,2025-04-27T15:05:08.257Z,2025-04-27T15:05:10Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5685514363,212,24.0,5685514417,167,,5685514361,141,100.0,5685514365,213,0.89,5685514359,140,24.2,5685514357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807228363,8,5,1,3,30,eujf9nqky8c5jnahb2f76m86o,0,25.2,101.7,2025-04-27T15:05:09.356Z,2025-04-27T17:54:14Z,95wuw8954h8drdxpx3f2wvuvo,L. Qvigstad,,,5685515231,233,10,5685514391,347,,5685514389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
